U_OC (V),I_PH (A),U_MPP (V),I_MPP (A),P_LICHT (sun),U_TRANSF
0.50686,-0.28052,0.39858,-0.2517,0.0209299516908213,130
0.52585,-0.62002,0.41441,-0.55872,0.0502415458937198,180
0.54147,-1.1307,0.4353,-1.05031,0.0892632850241546,230
