U_OC (V),I_PH (A),U_MPP (V),I_MPP (A),P_LICHT (sun),U_TRANSF
0.50312,-0.32201,0.40565,-0.2783,0.021768115942029,130
0.52637,-0.7339,0.41699,-0.66123,0.0510485507246377,180
0.53584,-1.32574,0.41273,-1.19466,0.0870917874396135,230
