G11_shinriki
06.09.2021
19:34:38
shinriki oszillator
DFT of V1
shinriki oszillator 
Chaos_Versuch
V1(V) V2(V) V3(V) cutX(V) cutY(V) DFTfq(Hz) DFTY(power)

2,252E+0 1,771E-1 4,398E-1 2,998E-1 -6,583E-2 3,003E+1 2,030E+0
2,241E+0 1,673E-1 4,419E-1 9,096E-1 -6,090E-2 6,006E+1 1,015E+0
2,229E+0 1,570E-1 4,447E-1 1,966E-1 -6,666E-2 9,009E+1 1,381E-7
2,217E+0 1,467E-1 4,470E-1 1,114E+0 -5,920E-2 1,201E+2 5,762E-7
2,204E+0 1,360E-1 4,484E-1 2,986E-1 -6,585E-2 1,502E+2 1,058E-5
2,191E+0 1,253E-1 4,500E-1 9,116E-1 -6,088E-2 1,802E+2 7,076E-4
2,178E+0 1,139E-1 4,517E-1 1,962E-1 -6,666E-2 2,102E+2 1,238E-3
2,164E+0 1,031E-1 4,528E-1 1,115E+0 -5,919E-2 2,402E+2 1,427E-4
2,150E+0 9,171E-2 4,536E-1 3,014E-1 -6,582E-2 2,703E+2 1,148E-5
2,136E+0 8,002E-2 4,544E-1 9,069E-1 -6,092E-2 3,003E+2 6,647E-5
2,120E+0 6,834E-2 4,549E-1 1,961E-1 -6,666E-2 3,303E+2 3,882E-3
2,105E+0 5,698E-2 4,549E-1 1,116E+0 -5,918E-2 3,604E+2 6,688E-2
2,089E+0 4,497E-2 4,548E-1 3,018E-1 -6,582E-2 3,904E+2 5,370E-2
2,073E+0 3,279E-2 4,544E-1 9,059E-1 -6,093E-2 4,204E+2 1,415E-3
2,057E+0 2,094E-2 4,543E-1 1,964E-1 -6,666E-2 4,505E+2 4,393E-5
2,040E+0 8,923E-3 4,528E-1 1,115E+0 -5,919E-2 4,805E+2 8,551E-6
2,023E+0 -3,750E-3 4,520E-1 3,004E-1 -6,583E-2 5,105E+2 4,673E-4
2,006E+0 -1,609E-2 4,503E-1 9,081E-1 -6,092E-2 5,405E+2 2,523E-3
1,988E+0 -2,811E-2 4,484E-1 1,957E-1 -6,667E-2 5,706E+2 9,587E-4
1,970E+0 -4,062E-2 4,465E-1 1,115E+0 -5,919E-2 6,006E+2 9,616E-6
1,952E+0 -5,296E-2 4,441E-1 3,005E-1 -6,583E-2 6,306E+2 2,386E-5
1,934E+0 -6,514E-2 4,416E-1 9,086E-1 -6,091E-2 6,607E+2 4,389E-4
1,915E+0 -7,732E-2 4,390E-1 1,968E-1 -6,666E-2 6,907E+2 1,257E-1
1,896E+0 -8,966E-2 4,357E-1 0,000E+0 0,000E+0 7,207E+2 3,118E-1
1,876E+0 -1,017E-1 4,322E-1 0,000E+0 0,000E+0 7,508E+2 4,650E-2
1,857E+0 -1,139E-1 4,284E-1 0,000E+0 0,000E+0 7,808E+2 1,278E-4
1,838E+0 -1,259E-1 4,242E-1 0,000E+0 0,000E+0 8,108E+2 1,082E-5
1,818E+0 -1,374E-1 4,201E-1 0,000E+0 0,000E+0 8,408E+2 4,277E-6
1,798E+0 -1,494E-1 4,158E-1 0,000E+0 0,000E+0 8,709E+2 2,179E-5
1,778E+0 -1,611E-1 4,103E-1 0,000E+0 0,000E+0 9,009E+2 2,058E-5
1,758E+0 -1,724E-1 4,054E-1 0,000E+0 0,000E+0 9,309E+2 1,619E-6
1,738E+0 -1,838E-1 4,001E-1 0,000E+0 0,000E+0 9,610E+2 3,323E-7
1,717E+0 -1,947E-1 3,944E-1 0,000E+0 0,000E+0 9,910E+2 1,178E-6
1,696E+0 -2,057E-1 3,886E-1 0,000E+0 0,000E+0 1,021E+3 1,337E-4
1,675E+0 -2,161E-1 3,824E-1 0,000E+0 0,000E+0 1,051E+3 1,198E-3
1,654E+0 -2,266E-1 3,764E-1 0,000E+0 0,000E+0 1,081E+3 6,171E-4
1,633E+0 -2,368E-1 3,700E-1 0,000E+0 0,000E+0 1,111E+3 5,574E-6
