G11_shinriki
06.09.2021
19:41:14
shinriki oszillator
DFT of V1
shinriki oszillator 
Chaos_Versuch
V1(V) V2(V) V3(V) cutX(V) cutY(V) DFTfq(Hz) DFTY(power)

7,769E-1 2,341E-2 1,291E-1 1,136E+0 -5,915E-2 3,003E+1 2,553E+0
1,322E+0 2,439E-2 8,875E-2 0,000E+0 0,000E+0 1,862E+3 6,727E-5
1,336E+0 2,785E-2 8,924E-2 0,000E+0 0,000E+0 1,892E+3 8,625E-5
1,350E+0 3,131E-2 8,990E-2 0,000E+0 0,000E+0 1,922E+3 5,638E-5
1,364E+0 3,493E-2 9,023E-2 0,000E+0 0,000E+0 1,952E+3 7,740E-5
1,379E+0 3,888E-2 9,105E-2 0,000E+0 0,000E+0 1,982E+3 7,948E-5
1,394E+0 4,250E-2 9,171E-2 0,000E+0 0,000E+0 2,012E+3 2,082E-4
1,410E+0 4,645E-2 9,319E-2 0,000E+0 0,000E+0 2,042E+3 2,502E-4
1,425E+0 5,040E-2 9,352E-2 0,000E+0 0,000E+0 2,072E+3 1,063E-4
1,441E+0 5,418E-2 9,467E-2 0,000E+0 0,000E+0 2,102E+3 6,372E-5
1,457E+0 5,863E-2 9,632E-2 0,000E+0 0,000E+0 2,132E+3 4,288E-5
1,474E+0 6,208E-2 9,714E-2 0,000E+0 0,000E+0 2,162E+3 3,024E-5
1,491E+0 6,636E-2 9,862E-2 0,000E+0 0,000E+0 2,192E+3 3,279E-5
1,508E+0 7,081E-2 9,994E-2 0,000E+0 0,000E+0 2,222E+3 4,120E-5
1,525E+0 7,492E-2 1,016E-1 0,000E+0 0,000E+0 2,252E+3 2,060E-5
1,543E+0 7,920E-2 1,029E-1 0,000E+0 0,000E+0 2,282E+3 2,047E-5
1,560E+0 8,331E-2 1,047E-1 0,000E+0 0,000E+0 2,312E+3 1,973E-5
1,578E+0 8,776E-2 1,064E-1 0,000E+0 0,000E+0 2,342E+3 2,829E-5
1,596E+0 9,204E-2 1,083E-1 0,000E+0 0,000E+0 2,372E+3 2,791E-5
1,615E+0 9,632E-2 1,106E-1 0,000E+0 0,000E+0 2,402E+3 4,262E-5
1,634E+0 1,008E-1 1,128E-1 0,000E+0 0,000E+0 2,432E+3 2,100E-5
1,653E+0 1,050E-1 1,149E-1 0,000E+0 0,000E+0 2,462E+3 1,684E-5
1,672E+0 1,093E-1 1,175E-1 0,000E+0 0,000E+0 2,492E+3 2,067E-5
1,691E+0 1,138E-1 1,195E-1 0,000E+0 0,000E+0 2,523E+3 1,603E-5
1,711E+0 1,180E-1 1,218E-1 0,000E+0 0,000E+0 2,553E+3 1,708E-5
1,730E+0 1,228E-1 1,248E-1 0,000E+0 0,000E+0 2,583E+3 1,613E-5
1,750E+0 1,271E-1 1,271E-1 0,000E+0 0,000E+0 2,613E+3 1,905E-5
1,769E+0 1,315E-1 1,301E-1 0,000E+0 0,000E+0 2,643E+3 2,727E-5
1,789E+0 1,358E-1 1,327E-1 0,000E+0 0,000E+0 2,673E+3 5,068E-5
1,808E+0 1,401E-1 1,358E-1 0,000E+0 0,000E+0 2,703E+3 5,966E-5
1,828E+0 1,447E-1 1,386E-1 0,000E+0 0,000E+0 2,733E+3 2,707E-5
1,847E+0 1,488E-1 1,419E-1 0,000E+0 0,000E+0 2,763E+3 1,347E-5
1,866E+0 1,534E-1 1,447E-1 0,000E+0 0,000E+0 2,793E+3 9,232E-6
1,885E+0 1,575E-1 1,477E-1 0,000E+0 0,000E+0 2,823E+3 1,208E-5
1,904E+0 1,620E-1 1,511E-1 0,000E+0 0,000E+0 2,853E+3 9,376E-6
1,922E+0 1,668E-1 1,538E-1 0,000E+0 0,000E+0 2,883E+3 9,327E-6
1,940E+0 1,709E-1 1,574E-1 0,000E+0 0,000E+0 2,913E+3 1,274E-5
1,958E+0 1,752E-1 1,610E-1 0,000E+0 0,000E+0 2,943E+3 7,084E-6
1,975E+0 1,793E-1 1,645E-1 0,000E+0 0,000E+0 2,973E+3 6,653E-6
1,992E+0 1,835E-1 1,684E-1 0,000E+0 0,000E+0 3,003E+3 6,154E-6
2,008E+0 1,878E-1 1,719E-1 0,000E+0 0,000E+0 3,033E+3 5,917E-6
2,025E+0 1,918E-1 1,755E-1 0,000E+0 0,000E+0 3,063E+3 4,971E-6
2,040E+0 1,961E-1 1,793E-1 0,000E+0 0,000E+0 3,093E+3 4,901E-6
2,055E+0 2,000E-1 1,832E-1 0,000E+0 0,000E+0 3,123E+3 6,678E-6
2,070E+0 2,038E-1 1,872E-1 0,000E+0 0,000E+0 3,153E+3 4,214E-6
2,085E+0 2,076E-1 1,913E-1 0,000E+0 0,000E+0 3,183E+3 3,843E-6
2,099E+0 2,112E-1 1,954E-1 0,000E+0 0,000E+0 3,213E+3 2,782E-6
2,112E+0 2,147E-1 1,998E-1 0,000E+0 0,000E+0 3,243E+3 2,861E-6
2,125E+0 2,181E-1 2,035E-1 0,000E+0 0,000E+0 3,273E+3 2,923E-6
2,137E+0 2,216E-1 2,079E-1 0,000E+0 0,000E+0 3,303E+3 5,161E-6
