X H  in mm	Y H rel	Gauss fit H	H Gauss Coefficients	X V in mm	Y V rel	Gauss fit V	V Gauss Coefficientes
0.96525	17.00000	0.00000	0.00000	0.96525	18.00000	0.00000	0.00000
0.97763	18.00000	0.00000	0.00000	0.97763	16.00000	0.00000	0.00000
0.99000	18.00000	0.00000	0.00000	0.99000	16.00000	0.00000	0.00000
1.00238	18.00000	0.00000	0.00000	1.00238	18.00000	0.00000	0.00000
1.01475	18.00000	0.00000	0.00000	1.01475	18.00000	0.00000	0.00000
1.02713	18.00000	0.00000	0.00000	1.02713	18.00000	0.00000	0.00000
1.03950	18.00000	0.00000	0.00000	1.03950	16.00000	0.00000	0.00000
1.05188	16.00000	0.00000	0.00000	1.05188	18.00000	0.00000	0.00000
1.06425	16.00000	0.00000	0.00000	1.06425	19.00000	0.00000	0.00000
1.07662	16.00000	0.00000	0.00000	1.07663	19.00000	0.00000	0.00000
1.08900	18.00000	0.00000	0.00000	1.08900	17.00000	0.00000	0.00000
1.10137	18.00000	0.00000	0.00000	1.10138	17.00000	0.00000	0.00000
1.11375	19.00000	0.00000	0.00000	1.11375	17.00000	0.00000	0.00000
1.12613	17.00000	0.00000	0.00000	1.12613	17.00000	0.00000	0.00000
1.13850	17.00000	0.00000	0.00000	1.13850	18.00000	0.00000	0.00000
1.15088	18.00000	0.00000	0.00000	1.15088	18.00000	0.00000	0.00000
1.16325	18.00000	0.00000	0.00000	1.16325	18.00000	0.00000	0.00000
1.17563	18.00000	0.00000	0.00000	1.17563	18.00000	0.00000	0.00000
1.18800	18.00000	0.00000	0.00000	1.18800	16.00000	0.00000	0.00000
1.20037	18.00000	0.00000	0.00000	1.20038	18.00000	0.00000	0.00000
1.21275	18.00000	0.00000	0.00000	1.21275	16.00000	0.00000	0.00000
1.22513	18.00000	0.00000	0.00000	1.22513	18.00000	0.00000	0.00000
1.23750	18.00000	0.00000	0.00000	1.23750	18.00000	0.00000	0.00000
1.24988	18.00000	0.00000	0.00000	1.24988	18.00000	0.00000	0.00000
1.26225	18.00000	0.00000	0.00000	1.26225	18.00000	0.00000	0.00000
