Richter_pendel
06.09.2021
17:01:56
nichtlineares Pendel
stimulation_fq[Hz]: 0,411
timeline range  for cut and FFT datapoints: 0-80s
Chaos_Versuch
t(s) Ua(V) -dUa/dt(V) cutX(V) cutY(V) F(Hz) DFT-Ua(V) DFT-dUa/dt(V)

4,000E-2 2,623E+0 1,239E-1 4,736E-1 -8,241E-3 1,250E-2 2,659E+0 7,473E-5
8,000E-2 2,638E+0 1,308E-1 6,558E-1 -8,241E-3 2,500E-2 1,173E+0 9,953E-5
1,200E-1 2,653E+0 1,375E-1 7,106E-1 -8,241E-3 3,750E-2 5,504E-2 9,935E-5
1,600E-1 2,670E+0 1,488E-1 5,337E-1 -8,241E-3 5,000E-2 2,708E-2 4,437E-4
2,000E-1 2,687E+0 1,520E-1 5,856E-1 -8,241E-3 6,250E-2 9,806E-2 1,149E-3
2,400E-1 2,705E+0 1,532E-1 2,258E+0 -8,241E-3 7,500E-2 4,816E-2 8,495E-4
2,800E-1 2,724E+0 1,603E-1 5,556E-1 -8,241E-3 8,750E-2 5,822E-2 1,937E-3
3,200E-1 2,743E+0 1,590E-1 2,018E+0 -8,241E-3 1,000E-1 9,328E-2 3,605E-3
3,600E-1 2,761E+0 1,528E-1 5,273E-1 -8,241E-3 1,125E-1 4,881E-2 2,303E-3
4,000E-1 2,779E+0 1,535E-1 5,761E-1 -8,241E-3 1,250E-1 3,280E-2 2,176E-3
4,400E-1 2,798E+0 1,468E-1 6,251E-1 -8,241E-3 1,375E-1 1,355E-2 1,057E-3
4,800E-1 2,815E+0 1,314E-1 6,277E-1 -8,241E-3 1,500E-1 8,322E-3 8,290E-4
5,200E-1 2,830E+0 1,220E-1 5,158E-1 -8,241E-3 1,625E-1 2,977E-2 3,711E-3
5,600E-1 2,845E+0 1,093E-1 6,995E-1 -8,241E-3 1,750E-1 3,456E-2 4,366E-3
6,000E-1 2,857E+0 8,503E-2 6,176E-1 -8,241E-3 1,875E-1 4,435E-3 6,438E-4
6,400E-1 2,867E+0 6,221E-2 5,998E-1 -8,241E-3 2,000E-1 5,046E-3 9,974E-4
6,800E-1 2,875E+0 4,160E-2 5,719E-1 -8,241E-3 2,125E-1 3,238E-3 5,923E-4
7,200E-1 2,880E+0 1,110E-2 7,006E-1 -8,241E-3 2,250E-1 3,404E-3 7,987E-4
7,600E-1 2,881E+0 -2,558E-2 5,777E-1 -8,241E-3 2,375E-1 1,263E-2 3,427E-3
8,000E-1 2,879E+0 -5,799E-2 2,445E+0 -8,241E-3 2,500E-1 3,783E-2 1,123E-2
8,400E-1 2,873E+0 -9,102E-2 2,286E+0 -8,241E-3 2,625E-1 4,977E-2 1,595E-2
8,800E-1 2,863E+0 -1,312E-1 4,814E-1 -8,241E-3 2,750E-1 2,519E-2 8,451E-3
9,200E-1 2,848E+0 -1,739E-1 6,157E-1 -8,241E-3 2,875E-1 8,550E-3 3,644E-3
9,600E-1 2,829E+0 -2,112E-1 7,249E-1 -8,241E-3 3,000E-1 3,493E-2 1,459E-2
1,000E+0 2,805E+0 -2,451E-1 5,522E-1 -8,241E-3 3,125E-1 3,149E-3 1,271E-3
1,040E+0 2,778E+0 -2,829E-1 0,000E+0 0,000E+0 3,250E-1 2,240E-3 1,068E-3
1,080E+0 2,747E+0 -3,208E-1 0,000E+0 0,000E+0 3,375E-1 5,883E-4 3,309E-4
1,120E+0 2,711E+0 -3,499E-1 0,000E+0 0,000E+0 3,500E-1 2,241E-3 1,328E-3
1,160E+0 2,672E+0 -3,716E-1 0,000E+0 0,000E+0 3,625E-1 4,605E-4 2,673E-4
1,200E+0 2,631E+0 -3,932E-1 0,000E+0 0,000E+0 3,750E-1 2,165E-3 1,470E-3
1,240E+0 2,588E+0 -4,145E-1 0,000E+0 0,000E+0 3,875E-1 2,218E-3 1,582E-3
1,280E+0 2,542E+0 -4,283E-1 0,000E+0 0,000E+0 4,000E-1 6,741E-4 4,993E-4
1,320E+0 2,495E+0 -4,319E-1 0,000E+0 0,000E+0 4,125E-1 3,805E-3 3,279E-3
1,360E+0 2,447E+0 -4,342E-1 0,000E+0 0,000E+0 4,250E-1 1,072E-2 9,262E-3
1,400E+0 2,399E+0 -4,391E-1 0,000E+0 0,000E+0 4,375E-1 2,763E-3 2,439E-3
1,440E+0 2,351E+0 -4,372E-1 0,000E+0 0,000E+0 4,500E-1 1,202E-4 1,287E-4
1,480E+0 2,303E+0 -4,264E-1 0,000E+0 0,000E+0 4,625E-1 1,893E-3 1,991E-3
1,520E+0 2,256E+0 -4,184E-1 0,000E+0 0,000E+0 4,750E-1 2,255E-3 2,448E-3
1,560E+0 2,209E+0 -4,144E-1 0,000E+0 0,000E+0 4,875E-1 2,058E-3 2,378E-3
1,600E+0 2,163E+0 -4,029E-1 0,000E+0 0,000E+0 5,000E-1 2,883E-3 3,524E-3
1,640E+0 2,119E+0 -3,879E-1 0,000E+0 0,000E+0 5,125E-1 3,473E-3 4,433E-3
1,680E+0 2,076E+0 -3,807E-1 0,000E+0 0,000E+0 5,250E-1 1,720E-3 2,269E-3
1,720E+0 2,034E+0 -3,736E-1 0,000E+0 0,000E+0 5,375E-1 5,346E-4 7,472E-4
1,760E+0 1,992E+0 -3,590E-1 0,000E+0 0,000E+0 5,500E-1 2,248E-4 3,374E-4
1,800E+0 1,952E+0 -3,519E-1 0,000E+0 0,000E+0 5,625E-1 3,497E-4 5,259E-4
1,840E+0 1,912E+0 -3,493E-1 0,000E+0 0,000E+0 5,750E-1 4,513E-5 7,068E-5
1,880E+0 1,873E+0 -3,391E-1 0,000E+0 0,000E+0 5,875E-1 9,181E-5 1,607E-4
1,920E+0 1,835E+0 -3,364E-1 0,000E+0 0,000E+0 6,000E-1 1,918E-4 3,364E-4
1,960E+0 1,796E+0 -3,387E-1 0,000E+0 0,000E+0 6,125E-1 3,658E-4 6,845E-4
2,000E+0 1,758E+0 -3,329E-1 0,000E+0 0,000E+0 6,250E-1 4,131E-4 7,807E-4
2,040E+0 1,720E+0 -3,373E-1 0,000E+0 0,000E+0 6,375E-1 1,177E-4 2,320E-4
2,080E+0 1,681E+0 -3,423E-1 0,000E+0 0,000E+0 6,500E-1 1,134E-5 2,359E-5
2,120E+0 1,642E+0 -3,431E-1 0,000E+0 0,000E+0 6,625E-1 2,070E-4 4,523E-4
2,160E+0 1,602E+0 -3,537E-1 0,000E+0 0,000E+0 6,750E-1 3,982E-4 8,959E-4
2,200E+0 1,561E+0 -3,604E-1 0,000E+0 0,000E+0 6,875E-1 1,411E-4 3,173E-4
2,240E+0 1,520E+0 -3,683E-1 0,000E+0 0,000E+0 7,000E-1 8,265E-5 2,068E-4
2,280E+0 1,477E+0 -3,826E-1 0,000E+0 0,000E+0 7,125E-1 1,032E-4 2,503E-4
2,320E+0 1,432E+0 -3,903E-1 0,000E+0 0,000E+0 7,250E-1 2,472E-5 6,774E-5
2,360E+0 1,387E+0 -4,047E-1 0,000E+0 0,000E+0 7,375E-1 8,497E-5 2,250E-4
2,400E+0 1,339E+0 -4,181E-1 0,000E+0 0,000E+0 7,500E-1 1,060E-4 3,006E-4
2,440E+0 1,290E+0 -4,287E-1 0,000E+0 0,000E+0 7,625E-1 1,047E-4 2,936E-4
2,480E+0 1,240E+0 -4,425E-1 0,000E+0 0,000E+0 7,750E-1 2,070E-6 6,403E-6
2,520E+0 1,188E+0 -4,529E-1 0,000E+0 0,000E+0 7,875E-1 3,441E-5 1,062E-4
2,560E+0 1,136E+0 -4,634E-1 0,000E+0 0,000E+0 8,000E-1 1,277E-4 4,115E-4
2,600E+0 1,081E+0 -4,716E-1 0,000E+0 0,000E+0 8,125E-1 2,299E-4 7,478E-4
2,640E+0 1,026E+0 -4,739E-1 0,000E+0 0,000E+0 8,250E-1 1,939E-4 6,505E-4
