G11_pendel
06.09.2021
17:21:54
nichtlineares Pendel
stimulation_fq[Hz]: 0,411
timeline range  for cut and FFT datapoints: 0-120s
Chaos_Versuch

t(s) Ua(V) -dUa/dt(V) cutX(V) cutY(V) F(Hz) DFT-Ua(V) DFT-dUa/dt(V)
2,480E+0 2,161E+0 3,136E-1 0,000E+0 0,000E+0 5,167E-1 NaN NaN
2,520E+0 2,196E+0 3,178E-1 0,000E+0 0,000E+0 5,250E-1 NaN NaN
2,560E+0 2,231E+0 3,152E-1 0,000E+0 0,000E+0 5,333E-1 NaN NaN
2,600E+0 2,267E+0 3,214E-1 0,000E+0 0,000E+0 5,417E-1 NaN NaN
2,640E+0 2,303E+0 3,241E-1 0,000E+0 0,000E+0 5,500E-1 NaN NaN
2,680E+0 2,339E+0 3,252E-1 0,000E+0 0,000E+0 5,583E-1 NaN NaN
2,720E+0 2,376E+0 3,334E-1 0,000E+0 0,000E+0 5,667E-1 NaN NaN
2,760E+0 2,413E+0 3,331E-1 0,000E+0 0,000E+0 5,750E-1 NaN NaN
2,800E+0 2,451E+0 3,381E-1 0,000E+0 0,000E+0 5,833E-1 NaN NaN
2,840E+0 2,489E+0 3,430E-1 0,000E+0 0,000E+0 5,917E-1 NaN NaN
2,880E+0 2,528E+0 3,405E-1 0,000E+0 0,000E+0 6,000E-1 NaN NaN
2,920E+0 2,566E+0 3,449E-1 0,000E+0 0,000E+0 6,083E-1 NaN NaN
2,960E+0 2,605E+0 3,421E-1 0,000E+0 0,000E+0 6,167E-1 NaN NaN
3,000E+0 2,644E+0 3,349E-1 0,000E+0 0,000E+0 6,250E-1 NaN NaN
3,040E+0 2,682E+0 3,314E-1 0,000E+0 0,000E+0 6,333E-1 NaN NaN
3,080E+0 2,720E+0 3,171E-1 0,000E+0 0,000E+0 6,417E-1 NaN NaN
3,120E+0 2,755E+0 2,985E-1 0,000E+0 0,000E+0 6,500E-1 NaN NaN
3,160E+0 2,789E+0 2,810E-1 0,000E+0 0,000E+0 6,583E-1 NaN NaN
3,200E+0 2,821E+0 2,520E-1 0,000E+0 0,000E+0 6,667E-1 NaN NaN
3,240E+0 2,849E+0 2,148E-1 0,000E+0 0,000E+0 6,750E-1 NaN NaN
3,280E+0 2,873E+0 1,779E-1 0,000E+0 0,000E+0 6,833E-1 NaN NaN
3,320E+0 2,893E+0 1,328E-1 0,000E+0 0,000E+0 6,917E-1 NaN NaN
3,360E+0 2,907E+0 7,527E-2 0,000E+0 0,000E+0 7,000E-1 NaN NaN
3,400E+0 2,915E+0 1,530E-2 0,000E+0 0,000E+0 7,083E-1 NaN NaN
3,440E+0 2,916E+0 -4,448E-2 0,000E+0 0,000E+0 7,167E-1 NaN NaN
3,480E+0 2,910E+0 -1,102E-1 0,000E+0 0,000E+0 7,250E-1 NaN NaN
3,520E+0 2,897E+0 -1,816E-1 0,000E+0 0,000E+0 7,333E-1 NaN NaN
3,560E+0 2,876E+0 -2,508E-1 0,000E+0 0,000E+0 7,417E-1 NaN NaN
3,600E+0 2,847E+0 -3,133E-1 0,000E+0 0,000E+0 7,500E-1 NaN NaN
3,640E+0 2,812E+0 -3,734E-1 0,000E+0 0,000E+0 7,583E-1 NaN NaN
3,680E+0 2,770E+0 -4,324E-1 0,000E+0 0,000E+0 7,667E-1 NaN NaN
3,720E+0 2,721E+0 -4,855E-1 0,000E+0 0,000E+0 7,750E-1 NaN NaN
3,760E+0 2,666E+0 -5,268E-1 0,000E+0 0,000E+0 7,833E-1 NaN NaN
3,800E+0 2,607E+0 -5,570E-1 0,000E+0 0,000E+0 7,917E-1 NaN NaN
3,840E+0 2,545E+0 -5,820E-1 0,000E+0 0,000E+0 8,000E-1 NaN NaN
3,880E+0 2,481E+0 -6,028E-1 0,000E+0 0,000E+0 8,083E-1 NaN NaN
3,920E+0 2,414E+0 -6,133E-1 0,000E+0 0,000E+0 8,167E-1 NaN NaN
3,960E+0 2,346E+0 -6,120E-1 0,000E+0 0,000E+0 8,250E-1 NaN NaN
4,000E+0 2,278E+0 -6,070E-1 0,000E+0 0,000E+0 8,333E-1 NaN NaN
4,040E+0 2,211E+0 -6,032E-1 0,000E+0 0,000E+0 8,417E-1 NaN NaN
4,080E+0 2,144E+0 -5,945E-1 0,000E+0 0,000E+0 8,500E-1 NaN NaN
4,120E+0 2,078E+0 -5,789E-1 0,000E+0 0,000E+0 8,583E-1 NaN NaN
4,160E+0 2,014E+0 -5,659E-1 0,000E+0 0,000E+0 8,667E-1 NaN NaN
4,200E+0 1,951E+0 -5,582E-1 0,000E+0 0,000E+0 8,750E-1 NaN NaN
4,240E+0 1,889E+0 -5,450E-1 0,000E+0 0,000E+0 8,833E-1 NaN NaN
4,280E+0 1,828E+0 -5,320E-1 0,000E+0 0,000E+0 8,917E-1 NaN NaN
4,320E+0 1,768E+0 -5,294E-1 0,000E+0 0,000E+0 9,000E-1 NaN NaN
4,360E+0 1,708E+0 -5,223E-1 0,000E+0 0,000E+0 9,083E-1 NaN NaN
4,400E+0 1,649E+0 -5,157E-1 0,000E+0 0,000E+0 9,167E-1 NaN NaN
4,440E+0 1,590E+0 -5,203E-1 0,000E+0 0,000E+0 9,250E-1 NaN NaN
4,480E+0 1,531E+0 -5,177E-1 0,000E+0 0,000E+0 9,333E-1 NaN NaN
4,520E+0 1,472E+0 -5,202E-1 0,000E+0 0,000E+0 9,417E-1 NaN NaN
4,560E+0 1,412E+0 -5,285E-1 0,000E+0 0,000E+0 9,500E-1 NaN NaN
4,600E+0 1,352E+0 -5,280E-1 0,000E+0 0,000E+0 9,583E-1 NaN NaN
4,640E+0 1,291E+0 -5,378E-1 0,000E+0 0,000E+0 9,667E-1 NaN NaN
4,680E+0 1,229E+0 -5,436E-1 0,000E+0 0,000E+0 9,750E-1 NaN NaN
4,720E+0 1,166E+0 -5,443E-1 0,000E+0 0,000E+0 9,833E-1 NaN NaN
4,760E+0 1,103E+0 -5,524E-1 0,000E+0 0,000E+0 9,917E-1 NaN NaN
4,800E+0 1,039E+0 -5,499E-1 0,000E+0 0,000E+0 1,000E+0 NaN NaN
4,840E+0 9,756E-1 -5,443E-1 0,000E+0 0,000E+0 1,008E+0 NaN NaN
4,880E+0 9,124E-1 -5,396E-1 0,000E+0 0,000E+0 1,017E+0 NaN NaN
4,920E+0 8,500E-1 -5,216E-1 0,000E+0 0,000E+0 1,025E+0 NaN NaN
4,960E+0 7,898E-1 -4,968E-1 0,000E+0 0,000E+0 1,033E+0 NaN NaN
5,000E+0 7,323E-1 -4,700E-1 0,000E+0 0,000E+0 1,042E+0 NaN NaN
5,040E+0 6,780E-1 -4,310E-1 0,000E+0 0,000E+0 1,050E+0 NaN NaN
5,080E+0 6,284E-1 -3,773E-1 0,000E+0 0,000E+0 1,058E+0 NaN NaN
5,120E+0 5,850E-1 -3,179E-1 0,000E+0 0,000E+0 1,067E+0 NaN NaN
5,160E+0 5,481E-1 -2,525E-1 0,000E+0 0,000E+0 1,075E+0 NaN NaN
5,200E+0 5,190E-1 -1,754E-1 0,000E+0 0,000E+0 1,083E+0 NaN NaN
5,240E+0 4,987E-1 -8,766E-2 0,000E+0 0,000E+0 1,092E+0 NaN NaN
5,280E+0 4,883E-1 3,825E-3 0,000E+0 0,000E+0 1,100E+0 NaN NaN
5,320E+0 4,881E-1 9,393E-2 0,000E+0 0,000E+0 1,108E+0 NaN NaN
5,360E+0 4,978E-1 1,817E-1 0,000E+0 0,000E+0 1,117E+0 NaN NaN
5,400E+0 5,173E-1 2,686E-1 0,000E+0 0,000E+0 1,125E+0 NaN NaN
5,440E+0 5,463E-1 3,516E-1 0,000E+0 0,000E+0 1,133E+0 NaN NaN
5,480E+0 5,844E-1 4,250E-1 0,000E+0 0,000E+0 1,142E+0 NaN NaN
5,520E+0 6,304E-1 4,855E-1 0,000E+0 0,000E+0 1,150E+0 NaN NaN
5,560E+0 6,827E-1 5,334E-1 0,000E+0 0,000E+0 1,158E+0 NaN NaN
5,600E+0 7,401E-1 5,715E-1 0,000E+0 0,000E+0 1,167E+0 NaN NaN
5,640E+0 8,016E-1 5,995E-1 0,000E+0 0,000E+0 1,175E+0 NaN NaN
5,680E+0 8,657E-1 6,132E-1 0,000E+0 0,000E+0 1,183E+0 NaN NaN
5,720E+0 9,311E-1 6,112E-1 0,000E+0 0,000E+0 1,192E+0 NaN NaN
5,760E+0 9,960E-1 5,983E-1 0,000E+0 0,000E+0 1,200E+0 NaN NaN
5,800E+0 1,059E+0 5,814E-1 0,000E+0 0,000E+0 1,208E+0 NaN NaN
5,840E+0 1,121E+0 5,610E-1 0,000E+0 0,000E+0 1,217E+0 NaN NaN
5,880E+0 1,180E+0 5,333E-1 0,000E+0 0,000E+0 1,225E+0 NaN NaN
5,920E+0 1,236E+0 5,004E-1 0,000E+0 0,000E+0 1,233E+0 NaN NaN
5,960E+0 1,289E+0 4,706E-1 0,000E+0 0,000E+0 1,242E+0 NaN NaN
6,000E+0 1,338E+0 4,445E-1 0,000E+0 0,000E+0 1,250E+0 NaN NaN
6,040E+0 1,385E+0 4,135E-1 0,000E+0 0,000E+0 1,258E+0 NaN NaN
6,080E+0 1,428E+0 3,810E-1 0,000E+0 0,000E+0 1,267E+0 NaN NaN
6,120E+0 1,467E+0 3,571E-1 0,000E+0 0,000E+0 1,275E+0 NaN NaN
6,160E+0 1,505E+0 3,348E-1 0,000E+0 0,000E+0 1,283E+0 NaN NaN
6,200E+0 1,539E+0 3,070E-1 0,000E+0 0,000E+0 1,292E+0 NaN NaN
6,240E+0 1,571E+0 2,888E-1 0,000E+0 0,000E+0 1,300E+0 NaN NaN
6,280E+0 1,602E+0 2,734E-1 0,000E+0 0,000E+0 1,308E+0 NaN NaN
6,320E+0 1,630E+0 2,523E-1 0,000E+0 0,000E+0 1,317E+0 NaN NaN
6,360E+0 1,656E+0 2,407E-1 0,000E+0 0,000E+0 1,325E+0 NaN NaN
6,400E+0 1,682E+0 2,293E-1 0,000E+0 0,000E+0 1,333E+0 NaN NaN
6,440E+0 1,705E+0 2,132E-1 0,000E+0 0,000E+0 1,342E+0 NaN NaN
6,480E+0 1,728E+0 2,079E-1 0,000E+0 0,000E+0 1,350E+0 NaN NaN
6,520E+0 1,749E+0 1,975E-1 0,000E+0 0,000E+0 1,358E+0 NaN NaN
6,560E+0 1,770E+0 1,876E-1 0,000E+0 0,000E+0 1,367E+0 NaN NaN
6,600E+0 1,790E+0 1,863E-1 0,000E+0 0,000E+0 1,375E+0 NaN NaN
6,640E+0 1,809E+0 1,759E-1 0,000E+0 0,000E+0 1,383E+0 NaN NaN
6,680E+0 1,828E+0 1,726E-1 0,000E+0 0,000E+0 1,392E+0 NaN NaN
6,720E+0 1,846E+0 1,713E-1 0,000E+0 0,000E+0 1,400E+0 NaN NaN
6,760E+0 1,864E+0 1,625E-1 0,000E+0 0,000E+0 1,408E+0 NaN NaN
6,800E+0 1,881E+0 1,646E-1 0,000E+0 0,000E+0 1,417E+0 NaN NaN
6,840E+0 1,899E+0 1,608E-1 0,000E+0 0,000E+0 1,425E+0 NaN NaN
