GRUPPE_Greyline13.dat
13.09.2021
15:36:10
GRUPPE

Gauss coefficients notation:
Amplitude
FWHM
Std.Abw.
[Fehler]
offset
BEAMCUT  LINES:

X H  in mm	Y H rel	Gauss fit H	H Gauss Coefficients	X V in mm	Y V rel	Gauss fit V	V Gauss Coefficientes
0,94050	19,00000	0,00000	0,00000	0,94050	19,00000	0,00000	0,00000
0,95288	18,00000	0,00000	0,00000	0,95288	20,00000	0,00000	0,00000
0,96525	18,00000	0,00000	0,00000	0,96525	19,00000	0,00000	0,00000
0,97763	20,00000	0,00000	0,00000	0,97763	20,00000	0,00000	0,00000
0,99000	18,00000	0,00000	0,00000	0,99000	19,00000	0,00000	0,00000
1,00238	20,00000	0,00000	0,00000	1,00238	20,00000	0,00000	0,00000
1,01475	18,00000	0,00000	0,00000	1,01475	18,00000	0,00000	0,00000
1,02713	18,00000	0,00000	0,00000	1,02713	18,00000	0,00000	0,00000
1,03950	19,00000	0,00000	0,00000	1,03950	18,00000	0,00000	0,00000
1,05188	19,00000	0,00000	0,00000	1,05188	19,00000	0,00000	0,00000
1,06425	19,00000	0,00000	0,00000	1,06425	19,00000	0,00000	0,00000
1,07662	19,00000	0,00000	0,00000	1,07663	19,00000	0,00000	0,00000
1,08900	18,00000	0,00000	0,00000	1,08900	19,00000	0,00000	0,00000
1,10137	18,00000	0,00000	0,00000	1,10138	19,00000	0,00000	0,00000
1,11375	20,00000	0,00000	0,00000	1,11375	20,00000	0,00000	0,00000
1,12613	20,00000	0,00000	0,00000	1,12613	20,00000	0,00000	0,00000
1,13850	20,00000	0,00000	0,00000	1,13850	20,00000	0,00000	0,00000
1,15088	20,00000	0,00000	0,00000	1,15088	19,00000	0,00000	0,00000
1,16325	20,00000	0,00000	0,00000	1,16325	20,00000	0,00000	0,00000
1,17563	18,00000	0,00000	0,00000	1,17563	18,00000	0,00000	0,00000
1,18800	18,00000	0,00000	0,00000	1,18800	20,00000	0,00000	0,00000
1,20037	19,00000	0,00000	0,00000	1,20038	19,00000	0,00000	0,00000
1,21275	19,00000	0,00000	0,00000	1,21275	17,00000	0,00000	0,00000
1,22513	19,00000	0,00000	0,00000	1,22513	19,00000	0,00000	0,00000
1,23750	19,00000	0,00000	0,00000	1,23750	17,00000	0,00000	0,00000
1,24988	19,00000	0,00000	0,00000	1,24988	17,00000	0,00000	0,00000
1,26225	17,00000	0,00000	0,00000	1,26225	18,00000	0,00000	0,00000
1,27463	17,00000	0,00000	0,00000	1,27463	18,00000	0,00000	0,00000
1,28700	19,00000	0,00000	0,00000	1,28700	19,00000	0,00000	0,00000
1,29938	17,00000	0,00000	0,00000	1,29938	19,00000	0,00000	0,00000
1,31175	17,00000	0,00000	0,00000	1,31175	20,00000	0,00000	0,00000
1,32412	17,00000	0,00000	0,00000	1,32413	19,00000	0,00000	0,00000
1,33650	19,00000	0,00000	0,00000	1,33650	20,00000	0,00000	0,00000
1,34888	19,00000	0,00000	0,00000	1,34888	19,00000	0,00000	0,00000
1,36125	18,00000	0,00000	0,00000	1,36125	19,00000	0,00000	0,00000
1,37363	20,00000	0,00000	0,00000	1,37363	19,00000	0,00000	0,00000
1,38600	18,00000	0,00000	0,00000	1,38600	17,00000	0,00000	0,00000
1,39838	18,00000	0,00000	0,00000	1,39838	19,00000	0,00000	0,00000
1,41075	19,00000	0,00000	0,00000	1,41075	17,00000	0,00000	0,00000
1,42312	19,00000	0,00000	0,00000	1,42313	19,00000	0,00000	0,00000
1,43550	19,00000	0,00000	0,00000	1,43550	17,00000	0,00000	0,00000
1,44788	18,00000	0,00000	0,00000	1,44788	20,00000	0,00000	0,00000
1,46025	19,00000	0,00000	0,00000	1,46025	19,00000	0,00000	0,00000
1,47263	20,00000	0,00000	0,00000	1,47263	20,00000	0,00000	0,00000
1,48500	17,00000	0,00000	0,00000	1,48500	19,00000	0,00000	0,00000
1,49738	17,00000	0,00000	0,00000	1,49738	19,00000	0,00000	0,00000
1,50975	19,00000	0,00000	0,00000	1,50975	19,00000	0,00000	0,00000
1,52213	19,00000	0,00000	0,00000	1,52213	19,00000	0,00000	0,00000
1,53450	17,00000	0,00000	0,00000	1,53450	19,00000	0,00000	0,00000
1,54688	17,00000	0,00000	0,00000	1,54688	19,00000	0,00000	0,00000
1,55925	19,00000	0,00000	0,00000	1,55925	19,00000	0,00000	0,00000
1,57163	19,00000	0,00000	0,00000	1,57163	20,00000	0,00000	0,00000
1,58400	19,00000	0,00000	0,00000	1,58400	19,00000	0,00000	0,00000
1,59638	19,00000	0,00000	0,00000	1,59638	19,00000	0,00000	0,00000
1,60875	19,00000	0,00000	0,00000	1,60875	18,00000	0,00000	0,00000
1,62113	17,00000	0,00000	0,00000	1,62113	19,00000	0,00000	0,00000
1,63350	17,00000	0,00000	0,00000	1,63350	19,00000	0,00000	0,00000
