Parameters:
     Ampl. 1=     3983.32
    Lifet. 1=      300.98
     Ampl. 2=    29782.96
    Lifet. 2=       2.943
     Backgr.=     -3475.6
     Backgr.=           0
       Shift=           0

X²: 1.232
tau_amp: 38.1 ns; tau_int: 280.68 ns

Time[ns]	         IRF	       Decay	         Fit	  Resids.
  2.5920	        8869	       52877	           -	        -
  2.6080	        6903	       53161	           -	        -
  2.6240	       10287	       52762	           -	        -
  2.6400	        6380	       52326	           -	        -
  2.6560	        5612	       52923	           -	        -
  2.6720	        7136	       52424	           -	        -
  2.6880	        7158	       52569	           -	        -
  2.7040	        5106	       52455	           -	        -
  2.7200	        4699	       52025	           -	        -
  2.7360	        3542	       52245	           -	        -
  2.7520	           0	       51675	           -	        -
  2.7680	           0	       51611	           -	        -
  2.7840	           0	       50712	           -	        -
  2.8000	           0	       51097	           -	        -
  2.8160	           0	       50841	           -	        -
  2.8320	           0	       50352	           -	        -
  2.8480	           0	       49995	           -	        -
  2.8640	           0	       49560	           -	        -
  2.8800	           0	       49167	           -	        -
  2.8960	           0	       49015	           -	        -
  2.9120	           0	       49080	           -	        -
  2.9280	           0	       48664	           -	        -
  2.9440	           0	       48627	           -	        -
  2.9600	           0	       48187	           -	        -
  2.9760	           0	       48282	           -	        -
  2.9920	           0	       47988	           -	        -
  3.0080	           0	       47614	           -	        -
  3.0240	           0	       47260	           -	        -
  3.0400	           0	       47030	           -	        -
  3.0560	           0	       46490	           -	        -
  3.0720	           0	       46361	           -	        -
  3.0880	           0	       45721	           -	        -
  3.1040	           0	       45590	           -	        -
  3.1200	           0	       45443	           -	        -
  3.1360	           0	       44877	           -	        -
  3.1520	           0	       44929	           -	        -
  3.1680	           0	       44562	           -	        -
  3.1840	           0	       44082	           -	        -
  3.2000	           0	       43796	           -	        -
  3.2160	           0	       43723	           -	        -
  3.2320	           0	       43671	           -	        -
  3.2480	           0	       43261	           -	        -
  3.2640	           0	       42692	           -	        -
  3.2800	           0	       42867	           -	        -
  3.2960	           0	       42813	           -	        -
  3.3120	           0	       42191	           -	        -
  3.3280	           0	       41667	           -	        -
  3.3440	           0	       41786	           -	        -
  3.3600	           0	       41644	           -	        -
  3.3760	           0	       41147	           -	        -
  3.3920	           0	       40786	           -	        -
  3.4080	           0	       40786	           -	        -
  3.4240	           0	       39849	           -	        -
  3.4400	           0	       40049	           -	        -
  3.4560	           0	       39685	           -	        -
  3.4720	           0	       39725	           -	        -
  3.4880	           0	       39443	           -	        -
  3.5040	           0	       39454	           -	        -
  3.5200	           0	       39282	           -	        -
  3.5360	           0	       38866	           -	        -
  3.5520	           0	       38531	           -	        -
  3.5680	           0	       37962	           -	        -
  3.5840	           0	       37974	           -	        -
  3.6000	           0	       37667	           -	        -
  3.6160	           0	       37517	           -	        -
  3.6320	           0	       37212	           -	        -
  3.6480	           0	       37205	           -	        -
  3.6640	           0	       37003	           -	        -
  3.6800	           0	       36499	           -	        -
  3.6960	           0	       36785	           -	        -
  3.7120	           0	       36006	           -	        -
  3.7280	           0	       36265	           -	        -
  3.7440	           0	       35648	           -	        -
  3.7600	           0	       35592	           -	        -
  3.7760	           0	       35420	           -	        -
  3.7920	           0	       35153	           -	        -
  3.8080	           0	       35166	           -	        -
  3.8240	           0	       35030	           -	        -
  3.8400	           0	       34431	           -	        -
  3.8560	           0	       34476	           -	        -
  3.8720	           0	       34131	           -	        -
  3.8880	           0	       33977	           -	        -
  3.9040	           0	       34050	           -	        -
  3.9200	           0	       33641	           -	        -
  3.9360	           0	       33261	           -	        -
  3.9520	           0	       33078	           -	        -
  3.9680	           0	       33411	           -	        -
  3.9840	           0	       32712	           -	        -
  4.0000	           0	       32731	           -	        -
  4.0160	           0	       32338	           -	        -
  4.0320	           0	       32196	           -	        -
  4.0480	           0	       32031	           -	        -
  4.0640	           0	       31953	           -	        -
  4.0800	           0	       31961	           -	        -
  4.0960	           0	       31107	           -	        -
  4.1120	           0	       31198	           -	        -
  4.1280	           0	       31185	           -	        -
  4.1440	           0	       30756	           -	        -
  4.1600	           0	       30988	     30290.7	   3.9612
  4.1760	           0	       30933	     30129.0	   4.5712
  4.1920	           0	       30313	     29968.2	   1.9803
  4.2080	           0	       30007	     29808.3	   1.1470
  4.2240	           0	       30074	     29649.2	   2.4493
  4.2400	           0	       30009	     29491.0	   2.9899
  4.2560	           0	       29776	     29333.7	   2.5631
  4.2720	           0	       29455	     29177.2	   1.6185
  4.2880	           0	       29043	     29021.6	   0.1257
  4.3040	           0	       29187	     28866.8	   1.8743
  4.3200	           0	       28847	     28712.8	   0.7900
  4.3360	           0	       29125	     28559.7	   3.3124
  4.3520	           0	       28411	     28407.4	   0.0213
  4.3680	           0	       28505	     28255.9	   1.4752
  4.3840	           0	       28329	     28105.3	   1.3292
  4.4000	           0	       28208	     27955.4	   1.5038
  4.4160	           0	       27829	     27806.4	   0.1354
  4.4320	           0	       27992	     27658.2	   1.9951
  4.4480	           0	       27922	     27510.8	   2.4610
  4.4640	           0	       27615	     27364.2	   1.5095
  4.4800	           0	       27333	     27218.3	   0.6936
  4.4960	           0	       27182	     27073.3	   0.6593
  4.5120	           0	       27044	     26929.0	   0.6990
  4.5280	           0	       26791	     26785.6	   0.0331
  4.5440	           0	       26791	     26642.9	   0.9049
  4.5600	           0	       26648	     26501.0	   0.9007
  4.5760	           0	       26173	     26359.8	  -1.1547
  4.5920	           0	       26281	     26219.4	   0.3798
  4.6080	           0	       26185	     26079.8	   0.6501
  4.6240	           0	       26303	     25940.9	   2.2325
  4.6400	           0	       25811	     25802.8	   0.0510
  4.6560	           0	       25809	     25665.4	   0.8936
  4.6720	           0	       25690	     25528.8	   1.0057
  4.6880	           0	       25972	     25392.9	   3.5933
  4.7040	           0	       25132	     25257.8	  -0.7933
  4.7200	           0	       25023	     25123.3	  -0.6343
  4.7360	           0	       25000	     24989.6	   0.0655
  4.7520	           0	       24842	     24856.7	  -0.0931
  4.7680	           0	       24706	     24724.4	  -0.1172
  4.7840	           0	       24691	     24592.9	   0.6244
  4.8000	           0	       24245	     24462.1	  -1.3940
  4.8160	           0	       24287	     24331.9	  -0.2884
  4.8320	           0	       24506	     24202.5	   1.9386
  4.8480	           0	       24128	     24073.8	   0.3488
  4.8640	           0	       23847	     23945.8	  -0.6398
  4.8800	           0	       24160	     23818.5	   2.1972
  4.8960	           0	       23659	     23691.8	  -0.2136
  4.9120	           0	       23339	     23565.9	  -1.4852
  4.9280	           0	       23648	     23440.6	   1.3485
  4.9440	           0	       23516	     23316.0	   1.3039
  4.9600	           0	       23451	     23192.1	   1.6904
  4.9760	           0	       23150	     23068.9	   0.5331
  4.9920	           0	       23090	     22946.3	   0.9456
  5.0080	           0	       23152	     22824.4	   2.1530
  5.0240	           0	       22754	     22703.1	   0.3371
  5.0400	           0	       22644	     22582.6	   0.4083
  5.0560	           0	       22426	     22462.6	  -0.2445
  5.0720	           0	       22377	     22343.3	   0.2252
  5.0880	           0	       22132	     22224.7	  -0.6229
  5.1040	           0	       22192	     22106.7	   0.5729
  5.1200	           0	       22042	     21989.3	   0.3550
  5.1360	           0	       21837	     21872.6	  -0.2406
  5.1520	           0	       21730	     21756.5	  -0.1794
  5.1680	           0	       21635	     21641.0	  -0.0406
  5.1840	           0	       21598	     21526.1	   0.4890
  5.2000	           0	       21615	     21411.9	   1.3814
  5.2160	           0	       21301	     21298.3	   0.0185
  5.2320	           0	       20901	     21185.3	  -1.9665
  5.2480	           0	       21064	     21072.9	  -0.0614
  5.2640	           0	       20782	     20961.1	  -1.2427
  5.2800	           0	       20790	     20850.0	  -0.4159
  5.2960	           0	       20614	     20739.4	  -0.8734
  5.3120	           0	       20485	     20629.4	  -1.0091
  5.3280	           0	       20379	     20520.1	  -0.9881
  5.3440	           0	       20193	     20411.3	  -1.5360
  5.3600	           0	       20248	     20303.1	  -0.3871
  5.3760	           0	       19793	     20195.5	  -2.8607
  5.3920	           0	       19924	     20088.4	  -1.1650
  5.4080	           0	       20098	     19982.0	   0.8183
  5.4240	           0	       19878	     19876.1	   0.0133
  5.4400	           0	       19755	     19770.8	  -0.1126
  5.4560	           0	       19298	     19666.1	  -2.6497
  5.4720	           0	       19451	     19561.9	  -0.7954
