Parameters:
     Ampl. 1=    13877.49
    Lifet. 1=       3.121
     Ampl. 2=   -10901.93
    Lifet. 2=       3.121
     Backgr.=       99.03
     Backgr.=           0
       Shift=           0

X²: 1.049
tau_amp: 3.12 ns; tau_int: 3.12 ns

Time[ns]	         IRF	       Decay	         Fit	  Resids.
  2.6080	        4033	       17555	           -	        -
  2.6240	        5446	       17478	           -	        -
  2.6400	        4316	       17424	           -	        -
  2.6560	        2045	       17482	           -	        -
  2.6720	        2526	       17558	           -	        -
  2.6880	        1988	       17424	           -	        -
  2.7040	        1218	       17483	           -	        -
  2.7200	         287	       17359	           -	        -
  2.7360	         803	       17191	           -	        -
  2.7520	        1054	       17180	           -	        -
  2.7680	        1540	       17114	           -	        -
  2.7840	        1215	       17170	           -	        -
  2.8000	        2004	       17181	           -	        -
  2.8160	        2753	       17027	           -	        -
  2.8320	         826	       17077	           -	        -
  2.8480	         368	       17160	           -	        -
  2.8640	        1974	       16871	           -	        -
  2.8800	           0	       16727	           -	        -
  2.8960	           0	       16891	           -	        -
  2.9120	           0	       16698	           -	        -
  2.9280	           0	       16716	           -	        -
  2.9440	           0	       16604	           -	        -
  2.9600	           0	       16601	           -	        -
  2.9760	           0	       16441	           -	        -
  2.9920	           0	       16684	           -	        -
  3.0080	           0	       16150	           -	        -
  3.0240	           0	       16163	           -	        -
  3.0400	           0	       16026	           -	        -
  3.0560	           0	       16128	           -	        -
  3.0720	           0	       16135	           -	        -
  3.0880	           0	       15991	           -	        -
  3.1040	           0	       15833	           -	        -
  3.1200	           0	       15967	           -	        -
  3.1360	           0	       15979	           -	        -
  3.1520	           0	       15853	           -	        -
  3.1680	           0	       15675	           -	        -
  3.1840	           0	       15629	           -	        -
  3.2000	           0	       15645	           -	        -
  3.2160	           0	       15040	           -	        -
  3.2320	           0	       15471	           -	        -
  3.2480	           0	       14993	           -	        -
  3.2640	           0	       15246	           -	        -
  3.2800	           0	       15018	           -	        -
  3.2960	           0	       15057	           -	        -
  3.3120	           0	       14842	           -	        -
  3.3280	           0	       14867	           -	        -
  3.3440	           0	       14715	           -	        -
  3.3600	           0	       14898	           -	        -
  3.3760	           0	       14583	           -	        -
  3.3920	           0	       14563	           -	        -
  3.4080	           0	       14429	           -	        -
  3.4240	           0	       14351	           -	        -
  3.4400	           0	       14457	           -	        -
  3.4560	           0	       14159	           -	        -
  3.4720	           0	       13927	           -	        -
  3.4880	           0	       13906	           -	        -
  3.5040	           0	       14060	           -	        -
  3.5200	           0	       14153	           -	        -
  3.5360	           0	       13911	           -	        -
