Parameters:
     Ampl. 1=      510.32
    Lifet. 1=        2.73
     Backgr.=       16.21
     Backgr.=           0
       Shift=           0

X²: 1.212
tau_amp: 2.73 ns; tau_int: 2.73 ns



Time[ns]	         IRF	       Decay	         Fit	  Resids.
  2.6400	        2729	        4144	           -	        -
  2.6560	         363	        4083	           -	        -
  2.6720	           0	        3971	           -	        -
  2.6880	           0	        3948	           -	        -
  2.7040	           0	        3739	           -	        -
  2.7200	           0	        3647	           -	        -
  2.7360	           0	        3543	           -	        -
  2.7520	           0	        3305	           -	        -
  2.7680	           0	        3342	           -	        -
  2.7840	           0	        3161	           -	        -
  2.8000	           0	        3015	           -	        -
  2.8160	           0	        3015	           -	        -
  2.8320	           0	        2671	           -	        -
  2.8480	           0	        2603	           -	        -
  2.8640	           0	        2491	           -	        -
  2.8800	           0	        2510	           -	        -
  2.8960	           0	        2319	           -	        -
  2.9120	           0	        2239	           -	        -
  2.9280	           0	        2097	           -	        -
  2.9440	           0	        2050	           -	        -
  2.9600	           0	        1882	           -	        -
  2.9760	           0	        1907	           -	        -
  2.9920	           0	        1733	           -	        -
  3.0080	           0	        1609	           -	        -
  3.0240	           0	        1585	           -	        -
  3.0400	           0	        1563	           -	        -
  3.0560	           0	        1477	           -	        -
  3.0720	           0	        1402	           -	        -
  3.0880	           0	        1335	           -	        -
  3.1040	           0	        1323	           -	        -
  3.1200	           0	        1228	           -	        -
  3.1360	           0	        1241	           -	        -
  3.1520	           0	        1219	           -	        -
  3.1680	           0	        1139	           -	        -
  3.1840	           0	        1025	           -	        -
  3.2000	           0	        1095	           -	        -
  3.2160	           0	        1020	           -	        -
  3.2320	           0	        1017	           -	        -
  3.2480	           0	         916	           -	        -
  3.2640	           0	         930	           -	        -
  3.2800	           0	         913	           -	        -
  3.2960	           0	         892	           -	        -
  3.3120	           0	         918	           -	        -
  3.3280	           0	         839	           -	        -
  3.3440	           0	         826	           -	        -
  3.3600	           0	         861	           -	        -
  3.3760	           0	         781	           -	        -
  3.3920	           0	         727	           -	        -
  3.4080	           0	         739	           -	        -
  3.4240	           0	         793	           -	        -
  3.4400	           0	         759	           -	        -
  3.4560	           0	         741	           -	        -
  3.4720	           0	         697	           -	        -
  3.4880	           0	         684	           -	        -
  3.5040	           0	         663	           -	        -
  3.5200	           0	         719	           -	        -
  3.5360	           0	         704	           -	        -
  3.5520	           0	         640	           -	        -
  3.5680	           0	         642	           -	        -
  3.5840	           0	         646	           -	        -
  3.6000	           0	         592	           -	        -
  3.6160	           0	         597	           -	        -
  3.6320	           0	         676	           -	        -
  3.6480	           0	         589	           -	        -
  3.6640	           0	         636	           -	        -
  3.6800	           0	         622	       526.5	   3.8217
  3.6960	           0	         613	       523.6	   3.6069
  3.7120	           0	         598	       520.6	   3.1604
  3.7280	           0	         593	       517.6	   3.0895
  3.7440	           0	         592	       514.7	   3.1713
  3.7600	           0	         523	       511.8	   0.4890
  3.7760	           0	         571	       508.9	   2.5944
  3.7920	           0	         514	       506.0	   0.3513
  3.8080	           0	         581	       503.2	   3.2240
  3.8240	           0	         586	       500.3	   3.5337
  3.8400	           0	         502	       497.5	   0.2013
  3.8560	           0	         539	       494.7	   1.9060
  3.8720	           0	         569	       491.9	   3.2276
  3.8880	           0	         482	       489.1	  -0.3224
  3.9040	           0	         552	       486.3	   2.7901
  3.9200	           0	         522	       483.6	   1.6783
  3.9360	           0	         499	       480.9	   0.8109
  3.9520	           0	         483	       478.1	   0.2209
  3.9680	           0	         485	       475.4	   0.4334
  3.9840	           0	         488	       472.8	   0.6889
  4.0000	           0	         485	       470.1	   0.6760
  4.0160	           0	         438	       467.4	  -1.4031
  4.0320	           0	         463	       464.8	  -0.0832
  4.0480	           0	         482	       462.2	   0.9013
  4.0640	           0	         488	       459.6	   1.2845
  4.0800	           0	         471	       457.0	   0.6449
  4.0960	           0	         477	       454.4	   1.0327
  4.1120	           0	         489	       451.8	   1.6771
  4.1280	           0	         425	       449.3	  -1.1756
  4.1440	           0	         474	       446.8	   1.2485
  4.1600	           0	         512	       444.2	   2.9885
  4.1760	           0	         486	       441.7	   2.0034
  4.1920	           0	         467	       439.3	   1.2811
  4.2080	           0	         466	       436.8	   1.3506
  4.2240	           0	         459	       434.3	   1.1492
  4.2400	           0	         438	       431.9	   0.2917
  4.2560	           0	         435	       429.5	   0.2654
  4.2720	           0	         444	       427.0	   0.8032
  4.2880	           0	         416	       424.6	  -0.4224
  4.3040	           0	         426	       422.2	   0.1813
  4.3200	           0	         396	       419.9	  -1.1968
  4.3360	           0	         456	       417.5	   1.7982
  4.3520	           0	         427	       415.2	   0.5711
  4.3680	           0	         414	       412.8	   0.0569
  4.3840	           0	         405	       410.5	  -0.2737
  4.4000	           0	         431	       408.2	   1.0948
  4.4160	           0	         399	       405.9	  -0.3459
  4.4320	           0	         403	       403.6	  -0.0323
  4.4480	           0	         418	       401.4	   0.8107
  4.4640	           0	         387	       399.1	  -0.6152
  4.4800	           0	         403	       396.9	   0.3033
  4.4960	           0	         408	       394.7	   0.6583
  4.5120	           0	         409	       392.5	   0.8159
  4.5280	           0	         384	       390.3	  -0.3186
  4.5440	           0	         428	       388.1	   1.9254
  4.5600	           0	         385	       385.9	  -0.0458
  4.5760	           0	         381	       383.7	  -0.1400
  4.5920	           0	         366	       381.6	  -0.8128
  4.6080	           0	         344	       379.5	  -1.9062
  4.6240	           0	         366	       377.3	  -0.5908
  4.6400	           0	         352	       375.2	  -1.2343
  4.6560	           0	         355	       373.1	  -0.9593
  4.6720	           0	         360	       371.0	  -0.5802
  4.6880	           0	         363	       369.0	  -0.3123
  4.7040	           0	         372	       366.9	   0.2635
  4.7200	           0	         354	       364.9	  -0.5753
