GRUPPE_Greyline09.dat
13.09.2021
14:55:36
GRUPPE

Gauss coefficients notation:
Amplitude
FWHM
Std.Abw.
[Fehler]
offset
BEAMCUT  LINES:

X H  in mm	Y H rel	Gauss fit H	H Gauss Coefficients	X V in mm	Y V rel	Gauss fit V	V Gauss Coefficientes
0,00000	22,00000	0,00000	0,00000	0,00000	22,00000	0,00000	0,00000
0,01238	20,00000	0,00000	0,00000	0,01238	19,00000	0,00000	0,00000
0,02475	19,00000	0,00000	0,00000	0,02475	19,00000	0,00000	0,00000
0,03713	19,00000	0,00000	0,00000	0,03713	22,00000	0,00000	0,00000
0,04950	22,00000	0,00000	0,00000	0,04950	20,00000	0,00000	0,00000
0,06187	22,00000	0,00000	0,00000	0,06188	23,00000	0,00000	0,00000
0,07425	22,00000	0,00000	0,00000	0,07425	22,00000	0,00000	0,00000
0,08663	19,00000	0,00000	0,00000	0,08663	20,00000	0,00000	0,00000
0,09900	19,00000	0,00000	0,00000	0,09900	20,00000	0,00000	0,00000
0,11138	22,00000	0,00000	0,00000	0,11138	22,00000	0,00000	0,00000
0,12375	22,00000	0,00000	0,00000	0,12375	22,00000	0,00000	0,00000
0,13612	22,00000	0,00000	0,00000	0,13613	22,00000	0,00000	0,00000
0,14850	22,00000	0,00000	0,00000	0,14850	20,00000	0,00000	0,00000
0,16088	22,00000	0,00000	0,00000	0,16088	20,00000	0,00000	0,00000
0,17325	22,00000	0,00000	0,00000	0,17325	20,00000	0,00000	0,00000
0,18563	22,00000	0,00000	0,00000	0,18563	20,00000	0,00000	0,00000
0,19800	22,00000	0,00000	0,00000	0,19800	20,00000	0,00000	0,00000
0,21038	22,00000	0,00000	0,00000	0,21038	20,00000	0,00000	0,00000
0,22275	22,00000	0,00000	0,00000	0,22275	19,00000	0,00000	0,00000
0,23513	20,00000	0,00000	0,00000	0,23513	22,00000	0,00000	0,00000
0,24750	18,00000	0,00000	0,00000	0,24750	23,00000	0,00000	0,00000
0,25988	18,00000	0,00000	0,00000	0,25988	18,00000	0,00000	0,00000
0,27225	20,00000	0,00000	0,00000	0,27225	22,00000	0,00000	0,00000
0,28463	19,00000	0,00000	0,00000	0,28463	20,00000	0,00000	0,00000
0,29700	22,00000	0,00000	0,00000	0,29700	20,00000	0,00000	0,00000
0,30938	22,00000	0,00000	0,00000	0,30938	20,00000	0,00000	0,00000
0,32175	22,00000	0,00000	0,00000	0,32175	22,00000	0,00000	0,00000
0,33413	22,00000	0,00000	0,00000	0,33413	20,00000	0,00000	0,00000
0,34650	19,00000	0,00000	0,00000	0,34650	22,00000	0,00000	0,00000
0,35887	19,00000	0,00000	0,00000	0,35888	23,00000	0,00000	0,00000
0,37125	19,00000	0,00000	0,00000	0,37125	20,00000	0,00000	0,00000
0,38362	22,00000	0,00000	0,00000	0,38363	22,00000	0,00000	0,00000
0,39600	22,00000	0,00000	0,00000	0,39600	20,00000	0,00000	0,00000
0,40838	22,00000	0,00000	0,00000	0,40838	22,00000	0,00000	0,00000
0,42075	22,00000	0,00000	0,00000	0,42075	19,00000	0,00000	0,00000
0,43313	22,00000	0,00000	0,00000	0,43313	19,00000	0,00000	0,00000
0,44550	19,00000	0,00000	0,00000	0,44550	19,00000	0,00000	0,00000
0,45788	19,00000	0,00000	0,00000	0,45788	22,00000	0,00000	0,00000
0,47025	19,00000	0,00000	0,00000	0,47025	20,00000	0,00000	0,00000
0,48263	22,00000	0,00000	0,00000	0,48263	22,00000	0,00000	0,00000
0,49500	19,00000	0,00000	0,00000	0,49500	23,00000	0,00000	0,00000
0,50738	19,00000	0,00000	0,00000	0,50738	20,00000	0,00000	0,00000
0,51975	22,00000	0,00000	0,00000	0,51975	23,00000	0,00000	0,00000
0,53213	22,00000	0,00000	0,00000	0,53213	19,00000	0,00000	0,00000
0,54450	20,00000	0,00000	0,00000	0,54450	22,00000	0,00000	0,00000
0,55688	20,00000	0,00000	0,00000	0,55688	19,00000	0,00000	0,00000
0,56925	23,00000	0,00000	0,00000	0,56925	22,00000	0,00000	0,00000
0,58163	23,00000	0,00000	0,00000	0,58163	22,00000	0,00000	0,00000
0,59400	20,00000	0,00000	0,00000	0,59400	19,00000	0,00000	0,00000
0,60637	22,00000	0,00000	0,00000	0,60638	19,00000	0,00000	0,00000
0,61875	19,00000	0,00000	0,00000	0,61875	19,00000	0,00000	0,00000
0,63113	19,00000	0,00000	0,00000	0,63113	22,00000	0,00000	0,00000
0,64350	20,00000	0,00000	0,00000	0,64350	19,00000	0,00000	0,00000
0,65587	20,00000	0,00000	0,00000	0,65588	20,00000	0,00000	0,00000
0,66825	20,00000	0,00000	0,00000	0,66825	22,00000	0,00000	0,00000
0,68063	18,00000	0,00000	0,00000	0,68063	19,00000	0,00000	0,00000
0,69300	18,00000	0,00000	0,00000	0,69300	20,00000	0,00000	0,00000
0,70538	20,00000	0,00000	0,00000	0,70538	19,00000	0,00000	0,00000
0,71775	22,00000	0,00000	0,00000	0,71775	22,00000	0,00000	0,00000
0,73013	19,00000	0,00000	0,00000	0,73013	19,00000	0,00000	0,00000
0,74250	19,00000	0,00000	0,00000	0,74250	22,00000	0,00000	0,00000
0,75488	22,00000	0,00000	0,00000	0,75488	22,00000	0,00000	0,00000
0,76725	20,00000	0,00000	0,00000	0,76725	22,00000	0,00000	0,00000
