f	m	t	
	-5.05109E-05	0.127495	
			
			
X in nm	Y Signal 	f	y-f
590.88	0.09873	0.097649119	0.001080881
590.92	0.09679	0.097647099	-0.000857099
590.96	0.0998	0.097645079	0.002154921
591	0.09929	0.097643058	0.001646942
591.04	0.09898	0.097641038	0.001338962
591.08	0.09527	0.097639017	-0.002369017
591.12	0.09888	0.097636997	0.001243003
591.16	0.09608	0.097634976	-0.001554976
591.2	0.09517	0.097632956	-0.002462956
591.24	0.09705	0.097630935	-0.000580935
591.28	0.09501	0.097628915	-0.002618915
591.32	0.09522	0.097626895	-0.002406895
591.36	0.09985	0.097624874	0.002225126
591.4	0.10255	0.097622854	0.004927146
591.44	0.10458	0.097620833	0.006959167
591.48	0.09863	0.097618813	0.001011187
591.52	0.0972	0.097616792	-0.000416792
591.56	0.09903	0.097614772	0.001415228
591.6	0.09786	0.097612752	0.000247248
591.64	0.09827	0.097610731	0.000659269
591.68	0.10005	0.097608711	0.002441289
591.72	0.10397	0.09760669	0.00636331
591.76	0.10255	0.09760467	0.00494533
591.8	0.09532	0.097602649	-0.002282649
591.84	0.09552	0.097600629	-0.002080629
591.88	0.09985	0.097598609	0.002251391
591.92	0.09995	0.097596588	0.002353412
591.96	0.10066	0.097594568	0.003065432
592	0.09613	0.097592547	-0.001462547
592.04	0.09883	0.097590527	0.001239473
592.08	0.09791	0.097588506	0.000321494
592.12	0.09598	0.097586486	-0.001606486
592.16	0.09909	0.097584465	0.001505535
592.2	0.09898	0.097582445	0.001397555
592.24	0.0971	0.097580425	-0.000480425
592.28	0.09898	0.097578404	0.001401596
592.32	0.09725	0.097576384	-0.000326384
592.36	0.09593	0.097574363	-0.001644363
592.4	0.10168	0.097572343	0.004107657
592.44	0.09496	0.097570322	-0.002610322
592.48	0.09613	0.097568302	-0.001438302
592.52	0.09634	0.097566282	-0.001226282
592.56	0.0941	0.097564261	-0.003464261
592.6	0.09883	0.097562241	0.001267759
592.64	0.09333	0.09756022	-0.00423022
592.68	0.10199	0.0975582	0.0044318
592.72	0.09618	0.097556179	-0.001376179
592.76	0.10652	0.097554159	0.008965841
592.8	0.10657	0.097552138	0.009017862
592.84	0.09807	0.097550118	0.000519882
592.88	0.09455	0.097548098	-0.002998098
592.92	0.09613	0.097546077	-0.001416077
592.96	0.10087	0.097544057	0.003325943
593	0.09522	0.097542036	-0.002322036
593.04	0.09695	0.097540016	-0.000590016
593.08	0.09491	0.097537995	-0.002627995
593.12	0.09522	0.097535975	-0.002315975
593.16	0.09705	0.097533955	-0.000483955
593.2	0.10535	0.097531934	0.007818066
593.24	0.09995	0.097529914	0.002420086
593.28	0.09623	0.097527893	-0.001297893
593.32	0.09715	0.097525873	-0.000375873
593.36	0.09527	0.097523852	-0.002253852
593.4	0.09506	0.097521832	-0.002461832
593.44	0.10367	0.097519812	0.006150188
593.48	0.10173	0.097517791	0.004212209
593.52	0.09674	0.097515771	-0.000775771
593.56	0.10239	0.09751375	0.00487625
593.6	0.09583	0.09751173	-0.00168173
593.64	0.0969	0.097509709	-0.000609709
593.68	0.0972	0.097507689	-0.000307689
593.72	0.0972	0.097505668	-0.000305668
593.76	0.10295	0.097503648	0.005446352
593.8	0.10015	0.097501628	0.002648372
593.84	0.1	0.097499607	0.002500393
593.88	0.1001	0.097497587	0.002602413
593.92	0.10015	0.097495566	0.002654434
593.96	0.10255	0.097493546	0.005056454
594	0.1026	0.097491525	0.005108475
594.04	0.1	0.097489505	0.002510495
594.08	0.09705	0.097487485	-0.000437485
594.12	0.09506	0.097485464	-0.002425464
594.16	0.09985	0.097483444	0.002366556
594.2	0.09425	0.097481423	-0.003231423
594.24	0.10204	0.097479403	0.004560597
594.28	0.10214	0.097477382	0.004662618
594.32	0.09623	0.097475362	-0.001245362
594.36	0.10214	0.097473341	0.004666659
