	m	t		
f	-0.00033861	0.378809		
				
_CCl4				
				
X in nm	Y Signal 	f(x)	y-f	
673.28	0.15086	0.150829659	3.03E-05	
673.32	0.15061	0.150816115	-0.000206115	
673.36	0.15733	0.15080257	0.00652743	
673.4	0.15377	0.150789026	0.002980974	
673.44	0.1498	0.150775482	-0.000975482	
673.48	0.15071	0.150761937	-5.19E-05	
673.52	0.1499	0.150748393	-0.000848393	
673.56	0.14216	0.150734848	-0.008574848	
673.6	0.14206	0.150721304	-0.008661304	
673.64	0.14995	0.15070776	-0.00075776	
673.68	0.15173	0.150694215	0.001035785	
673.72	0.15636	0.150680671	0.005679329	
673.76	0.1443	0.150667126	-0.006367126	
673.8	0.1499	0.150653582	-0.000753582	
673.84	0.15219	0.150640038	0.001549962	
673.88	0.15173	0.150626493	0.001103507	
673.92	0.14974	0.150612949	-0.000872949	
673.96	0.1529	0.150599404	0.002300596	
674	0.15448	0.15058586	0.00389414	
674.04	0.14593	0.150572316	-0.004642316	
674.08	0.15545	0.150558771	0.004891229	
674.12	0.14893	0.150545227	-0.001615227	
674.16	0.14791	0.150531682	-0.002621682	
674.2	0.14806	0.150518138	-0.002458138	
674.24	0.14705	0.150504594	-0.003454594	
674.28	0.15076	0.150491049	0.000268951	
674.32	0.1472	0.150477505	-0.003277505	
674.36	0.1584	0.15046396	0.00793604	
674.4	0.14898	0.150450416	-0.001470416	
674.44	0.15183	0.150436872	0.001393128	
674.48	0.15173	0.150423327	0.001306673	
674.52	0.14516	0.150409783	-0.005249783	
674.56	0.1528	0.150396238	0.002403762	
674.6	0.15346	0.150382694	0.003077306	
674.64	0.15657	0.15036915	0.00620085	
674.68	0.15183	0.150355605	0.001474395	
674.72	0.14435	0.150342061	-0.005992061	
674.76	0.1498	0.150328516	-0.000528516	
674.8	0.14964	0.150314972	-0.000674972	
674.84	0.15336	0.150301428	0.003058572	
674.88	0.14705	0.150287883	-0.003237883	
674.92	0.15071	0.150274339	0.000435661	
674.96	0.1443	0.150260794	-0.005960794	
