06_09_2021_19_56_49_Richter_shinriki-bifurcation___.dat
06.09.2021
19:56
Richter
N*R(OHM) 16*Y_cutdata(V) 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 
39000,0000000000 1,3564718122 1,3569200090 1,3129910796 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
36000,0000000000 -1,3367565396 -1,3416358411 -1,3467060379 -1,3514507602 -1,3561461095 -1,3605428548 -1,3653157929 -1,3700799138 -1,3745148666 -1,3788410753 1,3564718122 1,3569200090 1,3129910796 NaN NaN NaN
40000,0000000000 1,4080221843 1,4080347416 1,4081415244 1,4080035885 1,4080658948 1,4080396401 1,4081386746 1,4081963854 1,4081152696 1,4079836033 -1,3367565396 -1,3416358411 -1,3467060379 -1,3514507602 -1,3561461095 -1,3605428548
41000,0000000000 1,2782960849 1,2782094176 1,2780057979 1,2783581300 1,2782523268 1,2780054525 1,2782346928 1,2781081769 1,2781084714 1,4080221843 1,4080347416 1,4081415244 1,4080035885 1,4080658948 1,4080396401 1,4081386746
42000,0000000000 1,2007772759 1,2003164434 1,1997957543 1,2002111106 1,2001533300 1,2011783876 1,2014649461 1,2025441910 1,2026458795 1,2031482101 1,2782960849 1,2782094176 1,2780057979 1,2783581300 1,2782523268 1,2780054525
43000,0000000000 1,1429106495 1,1426687554 1,1425116651 1,1425626410 1,1427250157 1,1428735199 1,1425784868 1,1430919686 1,1431906344 1,1432697381 1,2007772759 1,2003164434 1,1997957543 1,2002111106 1,2001533300 1,2011783876
44000,0000000000 1,0800692483 1,0796259809 1,0801709025 1,0801473906 1,0803299748 1,0803407946 1,0801713077 1,0795184487 1,0798447703 1,1429106495 1,1426687554 1,1425116651 1,1425626410 1,1427250157 1,1428735199 1,1425784868
45000,0000000000 1,0278331856 1,0281321220 1,0283687619 1,0286194892 1,0283016211 1,0282913111 1,0273000963 1,0275925251 1,0278518469 1,0277571081 1,0800692483 1,0796259809 1,0801709025 1,0801473906 1,0803299748 1,0803407946
46000,0000000000 0,9817172450 0,9823804682 0,9823263293 0,9819439521 0,9817716350 0,9814279289 0,9814981894 0,9815915838 0,9812484011 0,9813375604 1,0278331856 1,0281321220 1,0283687619 1,0286194892 1,0283016211 1,0282913111
47000,0000000000 0,9366750474 0,9361301208 0,9361616826 0,9358028329 0,9359205212 0,9356163157 0,9361588944 0,9355463386 0,9355829518 0,9817172450 0,9823804682 0,9823263293 0,9819439521 0,9817716350 0,9814279289 0,9814981894
48000,0000000000 0,8969985216 0,8969402887 0,8958823439 0,8968163524 0,8959669938 0,8959261348 0,8961878441 0,8967003466 0,8965272641 0,9366750474 0,9361301208 0,9361616826 0,9358028329 0,9359205212 0,9356163157 0,9361588944
49000,0000000000 0,8633511070 0,8632847275 0,8625180034 0,8631741149 0,8632978320 0,8635989314 0,8639091404 0,8632116219 0,8634750380 0,8969985216 0,8969402887 0,8958823439 0,8968163524 0,8959669938 0,8959261348 0,8961878441
50000,0000000000 0,8371811000 0,8376871274 0,8376537793 0,8375520648 0,8370512621 0,8371962520 0,8373582287 0,8375942328 0,8381342506 0,8633511070 0,8632847275 0,8625180034 0,8631741149 0,8632978320 0,8635989314 0,8639091404
51000,0000000000 0,8049398878 0,8056325530 0,8050995724 0,8046709708 0,8043742153 0,8048294310 0,8050189016 0,8054126557 0,8047888077 0,8053910216 0,8371811000 0,8376871274 0,8376537793 0,8375520648 0,8370512621 0,8371962520
52000,0000000000 0,7794256293 0,7794097299 0,7791544762 0,7792408947 0,7786183306 0,7791583531 0,7784137273 0,7784385889 0,7785526235 0,8049398878 0,8056325530 0,8050995724 0,8046709708 0,8043742153 0,8048294310 0,8050189016
53000,0000000000 0,7578409710 0,7578218676 0,7567487489 0,7575019248 0,7565599495 0,7572805631 0,7564709150 0,7577765635 0,7570180557 0,7794256293 0,7794097299 0,7791544762 0,7792408947 0,7786183306 0,7791583531 0,7784137273
