G11_pendel
06.09.2021
17:20:15
nichtlineares Pendel
stimulation_fq[Hz]: 0,411
timeline range  for cut and FFT datapoints: 0-120s
Chaos_Versuch

t(s) Ua(V) -dUa/dt(V) cutX(V) cutY(V) F(Hz) DFT-Ua(V) DFT-dUa/dt(V)
2,480E+0 8,850E-1 6,095E-1 0,000E+0 0,000E+0 5,167E-1 NaN NaN
2,520E+0 9,510E-1 6,355E-1 0,000E+0 0,000E+0 5,250E-1 NaN NaN
2,560E+0 1,020E+0 6,483E-1 0,000E+0 0,000E+0 5,333E-1 NaN NaN
2,600E+0 1,089E+0 6,521E-1 0,000E+0 0,000E+0 5,417E-1 NaN NaN
2,640E+0 1,159E+0 6,490E-1 0,000E+0 0,000E+0 5,500E-1 NaN NaN
2,680E+0 1,229E+0 6,372E-1 0,000E+0 0,000E+0 5,583E-1 NaN NaN
2,720E+0 1,297E+0 6,163E-1 0,000E+0 0,000E+0 5,667E-1 NaN NaN
2,760E+0 1,363E+0 5,921E-1 0,000E+0 0,000E+0 5,750E-1 NaN NaN
2,800E+0 1,426E+0 5,708E-1 0,000E+0 0,000E+0 5,833E-1 NaN NaN
2,840E+0 1,487E+0 5,484E-1 0,000E+0 0,000E+0 5,917E-1 NaN NaN
2,880E+0 1,545E+0 5,206E-1 0,000E+0 0,000E+0 6,000E-1 NaN NaN
2,920E+0 1,601E+0 4,954E-1 0,000E+0 0,000E+0 6,083E-1 NaN NaN
2,960E+0 1,654E+0 4,778E-1 0,000E+0 0,000E+0 6,167E-1 NaN NaN
3,000E+0 1,705E+0 4,584E-1 0,000E+0 0,000E+0 6,250E-1 NaN NaN
3,040E+0 1,754E+0 4,383E-1 0,000E+0 0,000E+0 6,333E-1 NaN NaN
3,080E+0 1,802E+0 4,285E-1 0,000E+0 0,000E+0 6,417E-1 NaN NaN
3,120E+0 1,848E+0 4,188E-1 0,000E+0 0,000E+0 6,500E-1 NaN NaN
3,160E+0 1,894E+0 4,075E-1 0,000E+0 0,000E+0 6,583E-1 NaN NaN
3,200E+0 1,938E+0 4,050E-1 0,000E+0 0,000E+0 6,667E-1 NaN NaN
3,240E+0 1,982E+0 4,002E-1 0,000E+0 0,000E+0 6,750E-1 NaN NaN
3,280E+0 2,026E+0 3,981E-1 0,000E+0 0,000E+0 6,833E-1 NaN NaN
3,320E+0 2,070E+0 4,016E-1 0,000E+0 0,000E+0 6,917E-1 NaN NaN
3,360E+0 2,114E+0 3,993E-1 0,000E+0 0,000E+0 7,000E-1 NaN NaN
3,400E+0 2,159E+0 4,045E-1 0,000E+0 0,000E+0 7,083E-1 NaN NaN
3,440E+0 2,204E+0 4,078E-1 0,000E+0 0,000E+0 7,167E-1 NaN NaN
3,480E+0 2,249E+0 4,086E-1 0,000E+0 0,000E+0 7,250E-1 NaN NaN
3,520E+0 2,295E+0 4,169E-1 0,000E+0 0,000E+0 7,333E-1 NaN NaN
3,560E+0 2,341E+0 4,168E-1 0,000E+0 0,000E+0 7,417E-1 NaN NaN
