f(Hz),Ueff(V)
950,0.0001
955,0.0001
960,0.0001
965,0.0002
970,0.0004
975,0.0006
980,0.0012
985,0.0026
990,0.0070
995,0.0270
1000,0.0706
1005,0.0270
1010,0.0073
1015,0.0026
1020,0.0012
1025,0.0006
1030,0.0004
1035,0.0002
1040,0.0001
1045,0.0001
1050,0.0001
