x(A/Hz/V/nm),yai0(V),yai1(V),yai3(V),yai4(V),yext(V),yai4_max(V),lambda(nm),freq(THz),relFreq(THz),relx(A)
117.2218,0.1323,-0.000611811746552,-1.1811746552015112e-05,-0.004804956499546,,,780.2407586511629,384.2307065812156,,
117.2414,0.1324,-0.0006352933314048,-3.529333140483981e-05,-0.0042994974303348,,,780.240776883721,384.2306976025658,,
117.2585,0.1326,-0.0006557798161489,-5.577981614890426e-05,-0.0039819795689312,,,780.2407927906977,384.2306897691523,,
117.2779,0.1331,-0.000679021792993,-7.902179299307255e-05,-0.0037755557963445,,-0.0037755557963445,780.2408108372093,384.2306808821221,0.0,117.2779
117.2992,0.1332,-0.0007045400459198,-0.0001045400459198,-0.0038782967058242,,,780.2408306511628,384.2306711247133,,
117.318,0.1334,-0.0007270631987379,-0.0001270631987379,-0.0041689788231115,,,780.2408481395349,384.2306625125405,,
117.3371,0.1338,-0.000749945763569,-0.000149945763569,-0.0044611079954618,,,780.2408659069768,384.2306537629399,,
117.3557,0.1341,-0.0007722293083783,-0.0001722293083783,-0.0047508254093737,,,780.2408832093024,384.23064524238674,,
117.3766,0.1343,-0.0007972683452877,-0.0001972683452877,-0.0050516369121025,,,780.2409026511629,384.23063566821736,,
117.3947,0.134,-0.0008189528700753,-0.0002189528700753,-0.0052389425675758,,,780.2409194883721,384.23062737671216,,
117.415,0.134,-0.0008432730829586,-0.0002432730829586,-0.0052368599601786,,,780.2409383720931,384.23061807740015,,
117.4326,0.134,-0.0008643585877244,-0.0002643585877244,-0.0051217538572135,,,780.2409547441861,384.2306100149429,,
117.4518,0.1344,-0.0008873609565599,-0.0002873609565599,-0.0047143653812515,,,780.2409726046512,384.2306012195352,,
117.4731,0.1348,-0.0009128792094867,-0.0003128792094867,-0.0041171062907312,,,780.2409924186047,384.2305914621303,,
117.4907,0.1346,-0.0009339647142525,-0.0004339647142525,-0.003602000187766,,,780.2410087906977,384.23058339967406,,
117.5085,0.1349,-0.000955289827027,-0.000455289827027,-0.0033878587881763,,,780.2410253488373,384.23057524559937,,
117.5281,0.1352,-0.0010787714118799,-0.0004787714118799,-0.0032823997189651,,-0.0032823997189651,780.2410435813954,384.2305662669557,1.0,117.5281
117.5501,0.1354,-0.0011051282928372,-0.0005051282928372,-0.0033885170902586,,,780.2410640465117,384.23055618888674,,
117.567,0.1354,-0.0011253751695725,-0.0005253751695725,-0.0036700345254797,,,780.2410797674419,384.2305484470979,,
117.5855,0.1357,-0.0011475389103775,-0.0006475389103775,-0.0039592695877038,,,780.2410969767442,384.2305399723588,,
117.6048,0.1361,-0.0011706610832173,-0.0006706610832173,-0.0045523634634295,,,780.2411149302326,384.23053113114497,,
117.6243,0.136,-0.0012940228640658,-0.0006940228640658,-0.0048464220425307,,,780.2411330697674,384.2305221983128,,
