x(A/Hz/V/nm),yai0(V),yai1(V),yai3(V),yai4(V),yext(V),yai4_max(V),lambda(nm),freq(THz),relFreq(THz),relx(A)
117.0034,0.1277,-0.0012425861505678,-4.2586150567888725e-05,-0.0063382147036894,,,780.2405554883721,384.2308066290561,,
117.032,0.128,-0.0012763998000081,2.36001999918134e-05,-0.0061764570508306,,,780.2405820930234,384.2307935275501,,
117.0455,0.1281,-0.0011923607883803,7.63921161961445e-06,-0.0061417113056,,-0.0061417113056,780.2405946511628,384.2307873432732,0.0,117.0455
117.0601,0.1283,-0.001209622301731,-9.62230173101597e-06,-0.0062122825737211,,,780.2406082325582,384.2307806550924,,
117.0731,0.1283,-0.0012249921423856,-2.4992142385688032e-05,-0.0062751200042397,,,780.2406203255814,384.2307746998632,,
117.0897,0.1283,-0.0012446182466062,-4.4618246606287215e-05,-0.0063553585693637,,,780.240635767442,384.2307670954938,,
117.1191,0.1289,-0.0011793777323945,-7.937773239458101e-05,-0.0061974678353061,,,780.2406631162792,384.230753627515,,
117.1329,0.129,-0.0011956934093972,4.3065906027567324e-06,-0.0061641721846259,,,780.2406759534884,384.230747305811,,
117.1473,0.1289,-0.0012127184636608,-1.2718463660868484e-05,-0.0059337767230466,,,780.2406893488372,384.23074070925054,,
117.1636,0.129,-0.0012319898792509,-3.198987925097374e-05,-0.0056125651936201,,,780.240704511628,384.2307332423108,,
117.1791,0.1292,-0.0012503154584931,-5.0315458493113696e-05,-0.0052874867453923,,,780.2407189302326,384.230726141847,,
117.1892,0.1294,-0.0012622566423863,-6.225664238636297e-05,-0.0052363065952569,,,780.2407283255815,384.2307215150932,,
117.2059,0.1295,-0.0011820009761504,-8.200097615045088e-05,-0.0049170285252309,,,780.2407438604652,384.2307138649165,,
117.2232,0.1296,-0.0013024546871755,-0.0001024546871755,-0.0046006506443059,,,780.2407599534885,384.2307059398834,,
117.2375,0.1296,-0.0013193615118956,-0.0001193615118956,-0.0043697718178764,,,780.240773255814,384.23069938913386,,
117.2515,0.1297,-0.0012359136479853,-0.0001359136479853,-0.0042374428968965,,,780.2407862790698,384.2306929758128,,
117.2682,0.1299,-0.0012556579817494,-0.0001556579817494,-0.0042181648268705,,-0.0042181648268705,780.2408018139536,384.2306853256371,1.0,117.2682
117.2817,0.1298,-0.0012716189701215,-0.0001716189701215,-0.00428341908164,,,780.240814372093,384.2306791413637,,
117.2957,0.1297,-0.0012881711062112,-0.0001881711062112,-0.0042510901606602,,,780.2408273953489,384.23067272804326,,
117.3084,0.1296,-0.0013031862582354,-0.0002031862582354,-0.0044124774966285,,,780.2408392093024,384.2306669102457,,
117.3227,0.1299,-0.0013200930829555,-0.0002200930829555,-0.0047815986701991,,,780.240852511628,384.2306603594974,,
117.3536,0.13,-0.0013566260118963,-0.0001566260118963,-0.0055309584088935,,,780.240881255814,384.2306462043847,,
117.3651,0.1299,-0.0013702224093985,-0.0001702224093985,-0.0057865453666601,,,780.2408919534885,384.2306409363009,,
117.3813,0.1301,-0.0013893755954451,-0.0002893755954451,-0.0058648504723834,,,780.2409070232559,384.2306335151746,,
117.3966,0.1305,-0.0014074647156002,-0.0003074647156002,-0.0057388052944555,,,780.240921255814,384.2306265063332,,
117.411,0.1308,-0.0014244897698639,-0.0003244897698639,-0.0055084098328762,,,780.2409346511629,384.2306199097768,,
117.4247,0.1308,-0.0014406872173231,-0.000340687217323,-0.0049746308173458,,,780.2409473953489,384.23061363388666,,
