Waveleght	Intensity	Error
634.52	0.10265	0.00048
634.56	0.1025	0.00031
634.6	0.10183	0.00041
634.64	0.09705	0.00036
634.68	0.09909	0.00042
634.72	0.09898	0.00058
634.76	0.10484	0.00041
634.8	0.10092	0.0004
634.84	0.10087	0.00052
634.88	0.10005	0.00023
634.92	0.09496	0.00046
634.95	0.10474	0.0005
635.0	0.10255	0.00048
635.04	0.09898	0.00042
635.07	0.10082	0.00041
635.12	0.09995	0.00031
635.16	0.0998	0.00025
635.19	0.10927	0.00058
635.24	0.10382	0.00047
635.28	0.10458	0.00042
635.31	0.10097	0.00064
635.36	0.10555	0.0005
635.4	0.0999	0.00046
635.43	0.09995	0.00038
635.48	0.09685	0.00051
635.52	0.10545	0.00061
635.56	0.10005	0.00032
635.6	0.1029	0.00041
635.64	0.10194	0.00051
635.68	0.09888	0.00023
635.72	0.10178	0.0008
635.76	0.10178	0.00047
635.8	0.09898	0.00027
635.84	0.10275	0.0004
635.88	0.09405	0.00044
635.92	0.10652	0.00033
635.95	0.09674	0.00052
636.0	0.0972	0.00047
636.04	0.0971	0.0005
636.07	0.10301	0.00038
636.12	0.09985	0.00041
636.16	0.10382	0.00052
636.19	0.10077	0.00041
636.24	0.1027	0.00031
636.28	0.09629	0.00047
636.31	0.09583	0.00033
636.36	0.1026	0.00046
636.4	0.09995	0.0005
636.43	0.1027	0.00044
636.48	0.10443	0.00041
636.52	0.1026	0.00039
636.56	0.1026	0.00039
636.6	0.10209	0.00046
636.64	0.10224	0.0004
636.68	0.10453	0.00044
636.72	0.1	0.00042
636.76	0.09791	0.0002
636.8	0.09705	0.00042
636.84	0.10372	0.00031
636.88	0.10153	0.00036
636.92	0.10183	0.00034
636.95	0.1083	0.0002
637.0	0.10362	0.00039
637.04	0.09812	0.00044
637.07	0.10545	0.00041
637.12	0.09634	0.00023
637.16	0.10133	0.00057
637.19	0.10021	0.00023
637.24	0.09995	0.00044
637.28	0.09705	0.00058
637.31	0.10545	0.00047
637.36	0.09985	0.00041
637.4	0.10082	0.00025
637.43	0.09863	0.00038
637.48	0.10362	0.00051
637.52	0.10382	0.00034
637.56	0.09995	0.00044
637.6	0.097	0.00039
637.64	0.10071	0.00046
637.68	0.10005	0.00032
637.72	0.09685	0.00046
637.76	0.10352	0.00038
637.8	0.10357	0.00053
637.84	0.10199	0.00044
637.88	0.10071	0.00051
637.92	0.10545	0.00047
637.95	0.10158	0.00046
638.0	0.09802	0.00032
638.04	0.09868	0.0006
638.07	0.09781	0.00034
638.12	0.09781	0.00052
638.16	0.10005	0.00032
638.19	0.09435	0.00038
638.24	0.10357	0.00042
638.28	0.10397	0.00033
638.31	0.0999	0.00051
638.36	0.10479	0.0006
638.4	0.10464	0.00039
