124	0.1291	0.0366	NaN	0.0318	0.2972	-0.001173102	780.2471133
124	0.1291	0.0365	NaN	0.0316	0.2975	-0.001390406	780.247136
124	0.1294	0.0364	NaN	0.0315	0.2982	-0.001506369	780.247157
124	0.1297	0.0362	NaN	0.0314	0.2988	-0.001621929	780.2471775
124	0.13	0.0361	NaN	0.0312	0.2997	-0.001836483	780.2471966
124	0.1304	0.036	NaN	0.0311	0.3003	-0.00195325	780.2472187
124	0.1308	0.0358	NaN	0.0309	0.3003	-0.002168006	780.2472381
124	0.1313	0.0356	NaN	0.0307	0.3002	-0.002384237	780.2472594
124	0.1316	0.0355	NaN	0.0305	0.2989	-0.002599328	780.2472793
124	0.132	0.0353	NaN	0.0303	0.2978	-0.002815022	780.2472999
124	0.1325	0.035	NaN	0.0301	0.2976	-0.00303132	780.2473213
124	0.133	0.0348	NaN	0.0298	0.2984	-0.003345807	780.2473404
124	0.1336	0.0346	NaN	0.0296	0.2995	-0.003562843	780.2473628
124	0.134	0.0343	NaN	0.0293	0.3005	-0.003877062	780.2473815
124	0.1342	0.0341	NaN	0.0291	0.3012	-0.004094165	780.247404
124	0.1344	0.0339	NaN	0.0289	0.3015	-0.004308652	780.247423
124	0.1346	0.0336	NaN	0.0286	0.3013	-0.004625151	780.2474447
124	0.1349	0.0333	NaN	0.0283	0.301	-0.004939906	780.2474641
124	0.1352	0.033	NaN	0.0279	0.2998	-0.00535768	780.2474875
124	0.1354	0.0327	NaN	0.0276	0.2994	-0.005672972	780.2475076
124	0.1356	0.0324	NaN	0.0273	0.3002	-0.005988532	780.2475281
124	0.1359	0.0321	NaN	0.027	0.3013	-0.006304629	780.2475493
124	0.136	0.0318	NaN	0.0267	0.3021	-0.00661972	780.2475691
124	0.1361	0.0315	NaN	0.0264	0.3029	-0.006936487	780.2475911
124	0.1362	0.0313	NaN	0.0262	0.3032	-0.007151108	780.2476104
124	0.1364	0.031	NaN	0.0259	0.3033	-0.007468412	780.2476331
124	0.1367	0.0307	NaN	0.0255	0.3027	-0.007883771	780.2476533
124	0.137	0.0304	NaN	0.0252	0.302	-0.008200069	780.2476748
