x	Ch0	Ch1	Ch3	Ch4	f	Ch0_b	Ch1_b	Ch3_b	Ch4_b	f-4	Ch4_b1
133.179	0.1408	0.0372	0.0319	0.3406	0.036159688	0.104640312	0.001040312	-0.004259688	0.304440312	0.328625271	0.011974729
133.1991	0.1407	0.0372	0.032	0.3409	0.036172605	0.104527395	0.001027395	-0.004172605	0.304727395	0.328717357	0.012182643
133.2202	0.1404	0.0373	0.032	0.3413	0.036186164	0.104213836	0.001113836	-0.004186164	0.305113836	0.328814024	0.012485976
133.2389	0.1402	0.0373	0.0321	0.3415	0.036198181	0.104001819	0.001101819	-0.004098181	0.305301819	0.328899696	0.012600304
133.2582	0.14	0.0373	0.0321	0.3415	0.036210584	0.103789416	0.001089416	-0.004110584	0.305289416	0.328988117	0.012511883
133.2795	0.1398	0.0374	0.0321	0.3415	0.036224272	0.103575728	0.001175728	-0.004124272	0.305275728	0.329085701	0.012414299
133.2992	0.1395	0.0374	0.0322	0.3416	0.036236932	0.103263068	0.001163068	-0.004036932	0.305363068	0.329175955	0.012424045
133.3172	0.1393	0.0374	0.0322	0.3416	0.036248499	0.103051501	0.001151501	-0.004048499	0.305351501	0.32925842	0.01234158
133.3393	0.1392	0.0374	0.0322	0.3417	0.036262701	0.102937299	0.001137299	-0.004062701	0.305437299	0.329359669	0.012340331
133.3575	0.1388	0.0374	0.0322	0.3414	0.036274397	0.102525603	0.001125603	-0.004074397	0.305125603	0.329443051	0.01195695
133.3769	0.1383	0.0373	0.0322	0.3411	0.036286864	0.102013136	0.001013136	-0.004086864	0.304813136	0.32953193	0.01156807
133.396	0.138	0.0373	0.0321	0.3405	0.036299138	0.101700862	0.001000862	-0.004199138	0.304200862	0.329619434	0.010880566
133.4184	0.1376	0.0372	0.0321	0.3401	0.036313533	0.101286467	0.000886467	-0.004213533	0.303786467	0.329722058	0.010377942
133.439	0.1372	0.0372	0.0321	0.3399	0.036326771	0.100873229	0.000873229	-0.004226771	0.303573229	0.329816435	0.010083565
133.4603	0.1366	0.0371	0.032	0.3397	0.036340459	0.100259541	0.000759541	-0.004340459	0.303359541	0.329914018	0.009785982
133.4822	0.1361	0.037	0.0319	0.3396	0.036354532	0.099745468	0.000645468	-0.004454532	0.303245468	0.330014351	0.009585649
133.5029	0.1354	0.0369	0.0319	0.3399	0.036367835	0.099032165	0.000532165	-0.004467835	0.303532165	0.330109186	0.009790814
133.5198	0.135	0.0368	0.0318	0.3403	0.036378695	0.098621305	0.000421305	-0.004578695	0.303921305	0.330186612	0.010113388
133.5412	0.1348	0.0367	0.0317	0.3406	0.036392447	0.098407553	0.000307553	-0.004692447	0.304207553	0.330284654	0.010315346
133.5603	0.1341	0.0366	0.0316	0.3409	0.036404721	0.097695279	0.000195279	-0.004804721	0.304495279	0.330372158	0.010527842
133.581	0.1336	0.0365	0.0314	0.3413	0.036418024	0.097181976	8.19763E-05	-0.005018024	0.304881976	0.330466993	0.010833007
133.6024	0.1329	0.0363	0.0313	0.3418	0.036431776	0.096468224	-0.000131776	-0.005131776	0.305368224	0.330565035	0.011234965
133.6221	0.1321	0.0361	0.0311	0.3423	0.036444436	0.095655564	-0.000344436	-0.005344436	0.305855564	0.330655289	0.011644711
133.6415	0.1314	0.0359	0.0309	0.3427	0.036456903	0.094943097	-0.000556903	-0.005556903	0.306243097	0.330744168	0.011955832
133.6609	0.1307	0.0356	0.0307	0.3431	0.03646937	0.09423063	-0.00086937	-0.00576937	0.30663063	0.330833047	0.012266953
133.6824	0.1299	0.0354	0.0306	0.3434	0.036483186	0.093416814	-0.001083186	-0.005883186	0.306916814	0.330931547	0.012468453
133.7041	0.129	0.0352	0.0304	0.3435	0.036497131	0.092502869	-0.001297131	-0.006097131	0.307002869	0.331030964	0.012469036
133.7246	0.1282	0.035	0.0302	0.3435	0.036510305	0.091689695	-0.001510305	-0.006310305	0.306989695	0.331124882	0.012375118
133.7466	0.1274	0.0348	0.03	0.3432	0.036524443	0.090875557	-0.001724443	-0.006524443	0.306675557	0.331225673	0.011974327
133.7668	0.1264	0.0345	0.0297	0.3428	0.036537424	0.089862576	-0.002037424	-0.006837424	0.306262576	0.331318218	0.011481782
133.786	0.1256	0.0342	0.0295	0.3425	0.036549762	0.089050238	-0.002349762	-0.007049762	0.305950238	0.33140618	0.01109382
133.8053	0.1246	0.034	0.0292	0.342	0.036562165	0.088037835	-0.002562165	-0.007362165	0.305437835	0.331494601	0.010505399
133.8254	0.1237	0.0336	0.029	0.3419	0.036575082	0.087124918	-0.002975082	-0.007575082	0.305324918	0.331586688	0.010313312
133.8462	0.1229	0.0333	0.0287	0.3419	0.036588448	0.086311552	-0.003288448	-0.007888448	0.305311552	0.331681981	0.010218019
133.8679	0.122	0.033	0.0284	0.342	0.036602393	0.085397607	-0.003602393	-0.008202393	0.305397607	0.331781397	0.010218603
133.8867	0.1208	0.0326	0.0281	0.3422	0.036614474	0.084185526	-0.004014474	-0.008514474	0.305585526	0.331867527	0.010332473
133.9057	0.1199	0.0324	0.0278	0.3425	0.036626684	0.083273316	-0.004226684	-0.008826684	0.305873316	0.331954574	0.010545426
133.9282	0.119	0.032	0.0275	0.3431	0.036641143	0.082358857	-0.004641143	-0.009141143	0.306458857	0.332057655	0.011042345
133.9487	0.1181	0.0316	0.0272	0.3436	0.036654317	0.081445683	-0.005054317	-0.009454317	0.306945683	0.332151574	0.011448426
133.97	0.1171	0.0313	0.0268	0.344	0.036668005	0.080431995	-0.005368005	-0.009868005	0.307331995	0.332249158	0.011750842
133.9889	0.116	0.0309	0.0265	0.3443	0.036680151	0.079319849	-0.005780151	-0.010180151	0.307619849	0.332335746	0.011964254
134.0094	0.115	0.0305	0.0262	0.3447	0.036693325	0.078306675	-0.006193325	-0.010493325	0.308006675	0.332429665	0.012270335
134.0298	0.114	0.0301	0.0259	0.345	0.036706434	0.077293566	-0.006606434	-0.010806434	0.308293566	0.332523126	0.012476874
134.0481	0.1129	0.0298	0.0255	0.3453	0.036718194	0.076181806	-0.006918194	-0.011218194	0.308581806	0.332606965	0.012693035
134.0697	0.1119	0.0293	0.0251	0.3454	0.036732075	0.075167925	-0.007432075	-0.011632075	0.308667925	0.332705924	0.012694076
134.0887	0.1108	0.0289	0.0247	0.3451	0.036744285	0.074055715	-0.007844285	-0.012044285	0.308355715	0.33279297	0.01230703
134.1109	0.1098	0.0285	0.0244	0.3445	0.036758551	0.073041449	-0.008258551	-0.012358551	0.307741449	0.332894677	0.011605323
134.1317	0.1088	0.0281	0.024	0.344	0.036771918	0.072028082	-0.008671918	-0.012771918	0.307228082	0.33298997	0.01101003
134.152	0.1077	0.0277	0.0236	0.3436	0.036784963	0.070915037	-0.009084963	-0.013184963	0.306815037	0.333082973	0.010517027
134.1718	0.1067	0.0273	0.0232	0.3432	0.036797687	0.069902313	-0.009497687	-0.013597687	0.306402313	0.333173685	0.010026315
134.192	0.1055	0.0268	0.0229	0.3431	0.036810668	0.068689332	-0.010010668	-0.013910668	0.306289332	0.333266229	0.009833771
134.2116	0.1044	0.0264	0.0225	0.3431	0.036823264	0.067576736	-0.010423264	-0.014323264	0.306276736	0.333356024	0.009743976
134.2327	0.1032	0.026	0.0221	0.3434	0.036836823	0.066363177	-0.010836823	-0.014736823	0.306563177	0.333452692	0.009947308
134.2542	0.102	0.0255	0.0217	0.3439	0.03685064	0.06514936	-0.01135064	-0.01515064	0.30704936	0.333551192	0.010348808
134.2741	0.1009	0.0251	0.0213	0.3444	0.036863428	0.064036572	-0.011763428	-0.015563428	0.307536572	0.333642362	0.010757638
134.2952	0.0998	0.0247	0.0209	0.3448	0.036876987	0.062923013	-0.012176987	-0.015976987	0.307923013	0.333739029	0.011060971
