x	CH0	CH1	CH3	CH4	f-4	Ch4_b	a	b	f	CH0_b	CH1_b	CH3_b
141.1517	0.1694	0.0431	0.0368	0.3608	0.847398812	-0.486598812			0.036224272	0.133175728	0.006875728	0.324575728
141.1526	0.1696	0.0431	0.0368	0.361	0.847404558	-0.486404558			0.036236932	0.133363068	0.006863068	0.324763068
141.1557	0.1698	0.0431	0.0368	0.361	0.847424353	-0.486424353			0.036248499	0.133551501	0.006851501	0.324751501
141.1543	0.1696	0.043	0.0367	0.361	0.847415413	-0.486415413			0.036262701	0.133337299	0.006737299	0.324737299
141.1561	0.1694	0.043	0.0367	0.3608	0.847426907	-0.486626907			0.036274397	0.133125603	0.006725603	0.324525603
141.1591	0.1695	0.043	0.0367	0.361	0.847446062	-0.486446062			0.036286864	0.133213136	0.006713136	0.324713136
141.158	0.1697	0.043	0.0367	0.3614	0.847439038	-0.486039038			0.036299138	0.133400862	0.006700862	0.325100862
141.1602	0.1699	0.0429	0.0366	0.361	0.847453086	-0.486453086			0.036313533	0.133586467	0.006586467	0.324686467
141.159	0.1696	0.0429	0.0366	0.3606	0.847445424	-0.486845424			0.036326771	0.133273229	0.006573229	0.324273229
141.1603	0.17	0.0429	0.0366	0.3603	0.847453724	-0.487153724			0.036340459	0.133659541	0.006559541	0.323959541
141.1629	0.1703	0.0429	0.0365	0.3604	0.847470326	-0.487070326			0.036354532	0.133945468	0.006545468	0.324045468
141.1625	0.1701	0.0429	0.0366	0.3602	0.847467772	-0.487267772			0.036367835	0.133732165	0.006532165	0.323832165
141.1646	0.17	0.0429	0.0366	0.3602	0.847481181	-0.487281181			0.036378695	0.133621305	0.006521305	0.323821305
141.1668	0.1704	0.0429	0.0366	0.3603	0.847495228	-0.487195228			0.036392447	0.134007553	0.006507553	0.323907553
141.1662	0.1704	0.0429	0.0366	0.3601	0.847491397	-0.487391397			0.036404721	0.133995279	0.006495279	0.323695279
141.1687	0.1704	0.0429	0.0366	0.3601	0.84750736	-0.48740736			0.036418024	0.133981976	0.006481976	0.323681976
141.1692	0.1707	0.0429	0.0366	0.3602	0.847510552	-0.487310552			0.036431776	0.134268224	0.006468224	0.323768224
