Lenght	Intensity	Error
8.0775902377	1.5428658724	0.3921279311
8.0779077377	1.5510075092	0.4926873744
8.0782127377	1.5505087376	0.4269078374
8.0785152377	1.5497294664	0.2365516871
8.0788097377	1.5471807718	0.0590025336
8.0790937377	1.5388731956	0.0081968354
8.0793737377	1.5529353619	0.1253240108
8.0796667377	1.5555444956	0.3285287619
8.0799562377	1.5522930622	0.4750118554
8.0802322377	1.5532921553	0.4648653865
8.0805037377	1.5586134195	0.2964476347
8.0807857377	1.5531281233	0.1056144312
8.0810692377	1.5555007458	0.0026805385
8.0813622377	1.5470385551	0.080412209
8.0816522377	1.5560507774	0.2604286969
8.0819432377	1.5500417948	0.4408681989
8.0822322377	1.5588259697	0.4882292449
8.0825187377	1.5545035601	0.3664934337
8.0827977377	1.5532649755	0.163705796
8.0830827377	1.5551406145	0.0190251619
8.0833597377	1.5521821976	0.0329413339
8.0836392377	1.5554578304	0.1976880431
8.0839152377	1.5533860922	0.3936414421
8.0841882377	1.5611054897	0.491845727
8.0844652377	1.5595805645	0.4211927056
8.0847462377	1.560628891	0.2213551104
8.0850292377	1.5597770214	0.0514744632
8.0853132377	1.561653614	0.00818328
8.0856017377	1.553332448	0.1359742433
8.0858817377	1.5658563375	0.338899076
8.0861677377	1.5693200827	0.4787986875
8.0864532377	1.5569467545	0.4603700638
8.0867337377	1.5637875795	0.2976850569
8.0870162377	1.558909297	0.0960457996
8.0873097377	1.5546184778	0.0047758366
8.0875877377	1.555996418	0.0787511989
8.0878737377	1.5592772961	0.2725014985
8.0881517377	1.5617835522	0.4500435293
8.0884307377	1.5698606968	0.4869044721
8.0887102377	1.5641070604	0.3531018198
8.0889897377	1.5689501762	0.1593879759
8.0892742377	1.5629345179	0.0157413948
8.0895557377	1.5621576309	0.0369430631
8.0898337377	1.5659272671	0.2051962018
8.0901092377	1.5605142117	0.4023990631
8.0903817377	1.5621880293	0.4914030731
8.0906447377	1.5666204691	0.4115294516
8.0909127377	1.5649209023	0.2157077342
8.0911792377	1.5713595152	0.0431579947
8.0914567377	1.5661468506	0.0113259284
8.0917402377	1.5722328424	0.1436487585
8.0920287377	1.5729652643	0.3457694948
8.0923207377	1.5758839846	0.4831085205
8.0926132377	1.569947958	0.4554634392
8.0928967377	1.5755721331	0.2849900723
8.0931762377	1.568703413	0.0876139253
8.0934587377	1.579288125	0.0020116826
8.0937457377	1.5736652613	0.0848910362
8.0940192377	1.5730222464	0.2867640555
8.0942932377	1.5725722313	0.4508571923
8.0945712377	1.5795668364	0.4834070802
8.0948582377	1.5800569057	0.3531983197
8.0951477377	1.5743737221	0.1472780257
8.0954272377	1.5782419443	0.0114068035
8.0957062377	1.5752716064	0.041272413
8.0959932377	1.5760207176	0.2176832706
8.0962822377	1.5815691948	0.4063100815
8.0965737377	1.5787768364	0.4920766056
8.0968617377	1.5786724091	0.4023733437
8.0971462377	1.5862576962	0.2076190859
8.0974292377	1.5806252956	0.03784623
8.0977102377	1.5796343088	0.0147360079
8.0979922377	1.5854711533	0.1563225538
8.0982867377	1.5836712122	0.3522889018
8.0985777377	1.5769000053	0.482968986
8.0988632377	1.5838917494	0.4466881156
8.0991512377	1.5787523985	0.2719899118
8.0994322377	1.5860915184	0.0790106803
8.0997047377	1.5765399933	0.0041783596
8.0999827377	1.5835590363	0.09500774
8.1002607377	1.5821044445	0.2965484858
8.1005447377	1.5948474407	0.4616146386
8.1008327377	1.5885595083	0.4742614329
8.1011232377	1.5864650011	0.3349303901
8.1014102377	1.5859518051	0.1292964667
8.1016907377	1.5910198689	0.0085293045
8.1019762377	1.581943512	0.0515843853
8.1022617377	1.5931960344	0.2381346673
8.1025487377	1.5826388597	0.4143087864
8.1028422377	1.5872095823	0.4905226827
8.1031377377	1.5927121639	0.3904851377
8.1034352377	1.5933933258	0.1842102557
8.1037322377	1.5876264572	0.0336587727
8.1040122377	1.5909326077	0.0202795565
8.1042877377	1.5942084789	0.171227172
8.1045612377	1.5918244123	0.3707138896
8.1048302377	1.6011382341	0.4884735048
8.1051022377	1.5921186209	0.4361286163
8.1053687377	1.6017712355	0.2558436692
8.1056357377	1.597577095	0.0656903908
8.1059017377	1.5974994898	0.0041695964
8.1061672377	1.5991681814	0.1119249985
8.1064282377	1.5950715542	0.3127219081
8.1066892377	1.5980559587	0.4674380124
8.1069512377	1.5867096186	0.4648925662
8.1072152377	1.5947105885	0.3175463974
8.1074777377	1.6042921543	0.1085963622
8.1077517377	1.5933521986	0.0060173557
8.1080297377	1.6053441763	0.0633681715
8.1083122377	1.6023105383	0.2556618452
8.1085957377	1.606449604	0.4358053505
8.1088772377	1.5973016024	0.4860908687
8.1091492377	1.5998733044	0.3754920363
8.1094212377	1.5975701809	0.162281692
8.1097017377	1.5998506546	0.0189761184
8.1099762377	1.6033525467	0.0295630638
8.1102542377	1.6013786793	0.1893351674
8.1105292377	1.6043941975	0.3947617412
8.1108132377	1.6015571356	0.489877522
8.1110917377	1.6072567701	0.4166071415
8.1113682377	1.5962961912	0.2298588753
8.1116442377	1.5949859619	0.0430654809
8.1119252377	1.6050502062	0.0082929702
8.1122077377	1.6010115147	0.1404221505
8.1124907377	1.604596734	0.3453617096
8.1127797377	1.6022708416	0.478574574
8.1130592377	1.6012562513	0.4546961188
8.1133392377	1.6040302515	0.2775042057
8.1136207377	1.6090223789	0.0865765885
8.1139052377	1.5988032818	0.0035126144
8.1141857377	1.6041810513	0.0907074735
8.1144657377	1.6052772999	0.2909316123
8.1147532377	1.607278347	0.4548227191
8.1150452377	1.606500268	0.4781784713
8.1153427377	1.603887558	0.3440896571
8.1156377377	1.6041812897	0.1369623393
8.1159247377	1.6056052446	0.0093627181
8.1162112377	1.6093379259	0.0515765287
8.1164872377	1.6077042818	0.2284435183
8.1167502377	1.6058894396	0.4221594632
8.1170152377	1.5991078615	0.4911174178
8.1172867377	1.6045451164	0.3943320215
8.1175632377	1.6018033028	0.1911193579
8.1178347377	1.6059396267	0.0298176017
8.1181022377	1.6184635162	0.0192703772
8.1183657377	1.6065380573	0.1766748577
8.1186367377	1.5988192558	0.3760565817
8.1189032377	1.6055505276	0.490753144
8.1191627377	1.6116443872	0.4320980608
8.1194327377	1.5999393463	0.247812897
8.1196917377	1.6050947905	0.0579275712
8.1199562377	1.6083505154	0.0063714152
8.1202237377	1.6130540371	0.1226468459
8.1204902377	1.6092425585	0.3302789629
8.1207612377	1.6136727333	0.4762991369
8.1210292377	1.6044238806	0.4644775093
8.1212947377	1.6065036058	0.3063985407
8.1215592377	1.6131360531	0.1005836502
8.1218222377	1.6079241037	0.0045067095
8.1220902377	1.6098846197	0.0771609172
8.1223607377	1.6116782427	0.2737683952
8.1226287377	1.6180779934	0.4501974285
8.1229057377	1.6129847765	0.4865064919
8.1231902377	1.6166853905	0.3603711724
8.1234702377	1.6184566021	0.1496664882
8.1237532377	1.6152819395	0.0148908179
8.1240327377	1.6235891581	0.0388798937
8.1243112377	1.6277449131	0.2094250321
8.1245982377	1.6192048788	0.4075782001
8.1248867377	1.6242258549	0.4960640967
8.1251627377	1.6310604811	0.4060283899
8.1254462377	1.6289533377	0.208590433
8.1257467377	1.6308093071	0.0389868729
8.1260347377	1.6333079338	0.0123996297
8.1263127377	1.6266177893	0.1573034823
8.1265892377	1.636623621	0.3584020734
8.1268917377	1.634141326	0.487659961
8.1271907377	1.6379842758	0.4487076104
8.1274777377	1.6410332918	0.2738521993
8.1277587377	1.6337702274	0.0796197504
8.1280327377	1.6344587803	0.0035712784
8.1283097377	1.6387019157	0.1024696678
8.1285887377	1.6382803917	0.3058311343
8.1288667377	1.6505893469	0.4637313187
8.1291437377	1.64105618	0.4791794419
8.1294237377	1.6425381899	0.3332031965
8.1297022377	1.6425349712	0.1269384623
8.1299827377	1.651463747	0.0067804172
8.1302662377	1.644007206	0.0543853715
8.1305447377	1.6471858025	0.242113173
8.1308212377	1.6518660784	0.4276358485
8.1310887377	1.6491528749	0.4940775633
8.1313612377	1.6557762623	0.3842876554
8.1316302377	1.6568449736	0.1849971265
8.1319012377	1.6619375944	0.0278459005
8.1321717377	1.6556409597	0.0223983116
8.1324477377	1.6617815495	0.1776000857
8.1327197377	1.659776926	0.3822470307
8.1329947377	1.6656861305	0.4945195913
8.1332682377	1.6689758301	0.4331607521
8.1335477377	1.6696741581	0.2470169812
8.1338267377	1.6662540436	0.0593445636
8.1341067377	1.6712640524	0.0057642143
8.1343912377	1.6705749035	0.1224962696
8.1346757377	1.6758743525	0.3224872053
8.1349592377	1.6659399271	0.4767779112
8.1352387377	1.6695380211	0.4702015221
8.1355132377	1.6761665344	0.3058521748
8.1357902377	1.6747213602	0.1048483998
8.1360682377	1.690174818	0.0018923065
8.1363527377	1.6822090149	0.0723492727
8.1366362377	1.6823056936	0.2636011541
8.1369212377	1.6858092546	0.4457748234
8.1372022377	1.6786644459	0.4880006909
8.1374852377	1.6923582554	0.3631308675
8.1377712377	1.6900517941	0.1617311388
8.1380587377	1.6885061264	0.0175002962
8.1383462377	1.6913628578	0.0348485522
8.1386332377	1.6987113953	0.2040635943
8.1389162377	1.6984726191	0.405415684
8.1391942377	1.6946434975	0.4943877459
8.1394612377	1.7034364939	0.4132260382
8.1397372377	1.7052903175	0.2263631821
8.1400152377	1.7054407597	0.0453841761
8.1402877377	1.7110646963	0.0107253389
8.1405492377	1.7126144171	0.1487868726
8.1408152377	1.7030318975	0.3452449441
8.1410802377	1.7162256241	0.4861580431
8.1413447377	1.7183468342	0.4563168585
