Hg-high_einhuellende_0.dat
05/10/2021
13:29
M1: 60um  Speed 1um/s  filter: 129Hz
position_mm  datamess datacalib
40.3114249390 0.0251604822 0.2545621693
40.3114449390 0.0251637455 0.2546525002
40.3114649390 0.0251669940 0.2547417283
40.3114849390 0.0251702219 0.2548298240
40.3115049390 0.0251734257 0.2549166679
40.3115249390 0.0251765996 0.2550022006
40.3115449390 0.0251797363 0.2550864220
40.3115649390 0.0251828339 0.2551692128
40.3115849390 0.0251858849 0.2552505434
40.3116049390 0.0251888856 0.2553303242
40.3116249390 0.0251918305 0.2554085553
40.3116449390 0.0251947120 0.2554851472
40.3116649390 0.0251975264 0.2555600405
40.3116849390 0.0252002701 0.2556332052
40.3117049390 0.0252029374 0.2557045519
40.3117249390 0.0252055209 0.2557740808
40.3117449390 0.0252080169 0.2558417320
40.3117649390 0.0252104215 0.2559074759
40.3117849390 0.0252127275 0.2559712231
40.3118049390 0.0252149291 0.2560329437
40.3118249390 0.0252170246 0.2560926378
40.3118449390 0.0252190083 0.2561502159
40.3118649390 0.0252208747 0.2562057078
40.3118849390 0.0252226163 0.2562590241
40.3119049390 0.0252242330 0.2563101351
40.3119249390 0.0252257176 0.2563590407
40.3119449390 0.0252270643 0.2564056814
40.3119649390 0.0252282713 0.2564500570
40.3119849390 0.0252293330 0.2564921379
40.3120049390 0.0252302438 0.2565318942
40.3120249390 0.0252310019 0.2565692961
40.3120449390 0.0252316017 0.2566043735
40.3120649390 0.0252320394 0.2566370368
40.3120849390 0.0252323095 0.2566673458
40.3121049390 0.0252324101 0.2566952407
40.3121249390 0.0252323374 0.2567207515
40.3121449390 0.0252320860 0.2567438185
40.3121649390 0.0252316538 0.2567644715
40.3121849390 0.0252310373 0.2567827106
40.3122049390 0.0252302326 0.2567985356
40.3122249390 0.0252292380 0.2568119466
40.3122449390 0.0252280477 0.2568229139
40.3122649390 0.0252266619 0.2568314970
40.3122849390 0.0252250750 0.2568376362
40.3123049390 0.0252232868 0.2568414211
40.3123249390 0.0252212938 0.2568428218
40.3123449390 0.0252190959 0.2568418384
40.3123649390 0.0252166856 0.2568385303
40.3123849390 0.0252140667 0.2568328679
40.3124049390 0.0252112336 0.2568249106
40.3124249390 0.0252081864 0.2568146586
40.3124449390 0.0252049230 0.2568021417
40.3124649390 0.0252014417 0.2567873895
40.3124849390 0.0251977425 0.2567704320
40.3125049390 0.0251938235 0.2567512989
40.3125249390 0.0251896828 0.2567300200
40.3125449390 0.0251853224 0.2567066252
40.3125649390 0.0251807403 0.2566811442
40.3125849390 0.0251759365 0.2566536367
40.3126049390 0.0251709092 0.2566241324
40.3126249390 0.0251656622 0.2565926611
40.3126449390 0.0251601916 0.2565592825
40.3126649390 0.0251545012 0.2565240264
40.3126849390 0.0251485892 0.2564869523
40.3127049390 0.0251424573 0.2564480901
40.3127249390 0.0251361057 0.2564074993
40.3127449390 0.0251295380 0.2563652396
40.3127649390 0.0251227543 0.2563213408
40.3127849390 0.0251157545 0.2562758625
40.3128049390 0.0251085404 0.2562288642
40.3128249390 0.0251011178 0.2561804056
40.3128449390 0.0250934847 0.2561305463
40.3128649390 0.0250856448 0.2560793161
40.3128849390 0.0250776000 0.2560267746
40.3129049390 0.0250693522 0.2559730411
40.3129249390 0.0250609070 0.2559180856
40.3129449390 0.0250522662 0.2558620274
40.3129649390 0.0250434317 0.2558049262
40.3129849390 0.0250344072 0.2557468414
40.3130049390 0.0250251982 0.2556878030
40.3130249390 0.0250158068 0.2556279004
40.3130449390 0.0250062346 0.2555672228
40.3130649390 0.0249964893 0.2555057704
40.3130849390 0.0249865744 0.2554436624
40.3131049390 0.0249764938 0.2553809285
40.3131249390 0.0249662492 0.2553176582
40.3131449390 0.0249558501 0.2552539110
40.3131649390 0.0249452982 0.2551897466
40.3131849390 0.0249346010 0.2551252246
40.3132049390 0.0249237604 0.2550604045
40.3132249390 0.0249127820 0.2549953759
40.3132449390 0.0249016751 0.2549301982
40.3132649390 0.0248904396 0.2548649311
40.3132849390 0.0248790868 0.2547996044
40.3133049390 0.0248676185 0.2547343373
40.3133249390 0.0248560421 0.2546691597
40.3133449390 0.0248443615 0.2546041608
40.3133649390 0.0248325877 0.2545393705
40.3133849390 0.0248207226 0.2544748485
40.3134049390 0.0248087738 0.2544106841
40.3134249390 0.0247967467 0.2543469369
40.3134449390 0.0247846507 0.2542836368
40.3134649390 0.0247724894 0.2542208731
40.3134849390 0.0247602724 0.2541586757
40.3135049390 0.0247480031 0.2540971041
40.3135249390 0.0247356910 0.2540362477
40.3135449390 0.0247233417 0.2539761066
40.3135649390 0.0247109625 0.2539167702
40.3135849390 0.0246985611 0.2538582981
40.3136049390 0.0246861447 0.2538007200
40.3136249390 0.0246737190 0.2537440658
40.3136449390 0.0246612914 0.2536884248
40.3136649390 0.0246488694 0.2536338568
40.3136849390 0.0246364605 0.2535803318
40.3137049390 0.0246240739 0.2535279691
40.3137249390 0.0246117134 0.2534767687
40.3137449390 0.0245993864 0.2534267902
40.3137649390 0.0245871022 0.2533780336
40.3137849390 0.0245748684 0.2533306181
40.3138049390 0.0245626885 0.2532845140
40.3138249390 0.0245505739 0.2532397509
40.3138449390 0.0245385300 0.2531964183
40.3138649390 0.0245265644 0.2531544864
40.3138849390 0.0245146826 0.2531140149
40.3139049390 0.0245028939 0.2530750334
40.3139249390 0.0244912039 0.2530375719
40.3139449390 0.0244796183 0.2530016601
40.3139649390 0.0244681481 0.2529672682
40.3139849390 0.0244567953 0.2529344857
40.3140049390 0.0244455710 0.2529033124
40.3140249390 0.0244344790 0.2528737187
40.3140449390 0.0244235266 0.2528457940
40.3140649390 0.0244127195 0.2528194785
40.3140849390 0.0244020652 0.2527948618
40.3141049390 0.0243915692 0.2527718842
40.3141249390 0.0243812371 0.2527506053
40.3141449390 0.0243710764 0.2527310252
40.3141649390 0.0243610926 0.2527131140
40.3141849390 0.0243512914 0.2526969016
40.3142049390 0.0243416782 0.2526824176
40.3142249390 0.0243322570 0.2526696026
40.3142449390 0.0243230350 0.2526584864
40.3142649390 0.0243140180 0.2526490688
40.3142849390 0.0243052077 0.2526413500
40.3143049390 0.0242966134 0.2526353002
40.3143249390 0.0242882352 0.2526309490
40.3143449390 0.0242800806 0.2526282370
40.3143649390 0.0242721532 0.2526271939
40.3143849390 0.0242644586 0.2526278198
40.3144049390 0.0242569968 0.2526300550
40.3144249390 0.0242497753 0.2526338995
40.3144449390 0.0242427960 0.2526393533
40.3144649390 0.0242360625 0.2526463866
40.3144849390 0.0242295787 0.2526549697
40.3145049390 0.0242233444 0.2526651025
40.3145249390 0.0242173672 0.2526767552
40.3145449390 0.0242116470 0.2526899278
40.3145649390 0.0242061857 0.2527045310
40.3145849390 0.0242009871 0.2527205944
40.3146049390 0.0241960511 0.2527380884
40.3146249390 0.0241913814 0.2527569830
40.3146449390 0.0241869781 0.2527772188
40.3146649390 0.0241828430 0.2527987957
40.3146849390 0.0241789762 0.2528216541
40.3147049390 0.0241753794 0.2528458238
40.3147249390 0.0241720527 0.2528711855
40.3147449390 0.0241689980 0.2528977692
40.3147649390 0.0241662115 0.2529255450
40.3147849390 0.0241636969 0.2529544234
40.3148049390 0.0241614524 0.2529844046
40.3148249390 0.0241594780 0.2530154586
40.3148449390 0.0241577718 0.2530475259
40.3148649390 0.0241563339 0.2530805767
40.3148849390 0.0241551623 0.2531145811
40.3149049390 0.0241542552 0.2531494796
40.3149249390 0.0241536107 0.2531852722
40.3149449390 0.0241532288 0.2532218695
40.3149649390 0.0241531041 0.2532592714
40.3149849390 0.0241532363 0.2532974184
40.3150049390 0.0241536237 0.2533362508
40.3150249390 0.0241542608 0.2533757687
40.3150449390 0.0241551455 0.2534159124
40.3150649390 0.0241562743 0.2534566224
40.3150849390 0.0241576452 0.2534978986
40.3151049390 0.0241592526 0.2535396516
40.3151249390 0.0241610929 0.2535818815
40.3151449390 0.0241631642 0.2536244988
40.3151649390 0.0241654590 0.2536675036
40.3151849390 0.0241679735 0.2537108660
40.3152049390 0.0241707042 0.2537544966
40.3152249390 0.0241736453 0.2537983656
40.3152449390 0.0241767932 0.2538424730
40.3152649390 0.0241801385 0.2538867295
40.3152849390 0.0241836794 0.2539311051
