G11_pendel
06.09.2021
16:18:06
nichtlineares Pendel
stimulation_fq[Hz]: 1,499
timeline range  for cut and FFT datapoints: 0-40s
Chaos_Versuch
t(s) Ua(V) -dUa/dt(V) cutX(V) cutY(V) F(Hz) DFT-Ua(V) DFT-dUa/dt(V)

2,160E+0 2,711E+0 6,419E-2 2,695E+0 -1,439E-2 1,350E+0 6,345E-11 6,716E-10
2,200E+0 2,719E+0 7,297E-2 2,700E+0 -1,439E-2 1,375E+0 2,543E-10 3,089E-9
2,240E+0 2,729E+0 7,243E-2 2,695E+0 -1,439E-2 1,400E+0 6,312E-10 6,935E-9
2,280E+0 2,737E+0 5,977E-2 2,692E+0 -1,439E-2 1,425E+0 2,921E-9 3,471E-8
2,320E+0 2,745E+0 3,664E-2 2,699E+0 -1,439E-2 1,450E+0 2,022E-8 2,195E-7
2,360E+0 2,749E+0 6,483E-3 2,699E+0 -1,439E-2 1,475E+0 4,085E-7 4,688E-6
2,400E+0 2,749E+0 -2,801E-2 0,000E+0 0,000E+0 1,500E+0 1,432E-4 1,628E-3
2,440E+0 2,746E+0 -6,407E-2 0,000E+0 0,000E+0 1,525E+0 3,680E-4 4,183E-3
2,480E+0 2,739E+0 -9,352E-2 0,000E+0 0,000E+0 1,550E+0 5,706E-5 6,487E-4
2,520E+0 2,729E+0 -1,094E-1 0,000E+0 0,000E+0 1,575E+0 1,332E-7 1,518E-6
2,560E+0 2,718E+0 -1,100E-1 0,000E+0 0,000E+0 1,600E+0 1,045E-8 1,180E-7
2,600E+0 2,707E+0 -9,502E-2 0,000E+0 0,000E+0 1,625E+0 1,768E-9 1,877E-8
2,640E+0 2,699E+0 -6,525E-2 0,000E+0 0,000E+0 1,650E+0 4,831E-10 5,662E-9
2,680E+0 2,694E+0 -2,940E-2 0,000E+0 0,000E+0 1,675E+0 1,548E-10 1,646E-9
2,720E+0 2,692E+0 3,545E-3 0,000E+0 0,000E+0 1,700E+0 5,234E-11 1,020E-9
2,760E+0 2,695E+0 3,261E-2 0,000E+0 0,000E+0 1,725E+0 4,030E-11 2,764E-10
