Waveleght	Intensity	Error
634.52	0.08193	0.00025
634.56	0.08855	0.00052
634.6	0.08575	0.00036
634.64	0.08396	0.00034
634.68	0.08381	0.00036
634.72	0.08493	0.00046
634.76	0.08478	0.00046
634.8	0.08493	0.0004
634.84	0.08575	0.00042
634.88	0.08844	0.0005
634.92	0.08315	0.0005
634.95	0.08315	0.00038
635.0	0.08544	0.00033
635.04	0.08865	0.00047
635.07	0.0885	0.00046
635.12	0.0859	0.00031
635.16	0.08773	0.00031
635.19	0.08096	0.00065
635.24	0.08951	0.0004
635.28	0.08773	0.00031
635.31	0.0859	0.00031
635.36	0.08585	0.00042
635.4	0.08284	0.00064
635.43	0.0889	0.00053
635.48	0.07897	0.00052
635.52	0.08396	0.00041
635.56	0.08478	0.00051
635.6	0.08946	0.00031
635.64	0.08926	0.00044
635.68	0.08656	0.00041
635.72	0.09028	0.00031
635.76	0.08829	0.00036
635.8	0.08177	0.00027
635.84	0.083	0.00041
635.88	0.08585	0.00036
635.92	0.08188	0.00033
635.95	0.08208	0.0004
636.0	0.0857	0.0005
636.04	0.0859	0.0005
636.07	0.08575	0.00027
636.12	0.08289	0.0004
636.16	0.08595	0.0004
636.19	0.08498	0.00047
636.24	0.08478	0.00023
636.28	0.08483	0.00048
636.31	0.08396	0.00034
636.36	0.08447	0.00034
636.4	0.08193	0.00041
636.43	0.08101	0.00047
636.48	0.08768	0.0004
636.52	0.08687	0.00058
636.56	0.08661	0.00034
636.6	0.08473	0.00048
636.64	0.08183	0.0005
636.68	0.08289	0.0004
636.72	0.08279	0.00048
636.76	0.08366	0.0002
636.8	0.08101	0.00041
636.84	0.08106	0.00023
636.88	0.08773	0.00031
636.92	0.0857	0.0005
636.95	0.08412	0.00033
637.0	0.08203	0.00057
637.04	0.08188	0.0004
637.07	0.08595	0.00023
637.12	0.0858	0.00032
637.16	0.086	0.00041
637.19	0.08564	0.00046
637.24	0.08839	0.00036
637.28	0.08972	0.00046
637.31	0.08386	0.00038
637.36	0.0861	0.00025
637.4	0.08473	0.00027
637.43	0.08498	0.00057
637.48	0.08788	0.00042
637.52	0.08096	0.00052
637.56	0.08284	0.00038
637.6	0.08564	0.00033
637.64	0.08468	0.0005
637.68	0.08656	0.00034
637.72	0.08656	0.00025
637.76	0.08778	0.00042
637.8	0.09028	0.00038
637.84	0.08758	0.00052
637.88	0.08692	0.00031
637.92	0.08412	0.00033
