	m	t	
f	1.44177E-05	0.0906813	
			
			
X in nm	Y Signal 	f	y-f
565.88	0.0998	0.098839988	0.000960012
565.92	0.09735	0.098840565	-0.001490565
565.96	0.09995	0.098841141	0.001108859
566	0.10092	0.098841718	0.002078282
566.04	0.10066	0.098842295	0.001817705
566.08	0.09145	0.098842872	-0.007392872
566.12	0.09613	0.098843448	-0.002713448
566.16	0.09786	0.098844025	-0.000984025
566.2	0.09812	0.098844602	-0.000724602
566.24	0.10087	0.098845178	0.002024822
566.28	0.09425	0.098845755	-0.004595755
566.32	0.09517	0.098846332	-0.003676332
566.36	0.09898	0.098846909	0.000133091
566.4	0.09807	0.098847485	-0.000777485
566.44	0.09578	0.098848062	-0.003068062
566.48	0.09613	0.098848639	-0.002718639
566.52	0.09888	0.098849215	3.07846E-05
566.56	0.09893	0.098849792	8.02079E-05
566.6	0.09608	0.098850369	-0.002770369
566.64	0.10285	0.098850946	0.003999054
566.68	0.09914	0.098851522	0.000288478
566.72	0.09919	0.098852099	0.000337901
566.76	0.09725	0.098852676	-0.001602676
566.8	0.09695	0.098853252	-0.001903252
566.84	0.09797	0.098853829	-0.000883829
566.88	0.09898	0.098854406	0.000125594
566.92	0.09888	0.098854982	2.50175E-05
566.96	0.09807	0.098855559	-0.000785559
567	0.10061	0.098856136	0.001753864
567.04	0.10362	0.098856713	0.004763287
567.08	0.10367	0.098857289	0.004812711
567.12	0.097	0.098857866	-0.001857866
567.16	0.1029	0.098858443	0.004041557
567.2	0.09517	0.098859019	-0.003689019
567.24	0.09629	0.098859596	-0.002569596
567.28	0.09425	0.098860173	-0.004610173
567.32	0.09791	0.09886075	-0.00095075
567.36	0.09802	0.098861326	-0.000841326
567.4	0.10005	0.098861903	0.001188097
567.44	0.09695	0.09886248	-0.00191248
567.48	0.09629	0.098863056	-0.002573056
567.52	0.09995	0.098863633	0.001086367
567.56	0.09781	0.09886421	-0.00105421
567.6	0.09043	0.098864787	-0.008434787
567.64	0.09629	0.098865363	-0.002575363
567.68	0.09588	0.09886594	-0.00298594
567.72	0.09679	0.098866517	-0.002076517
567.76	0.09399	0.098867093	-0.004877093
567.8	0.0999	0.09886767	0.00103233
567.84	0.09903	0.098868247	0.000161753
567.88	0.10005	0.098868823	0.001181177
567.92	0.09405	0.0988694	-0.0048194
567.96	0.09415	0.098869977	-0.004719977
568	0.09888	0.098870554	9.4464E-06
568.04	0.10015	0.09887113	0.00127887
568.08	0.09995	0.098871707	0.001078293
568.12	0.09903	0.098872284	0.000157716
568.16	0.09817	0.09887286	-0.00070286
568.2	0.10015	0.098873437	0.001276563
568.24	0.09934	0.098874014	0.000465986
568.28	0.09883	0.098874591	-4.45906E-05
568.32	0.09985	0.098875167	0.000974833
568.36	0.09817	0.098875744	-0.000705744
568.4	0.09415	0.098876321	-0.004726321
568.44	0.09985	0.098876897	0.000973103
568.48	0.09695	0.098877474	-0.001927474
568.52	0.10377	0.098878051	0.004891949
568.56	0.10367	0.098878628	0.004791372
568.6	0.10173	0.098879204	0.002850796
568.64	0.10189	0.098879781	0.003010219
568.68	0.09802	0.098880358	-0.000860358
568.72	0.09695	0.098880934	-0.001930934
568.76	0.09435	0.098881511	-0.004531511
568.8	0.09603	0.098882088	-0.002852088
568.84	0.09598	0.098882664	-0.002902664
568.88	0.10367	0.098883241	0.004786759
568.92	0.09715	0.098883818	-0.001733818
568.96	0.10311	0.098884395	0.004225605
569	0.09629	0.098884971	-0.002594971
569.04	0.09812	0.098885548	-0.000765548
569.08	0.0999	0.098886125	0.001013875
569.12	0.0999	0.098886701	0.001013299
569.16	0.09975	0.098887278	0.000862722
569.2	0.09817	0.098887855	-0.000717855
569.24	0.0973	0.098888432	-0.001588432
569.28	0.09807	0.098889008	-0.000819008
569.32	0.09623	0.098889585	-0.002659585
569.36	0.09995	0.098890162	0.001059838
569.4	0.10173	0.098890738	0.002839262
569.44	0.10214	0.098891315	0.003248685
569.48	0.09613	0.098891892	-0.002761892
569.52	0.09333	0.098892469	-0.005562469
569.56	0.09399	0.098893045	-0.004903045
569.6	0.10092	0.098893622	0.002026378
569.64	0.09898	0.098894199	8.58014E-05
569.68	0.10077	0.098894775	0.001875225
569.72	0.10087	0.098895352	0.001974648
569.76	0.09226	0.098895929	-0.006635929
569.8	0.09985	0.098896505	0.000953495
569.84	0.10306	0.098897082	0.004162918
569.88	0.10178	0.098897659	0.002882341
569.92	0.09135	0.098898236	-0.007548236
569.96	0.0971	0.098898812	-0.001798812
570	0.0997	0.098899389	0.000800611
570.04	0.09995	0.098899966	0.001050034
570.08	0.10199	0.098900542	0.003089458
570.12	0.09674	0.098901119	-0.002161119
570.16	0.09761	0.098901696	-0.001291696
570.2	0.09995	0.098902273	0.001047727
570.24	0.09802	0.098902849	-0.000882849
570.28	0.09771	0.098903426	-0.001193426
570.32	0.09817	0.098904003	-0.000734003
570.36	0.0914	0.098904579	-0.007504579
570.4	0.10077	0.098905156	0.001864844
570.44	0.09791	0.098905733	-0.000995733
570.48	0.09715	0.098906309	-0.001756309
570.52	0.09883	0.098906886	-7.68862E-05
570.56	0.09532	0.098907463	-0.003587463
570.6	0.0969	0.09890804	-0.00200804
570.64	0.0972	0.098908616	-0.001708616
570.68	0.09639	0.098909193	-0.002519193
570.72	0.09593	0.09890977	-0.00297977
570.76	0.1001	0.098910346	0.001189654
570.8	0.09705	0.098910923	-0.001860923
570.84	0.09425	0.0989115	-0.0046615
570.88	0.09883	0.098912077	-8.20766E-05
570.92	0.09888	0.098912653	-3.26533E-05
570.96	0.09914	0.09891323	0.00022677
571	0.10082	0.098913807	0.001906193
571.04	0.09608	0.098914383	-0.002834383
571.08	0.09807	0.09891496	-0.00084496
571.12	0.10097	0.098915537	0.002054463
571.16	0.09766	0.098916114	-0.001256114
571.2	0.09817	0.09891669	-0.00074669
571.24	0.09527	0.098917267	-0.003647267
571.28	0.10082	0.098917844	0.001902156
571.32	0.09527	0.09891842	-0.00364842
571.36	0.09898	0.098918997	6.10029E-05
571.4	0.09455	0.098919574	-0.004369574
571.44	0.1027	0.09892015	0.00377985
571.48	0.09695	0.098920727	-0.001970727
571.52	0.09705	0.098921304	-0.001871304
571.56	0.09898	0.098921881	5.81194E-05
571.6	0.09797	0.098922457	-0.000952457
571.64	0.10265	0.098923034	0.003726966
571.68	0.09608	0.098923611	-0.002843611
571.72	0.10102	0.098924187	0.002095813
571.76	0.10097	0.098924764	0.002045236
571.8	0.10092	0.098925341	0.001994659
571.84	0.10021	0.098925918	0.001284082
571.88	0.09802	0.098926494	-0.000906494
571.92	0.09995	0.098927071	0.001022929
571.96	0.09878	0.098927648	-0.000147648
572	0.09797	0.098928224	-0.000958224
572.04	0.09878	0.098928801	-0.000148801
572.08	0.09909	0.098929378	0.000160622
572.12	0.10626	0.098929955	0.007330045
572.16	0.09685	0.098930531	-0.002080531
572.2	0.09318	0.098931108	-0.005751108
572.24	0.09883	0.098931685	-0.000101685
572.28	0.0998	0.098932261	0.000867739
572.32	0.09629	0.098932838	-0.002642838
572.36	0.09822	0.098933415	-0.000713415
572.4	0.09776	0.098933991	-0.001173991
572.44	0.10652	0.098934568	0.007585432
572.48	0.09995	0.098935145	0.001014855
572.52	0.097	0.098935722	-0.001935722
572.56	0.0973	0.098936298	-0.001636298
572.6	0.09598	0.098936875	-0.002956875
572.64	0.10652	0.098937452	0.007582548
572.68	0.10657	0.098938028	0.007631972
572.72	0.09695	0.098938605	-0.001988605
572.76	0.10005	0.098939182	0.001110818
572.8	0.0944	0.098939759	-0.004539759
572.84	0.09888	0.098940335	-6.03353E-05
572.88	0.09878	0.098940912	-0.000160912
572.92	0.09231	0.098941489	-0.006631489
572.96	0.09995	0.098942065	0.001007935
573	0.09975	0.098942642	0.000807358
573.04	0.09634	0.098943219	-0.002603219
573.08	0.10102	0.098943796	0.002076204
573.12	0.0914	0.098944372	-0.007544372
573.16	0.10265	0.098944949	0.003705051
573.2	0.09914	0.098945526	0.000194474
573.24	0.09903	0.098946102	8.38977E-05
573.28	0.09898	0.098946679	3.33209E-05
573.32	0.0972	0.098947256	-0.001747256
573.36	0.09888	0.098947832	-6.78325E-05
573.4	0.10092	0.098948409	0.001971591
573.44	0.09914	0.098948986	0.000191014
573.48	0.1028	0.098949563	0.003850437
573.52	0.09522	0.098950139	-0.003730139
573.56	0.09527	0.098950716	-0.003680716
573.6	0.09715	0.098951293	-0.001801293
573.64	0.10265	0.098951869	0.003698131
573.68	0.10173	0.098952446	0.002777554
573.72	0.09954	0.098953023	0.000586977
573.76	0.1027	0.0989536	0.0037464
573.8	0.10178	0.098954176	0.002825824
573.84	0.09893	0.098954753	-2.4753E-05
573.88	0.09883	0.09895533	-0.00012533
573.92	0.09705	0.098955906	-0.001905906
573.96	0.09741	0.098956483	-0.001546483
574	0.0917	0.09895706	-0.00725706
574.04	0.10163	0.098957637	0.002672363
574.08	0.10077	0.098958213	0.001811787
574.12	0.09313	0.09895879	-0.00582879
574.16	0.09333	0.098959367	-0.005629367
574.2	0.10102	0.098959943	0.002060057
574.24	0.09511	0.09896052	-0.00385052
574.28	0.10474	0.098961097	0.005778903
574.32	0.09786	0.098961673	-0.001101673
574.36	0.10021	0.09896225	0.00124775
574.4	0.09817	0.098962827	-0.000792827
574.44	0.10275	0.098963404	0.003786596
574.48	0.10285	0.09896398	0.00388602
574.52	0.10097	0.098964557	0.002005443
574.56	0.10275	0.098965134	0.003784866
574.6	0.09791	0.09896571	-0.00105571
