Waveleght	Intensity	Error
634.42	0.09547	0.00039
634.45	0.09827	0.00034
634.5	0.0914	0.00046
634.54	0.09405	0.00038
634.57	0.09893	0.0005
634.62	0.09934	0.00057
634.66	0.09603	0.00027
634.69	0.10071	0.0004
634.74	0.09308	0.00046
634.78	0.09593	0.00042
634.81	0.09216	0.00061
634.85	0.10194	0.00056
634.9	0.10163	0.00036
634.93	0.09685	0.00051
634.97	0.09435	0.00044
635.02	0.09608	0.00031
635.06	0.097	0.00023
635.09	0.1	0.00036
635.14	0.1	0.00027
635.18	0.10087	0.00047
635.21	0.10087	0.00047
635.26	0.09328	0.00033
635.3	0.09705	0.00048
635.33	0.10051	0.00027
635.38	0.09639	0.0005
635.42	0.09323	0.00034
635.45	0.09491	0.00036
635.5	0.09496	0.00032
635.54	0.09527	0.00041
635.57	0.09812	0.00031
635.62	0.09898	0.00048
635.66	0.0971	0.00044
635.69	0.09791	0.00055
635.74	0.10005	0.00023
635.78	0.09791	0.00031
635.81	0.09791	0.00038
635.85	0.1027	0.00031
635.9	0.10372	0.00031
635.93	0.09812	0.00044
635.97	0.09338	0.00036
636.02	0.0942	0.00041
636.06	0.09323	0.00057
636.09	0.09313	0.00057
636.14	0.09608	0.00044
636.18	0.10204	0.00048
636.21	0.1001	0.00036
636.26	0.09893	0.00044
636.3	0.0943	0.00033
636.33	0.09155	0.00033
636.38	0.09119	0.00057
636.42	0.09038	0.00068
636.45	0.0941	0.00033
636.5	0.09679	0.00047
636.54	0.09618	0.00041
636.57	0.09634	0.00033
636.62	0.09715	0.0004
636.66	0.1	0.00048
636.69	0.09995	0.0002
636.74	0.09216	0.00047
636.78	0.08773	0.00038
636.81	0.09522	0.00052
636.85	0.09629	0.00025
636.9	0.09797	0.00042
636.93	0.10204	0.00042
636.97	0.10194	0.0004
637.02	0.1001	0.00027
637.06	0.09532	0.00046
637.09	0.09888	0.00033
637.14	0.08967	0.00041
637.18	0.0972	0.00052
637.21	0.09506	0.00044
637.26	0.09496	0.00032
637.3	0.10087	0.00025
637.33	0.08946	0.0005
637.38	0.0945	0.00036
637.42	0.09298	0.00042
637.45	0.10199	0.0005
637.5	0.09038	0.00039
637.54	0.10285	0.00052
637.57	0.10245	0.00046
637.62	0.09878	0.00034
637.66	0.09812	0.00038
637.69	0.09695	0.00048
637.74	0.09527	0.00034
637.78	0.09878	0.00025
637.81	0.10087	0.00041
637.85	0.10107	0.00039
637.9	0.09797	0.00053
637.93	0.0971	0.00055
637.97	0.09328	0.00065
638.02	0.10372	0.00044
638.06	0.10082	0.00034
638.09	0.09878	0.00041
638.14	0.10545	0.00034
638.18	0.10535	0.00047
638.21	0.09888	0.00033
638.26	0.0971	0.00055
638.3	0.10087	0.00041
638.33	0.10173	0.00056
638.38	0.0969	0.00031
638.42	0.09812	0.00038
638.45	0.09797	0.00048
638.5	0.10387	0.00052
638.54	0.10626	0.00031
638.57	0.09975	0.00052
638.62	0.10738	0.00047
638.66	0.10744	0.00047
638.69	0.10642	0.00025
638.74	0.10637	0.00025
638.78	0.10362	0.00046
638.81	0.11013	0.00044
638.85	0.10922	0.00032
638.9	0.11298	0.00047
638.93	0.11202	0.00041
638.97	0.11696	0.00031
639.02	0.11492	0.00059
639.06	0.11487	0.00042
639.09	0.11599	0.0004
639.14	0.11492	0.00044
639.18	0.11421	0.0005
639.21	0.12174	0.00052
639.26	0.12444	0.00027
639.3	0.12918	0.00031
639.33	0.12907	0.00039
639.38	0.13213	0.00039
639.42	0.13213	0.00032
639.45	0.13284	0.00041
639.5	0.13177	0.00046
639.54	0.13564	0.00027
639.57	0.14231	0.00046
639.62	0.14068	0.00044
639.66	0.14033	0.00042
639.69	0.14328	0.00036
639.74	0.14043	0.00046
639.78	0.14812	0.00047
639.81	0.14343	0.00031
639.85	0.16039	0.00041
639.9	0.15723	0.00023
639.93	0.15733	0.00034
639.97	0.15458	0.00036
640.02	0.1613	0.00046
640.06	0.16507	0.0006
640.09	0.16212	0.00062
640.14	0.16889	0.00031
640.18	0.16314	0.00036
640.21	0.16298	0.00034
640.26	0.16588	0.00023
640.3	0.17072	0.00044
640.33	0.18116	0.0006
640.38	0.18182	0.00034
640.42	0.18279	0.00041
640.45	0.18014	0.0004
640.5	0.19236	0.00046
640.54	0.19231	0.00044
640.57	0.18849	0.0004
640.62	0.18869	0.00036
640.66	0.19704	0.00052
640.69	0.19511	0.0004
640.74	0.20066	0.00057
640.78	0.19903	0.00034
640.81	0.19893	0.00044
640.85	0.20152	0.0004
640.9	0.21782	0.00033
640.93	0.20463	0.00047
640.97	0.21395	0.00023
641.02	0.22118	0.00048
641.06	0.2223	0.00036
641.09	0.22235	0.00031
641.14	0.23401	0.00058
641.18	0.23553	0.00053
641.21	0.24388	0.00034
641.26	0.25733	0.00048
641.3	0.27336	0.00052
641.33	0.26695	0.0002
641.38	0.28024	0.00036
641.42	0.27973	0.00036
641.45	0.28721	0.00034
641.5	0.29678	0.00025
641.54	0.30911	0.00047
641.57	0.29409	0.00062
641.62	0.29867	0.00048
641.66	0.31211	0.00025
641.69	0.31226	0.00038
641.74	0.31206	0.00034
641.78	0.29225	0.00034
641.81	0.30524	0.00051
641.85	0.31308	0.00034
641.9	0.31639	0.00027
641.93	0.30921	0.00038
641.97	0.3006	0.00048
642.02	0.3005	0.0004
642.06	0.3034	0.00034
642.09	0.30345	0.00041
642.14	0.30829	0.00032
642.18	0.28558	0.00034
642.21	0.29139	0.0005
642.26	0.27983	0.00042
642.3	0.28014	0.00046
642.33	0.27723	0.00023
642.38	0.27708	0.00033
642.42	0.25585	0.00046
642.45	0.25717	0.00041
642.5	0.25529	0.00042
642.54	0.24709	0.00031
