Waveleght	Intensity	Error
594.56	0.09985	0.00034
594.6	0.09425	0.00047
594.64	0.10204	0.00053
594.68	0.10214	0.00015
594.72	0.09623	0.00041
594.76	0.10214	0.00042
594.8	0.09975	0.00041
594.84	0.09705	0.00042
594.88	0.09705	0.00042
594.92	0.09685	0.0006
594.95	0.0973	0.00047
595.0	0.10438	0.00034
595.04	0.09226	0.00056
595.07	0.09883	0.00041
595.12	0.09797	0.00015
595.16	0.09903	0.00064
595.19	0.10168	0.00044
595.24	0.09893	0.00038
595.28	0.09909	0.00027
595.31	0.09705	0.00036
595.36	0.09807	0.00027
595.4	0.09695	0.00053
595.43	0.09827	0.00034
595.48	0.0998	0.00041
595.52	0.0999	0.00046
595.56	0.0999	0.0004
595.6	0.09883	0.00052
595.64	0.10285	0.00047
595.68	0.10189	0.00041
595.72	0.10469	0.00062
595.76	0.1001	0.00027
595.8	0.10107	0.00039
595.84	0.09603	0.00036
595.88	0.09593	0.00058
595.92	0.10545	0.00065
595.95	0.09898	0.00053
596.0	0.09919	0.0006
596.04	0.09985	0.00057
596.07	0.09328	0.00046
596.12	0.10438	0.00034
596.16	0.10469	0.00036
596.19	0.10015	0.00038
596.24	0.10295	0.00033
596.28	0.10173	0.00033
596.31	0.09354	0.00044
596.36	0.09797	0.00048
596.4	0.09303	0.00038
596.43	0.09348	0.00053
596.48	0.09705	0.00036
596.52	0.1026	1.38778e-17
596.56	0.09786	0.00023
596.6	0.10066	0.00031
596.64	0.10005	0.00051
596.68	0.10453	0.00038
596.72	0.10555	0.00044
596.76	0.10555	0.0005
596.8	0.10189	0.00025
596.84	0.10301	0.00038
596.88	0.09909	0.00053
596.92	0.10194	0.0004
596.95	0.10158	0.00039
597.0	0.10367	0.00042
597.04	0.10367	0.00015
597.07	0.09893	0.00055
597.12	0.10071	0.00033
597.16	0.09903	0.00046
597.19	0.10189	0.00034
597.24	0.09786	0.00051
597.28	0.10005	0.00051
597.31	0.09975	0.00047
597.36	0.1056	0.00048
597.4	0.10555	0.00044
597.43	0.10194	0.00033
597.48	0.10102	0.00066
597.52	0.09985	0.00041
597.56	0.10163	0.00042
597.6	0.09802	0.00051
597.64	0.09771	0.00052
597.68	0.10021	0.00046
597.72	0.1025	0.0005
597.76	0.10199	0.00044
597.8	0.10301	0.00055
597.84	0.10917	0.00053
597.88	0.10453	0.00031
597.92	0.10458	0.00036
597.95	0.10917	0.00058
598.0	0.1055	0.00051
598.04	0.09975	0.00034
598.07	0.10275	0.00033
598.12	0.10275	0.00023
598.16	0.0999	0.00046
598.19	0.09511	0.00033
598.24	0.09511	0.00046
598.28	0.10448	0.00056
598.31	0.09919	0.0004
598.36	0.1029	0.00041
598.4	0.09893	0.00064
598.43	0.10189	0.00052
598.48	0.10082	0.00025
598.52	0.10082	0.00041
598.56	0.10209	0.00032
598.6	0.09893	0.0005
598.64	0.10189	0.00047
598.68	0.10082	0.00034
598.72	0.10372	0.00038
598.76	0.10005	0.00032
598.8	0.09995	0.00038
598.84	0.10479	0.00046
598.88	0.09705	0.00036
598.92	0.10189	0.00041
598.95	0.09893	0.0005
599.0	0.09781	0.00034
599.04	0.10387	0.00041
599.07	0.10453	0.00031
599.12	0.10458	0.00027
599.16	0.10173	0.00033
599.19	0.10448	0.00046
599.24	0.10301	0.00044
599.28	0.1029	0.00065
599.31	0.10189	0.00034
599.36	0.10173	0.00051
599.4	0.10189	0.00057
599.43	0.10357	0.00042
599.48	0.10097	0.00044
599.52	0.10637	0.00034
599.56	0.10362	0.00039
599.6	0.10082	0.00047
599.64	0.10448	0.00033
599.68	0.10199	0.00044
599.72	0.10168	0.00038
599.76	0.10718	0.00039
599.8	0.10178	0.00041
599.84	0.10285	0.00057
599.88	0.10749	0.00047
599.92	0.10759	0.00031
599.95	0.10469	0.00036
600.0	0.10458	0.00027
600.04	0.10265	0.00036
600.07	0.10092	0.00046
600.12	0.1056	0.00042
600.16	0.10443	0.00041
600.19	0.10082	0.00034
600.24	0.10906	0.00046
600.28	0.10942	0.00057
600.31	0.10285	0.00041
600.36	0.1113	0.00048
600.4	0.1001	0.00042
600.43	0.11054	0.00034
600.48	0.10275	0.0004
600.52	0.10153	0.00048
600.56	0.1082	0.00023
600.6	0.10835	0.00033
600.64	0.09517	0.00041
600.68	0.1085	0.00041
600.72	0.10723	0.00066
600.76	0.1026	0.00056
600.8	0.10265	0.00042
600.84	0.10117	0.00044
600.88	0.10066	0.0005
