Waveleght	Intensity	Error
569.72	0.13126	0.00046
569.76	0.13111	0.00068
569.80	0.12449	0.00051
569.84	0.12699	0.00015
569.88	0.12337	0.00038
569.92	0.12256	0.00031
569.96	0.12164	0.00034
570.0	0.11685	0.00032
570.04	0.11517	0.00033
570.08	0.11482	0.00051
570.12	0.12332	0.00023
570.16	0.10917	0.00027
570.2	0.11599	0.00046
570.24	0.10927	0.00042
570.28	0.11207	0.00025
570.32	0.10642	0.00041
570.36	0.10642	0.00041
570.4	0.10637	0.00034
570.44	0.11212	0.00023
570.48	0.11217	0.0005
570.52	0.10835	0.00023
570.56	0.10535	0.00047
570.6	0.10962	0.00038
570.64	0.10912	0.00059
570.68	0.10749	0.00047
570.72	0.10183	0.00041
570.76	0.1027	0.00044
570.80	0.10637	0.00034
570.84	0.10367	0.00042
570.88	0.10728	0.00068
570.92	0.11105	0.00057
570.96	0.111	0.00047
571.0	0.10932	0.00055
571.04	0.11762	0.00041
571.08	0.10535	0.00047
571.12	0.1083	0.00044
571.16	0.1083	0.0002
571.2	0.11034	0.00059
571.24	0.11039	0.00051
571.28	0.10637	0.00034
571.32	0.10728	0.0005
571.36	0.10362	0.00032
571.4	0.1081	0.0002
571.44	0.11497	0.00033
571.48	0.111	0.00025
571.52	0.1111	0.00046
571.56	0.11971	0.00052
571.6	0.1109	0.00023
571.64	0.11115	0.00038
571.68	0.11309	0.00052
571.72	0.11304	0.00041
571.76	0.11024	0.00039
571.80	0.10906	0.00046
571.84	0.10932	0.00044
571.88	0.12245	0.00032
571.92	0.11635	0.00032
571.96	0.11298	0.00034
572.0	0.11589	0.00062
572.04	0.11976	0.00051
572.08	0.11955	0.00046
572.12	0.11976	0.00056
572.16	0.11971	0.00061
572.2	0.11212	0.00023
572.24	0.12144	0.00051
572.28	0.11691	0.00027
572.32	0.11502	0.00041
572.36	0.11283	0.00042
572.4	0.11894	0.00027
572.44	0.11869	0.00047
572.48	0.11604	0.00034
572.52	0.12042	0.00051
572.56	0.12062	0.00034
572.6	0.11298	0.00034
572.64	0.114	0.00025
572.68	0.11416	0.00046
572.72	0.11405	0.00047
572.76	0.11207	0.00034
572.80	0.11421	0.00044
572.84	0.11207	0.00041
572.88	0.11288	0.00031
572.92	0.11691	0.00027
572.96	0.11482	0.0006
573.0	0.11482	0.00046
573.04	0.10845	0.00025
573.08	0.10754	0.00023
573.12	0.10642	0.00041
573.16	0.10464	0.00032
573.2	0.10525	0.00055
573.24	0.10082	0.00052
573.28	0.10749	0.00052
573.32	0.10738	0.00061
573.36	0.10642	0.00041
573.4	0.10474	0.0002
