Parameters:
     Ampl. 1=     3477.69
    Lifet. 1=       2.917
     Ampl. 2=      230.85
    Lifet. 2=           0
     Backgr.=      189.46
     Backgr.=           0
       Shift=           0

X²: 1.713
tau_amp: 2.74 ns; tau_int: 2.92 ns

Time[ns]	         IRF	       Decay	         Fit	  Resids.
  2.5920	       31991	       84432	           -	        -
  2.6080	       27634	       83415	           -	        -
  2.6240	       25877	       81128	           -	        -
  2.6400	       23395	       79298	           -	        -
  2.6560	       19169	       77903	           -	        -
  2.6720	       18223	       75744	           -	        -
  2.6880	       16074	       73635	           -	        -
  2.7040	       11063	       71426	           -	        -
  2.7200	        9839	       69258	           -	        -
  2.7360	        6110	       66557	           -	        -
  2.7520	        4567	       64445	           -	        -
  2.7680	        3702	       61522	           -	        -
  2.7840	        1995	       59282	           -	        -
  2.8000	           0	       57317	           -	        -
  2.8160	           0	       54522	           -	        -
  2.8320	           0	       51934	           -	        -
  2.8480	           0	       49973	           -	        -
  2.8640	           0	       48305	           -	        -
  2.8800	           0	       45854	           -	        -
  2.8960	           0	       43652	           -	        -
  2.9120	           0	       41680	           -	        -
  2.9280	           0	       39383	           -	        -
  2.9440	           0	       37974	           -	        -
  2.9600	           0	       36029	           -	        -
  2.9760	           0	       34316	           -	        -
  2.9920	           0	       32935	           -	        -
  3.0080	           0	       31415	           -	        -
  3.0240	           0	       29803	           -	        -
  3.0400	           0	       28653	           -	        -
  3.0560	           0	       27510	           -	        -
  3.0720	           0	       26077	           -	        -
  3.0880	           0	       24959	           -	        -
  3.1040	           0	       24231	           -	        -
  3.1200	           0	       23295	           -	        -
  3.1360	           0	       22294	           -	        -
  3.1520	           0	       21346	           -	        -
  3.1680	           0	       20539	           -	        -
  3.1840	           0	       20040	           -	        -
  3.2000	           0	       19457	           -	        -
  3.2160	           0	       18829	           -	        -
  3.2320	           0	       18056	           -	        -
  3.2480	           0	       17525	           -	        -
  3.2640	           0	       16943	           -	        -
  3.2800	           0	       16690	           -	        -
  3.2960	           0	       16030	           -	        -
  3.3120	           0	       15525	           -	        -
  3.3280	           0	       15201	           -	        -
  3.3440	           0	       14814	           -	        -
  3.3600	           0	       14442	           -	        -
  3.3760	           0	       14004	           -	        -
  3.3920	           0	       13557	           -	        -
  3.4080	           0	       13424	           -	        -
  3.4240	           0	       13173	           -	        -
  3.4400	           0	       12851	           -	        -
  3.4560	           0	       12534	           -	        -
  3.4720	           0	       12232	           -	        -
  3.4880	           0	       12094	           -	        -
  3.5040	           0	       11972	           -	        -
  3.5200	           0	       11643	           -	        -
  3.5360	           0	       11285	           -	        -
  3.5520	           0	       11212	           -	        -
  3.5680	           0	       11115	           -	        -
  3.5840	           0	       10705	           -	        -
  3.6000	           0	       10606	           -	        -
  3.6160	           0	       10662	           -	        -
  3.6320	           0	       10225	           -	        -
  3.6480	           0	       10369	           -	        -
  3.6640	           0	       10022	           -	        -
  3.6800	           0	        9660	           -	        -
  3.6960	           0	        9693	           -	        -
  3.7120	           0	        9614	           -	        -
  3.7280	           0	        9229	           -	        -
  3.7440	           0	        9273	           -	        -
  3.7600	           0	        9043	           -	        -
  3.7760	           0	        9193	           -	        -
  3.7920	           0	        8865	           -	        -
  3.8080	           0	        8794	           -	        -
  3.8240	           0	        8784	           -	        -
  3.8400	           0	        8755	           -	        -
  3.8560	           0	        8390	           -	        -
  3.8720	           0	        8352	           -	        -
  3.8880	           0	        8312	           -	        -
  3.9040	           0	        7950	           -	        -
  3.9200	           0	        7993	           -	        -
  3.9360	           0	        8018	           -	        -
  3.9520	           0	        8082	           -	        -
  3.9680	           0	        7816	           -	        -
  3.9840	           0	        7763	           -	        -
  4.0000	           0	        7651	           -	        -
  4.0160	           0	        7681	           -	        -
  4.0320	           0	        7457	           -	        -
  4.0480	           0	        7307	           -	        -
  4.0640	           0	        7292	           -	        -
  4.0800	           0	        7277	           -	        -
  4.0960	           0	        7220	           -	        -
  4.1120	           0	        7248	           -	        -
  4.1280	           0	        7026	           -	        -
  4.1440	           0	        6985	           -	        -
  4.1600	           0	        6972	           -	        -
  4.1760	           0	        6769	           -	        -
  4.1920	           0	        6928	           -	        -
  4.2080	           0	        6737	           -	        -
  4.2240	           0	        6732	           -	        -
  4.2400	           0	        6592	           -	        -
  4.2560	           0	        6627	           -	        -
  4.2720	           0	        6430	           -	        -
  4.2880	           0	        6452	           -	        -
  4.3040	           0	        6371	           -	        -
  4.3200	           0	        6234	           -	        -
  4.3360	           0	        6321	           -	        -
  4.3520	           0	        6275	           -	        -
  4.3680	           0	        6353	           -	        -
  4.3840	           0	        6108	           -	        -
  4.4000	           0	        6203	           -	        -
  4.4160	           0	        6027	           -	        -
  4.4320	           0	        5996	           -	        -
  4.4480	           0	        5803	           -	        -
  4.4640	           0	        5995	           -	        -
  4.4800	           0	        5963	           -	        -
  4.4960	           0	        5872	           -	        -
  4.5120	           0	        5749	           -	        -
  4.5280	           0	        5834	           -	        -
  4.5440	           0	        5601	           -	        -
  4.5600	           0	        5564	           -	        -
  4.5760	           0	        5479	           -	        -
  4.5920	           0	        5690	           -	        -
  4.6080	           0	        5518	           -	        -
  4.6240	           0	        5317	           -	        -
  4.6400	           0	        5427	           -	        -
  4.6560	           0	        5305	           -	        -
  4.6720	           0	        5288	           -	        -
  4.6880	           0	        5261	           -	        -
  4.7040	           0	        5327	           -	        -
  4.7200	           0	        5129	           -	        -
  4.7360	           0	        5156	           -	        -
  4.7520	           0	        5247	           -	        -
  4.7680	           0	        5143	           -	        -
  4.7840	           0	        5009	           -	        -
  4.8000	           0	        4874	           -	        -
  4.8160	           0	        4920	           -	        -
  4.8320	           0	        4962	           -	        -
  4.8480	           0	        4913	           -	        -
  4.8640	           0	        4923	           -	        -
  4.8800	           0	        4720	           -	        -
  4.8960	           0	        4834	           -	        -
  4.9120	           0	        4637	           -	        -
  4.9280	           0	        4822	           -	        -
  4.9440	           0	        4754	           -	        -
  4.9600	           0	        4747	           -	        -
  4.9760	           0	        4584	           -	        -
  4.9920	           0	        4525	           -	        -
  5.0080	           0	        4455	           -	        -
  5.0240	           0	        4586	           -	        -
  5.0400	           0	        4516	           -	        -
  5.0560	           0	        4515	           -	        -
  5.0720	           0	        4426	           -	        -
  5.0880	           0	        4385	           -	        -
  5.1040	           0	        4339	           -	        -
  5.1200	           0	        4290	           -	        -
  5.1360	           0	        4215	           -	        -
  5.1520	           0	        4351	           -	        -
  5.1680	           0	        4370	           -	        -
  5.1840	           0	        4071	           -	        -
  5.2000	           0	        4206	           -	        -
  5.2160	           0	        4182	           -	        -
  5.2320	           0	        4129	           -	        -
  5.2480	           0	        4298	           -	        -
  5.2640	           0	        4064	           -	        -
  5.2800	           0	        4058	           -	        -
  5.2960	           0	        4017	           -	        -
  5.3120	           0	        3955	           -	        -
  5.3280	           0	        3966	           -	        -
  5.3440	           0	        3903	           -	        -
  5.3600	           0	        3817	           -	        -
  5.3760	           0	        3898	      3898.0	  -0.0000
  5.3920	           0	        3918	      3648.1	   4.3114
  5.4080	           0	        3775	      3629.2	   2.3728
  5.4240	           0	        3825	      3610.4	   3.4699
  5.4400	           0	        3690	      3591.7	   1.6185
  5.4560	           0	        3865	      3573.1	   4.6957
  5.4720	           0	        3782	      3554.6	   3.6983
  5.4880	           0	        3738	      3536.2	   3.3014
  5.5040	           0	        3743	      3517.9	   3.6801
  5.5200	           0	        3634	      3499.6	   2.2288
  5.5360	           0	        3542	      3481.5	   1.0159
  5.5520	           0	        3642	      3463.5	   2.9573
  5.5680	           0	        3639	      3445.6	   3.2057
