GRUPPE3_Greyline05.dat
04.10.2021
15:06:41
GRUPPE3

Gauss coefficients notation:
Amplitude
FWHM
Std.Abw.
[Fehler]
offset
BEAMCUT  LINES:

X H  in mm	Y H rel	Gauss fit H	H Gauss Coefficients	X V in mm	Y V rel	Gauss fit V	V Gauss Coefficientes
0,94050	17,00000	0,00000	0,00000	0,94050	18,00000	0,00000	0,00000
0,95288	18,00000	0,00000	0,00000	0,95288	18,00000	0,00000	0,00000
0,96525	18,00000	0,00000	0,00000	0,96525	18,00000	0,00000	0,00000
0,97763	16,00000	0,00000	0,00000	0,97763	16,00000	0,00000	0,00000
0,99000	17,00000	0,00000	0,00000	0,99000	19,00000	0,00000	0,00000
1,00238	19,00000	0,00000	0,00000	1,00238	16,00000	0,00000	0,00000
1,01475	19,00000	0,00000	0,00000	1,01475	18,00000	0,00000	0,00000
1,02713	19,00000	0,00000	0,00000	1,02713	18,00000	0,00000	0,00000
1,03950	17,00000	0,00000	0,00000	1,03950	18,00000	0,00000	0,00000
1,05188	17,00000	0,00000	0,00000	1,05188	16,00000	0,00000	0,00000
1,06425	18,00000	0,00000	0,00000	1,06425	17,00000	0,00000	0,00000
1,07662	18,00000	0,00000	0,00000	1,07663	17,00000	0,00000	0,00000
1,08900	17,00000	0,00000	0,00000	1,08900	17,00000	0,00000	0,00000
1,10137	17,00000	0,00000	0,00000	1,10138	17,00000	0,00000	0,00000
1,11375	19,00000	0,00000	0,00000	1,11375	16,00000	0,00000	0,00000
1,12613	18,00000	0,00000	0,00000	1,12613	18,00000	0,00000	0,00000
1,13850	16,00000	0,00000	0,00000	1,13850	18,00000	0,00000	0,00000
1,15088	18,00000	0,00000	0,00000	1,15088	19,00000	0,00000	0,00000
1,16325	18,00000	0,00000	0,00000	1,16325	18,00000	0,00000	0,00000
1,17563	17,00000	0,00000	0,00000	1,17563	18,00000	0,00000	0,00000
1,18800	19,00000	0,00000	0,00000	1,18800	18,00000	0,00000	0,00000
1,20037	20,00000	0,00000	0,00000	1,20038	18,00000	0,00000	0,00000
1,21275	19,00000	0,00000	0,00000	1,21275	16,00000	0,00000	0,00000
1,22513	17,00000	0,00000	0,00000	1,22513	17,00000	0,00000	0,00000
1,23750	16,00000	0,00000	0,00000	1,23750	18,00000	0,00000	0,00000
1,24988	16,00000	0,00000	0,00000	1,24988	16,00000	0,00000	0,00000
1,26225	16,00000	0,00000	0,00000	1,26225	17,00000	0,00000	0,00000
1,27463	16,00000	0,00000	0,00000	1,27463	18,00000	0,00000	0,00000
1,28700	18,00000	0,00000	0,00000	1,28700	18,00000	0,00000	0,00000
1,29938	17,00000	0,00000	0,00000	1,29938	16,00000	0,00000	0,00000
1,31175	19,00000	0,00000	0,00000	1,31175	18,00000	0,00000	0,00000
1,32412	19,00000	0,00000	0,00000	1,32413	16,00000	0,00000	0,00000
1,33650	17,00000	0,00000	0,00000	1,33650	17,00000	0,00000	0,00000
1,34888	17,00000	0,00000	0,00000	1,34888	18,00000	0,00000	0,00000
1,36125	17,00000	0,00000	0,00000	1,36125	18,00000	0,00000	0,00000
1,37363	19,00000	0,00000	0,00000	1,37363	19,00000	0,00000	0,00000
1,38600	19,00000	0,00000	0,00000	1,38600	18,00000	0,00000	0,00000
1,39838	17,00000	0,00000	0,00000	1,39838	18,00000	0,00000	0,00000
1,41075	17,00000	0,00000	0,00000	1,41075	17,00000	0,00000	0,00000
1,42312	17,00000	0,00000	0,00000	1,42313	16,00000	0,00000	0,00000
1,43550	17,00000	0,00000	0,00000	1,43550	16,00000	0,00000	0,00000
1,44788	19,00000	0,00000	0,00000	1,44788	17,00000	0,00000	0,00000
1,46025	19,00000	0,00000	0,00000	1,46025	18,00000	0,00000	0,00000
1,47263	19,00000	0,00000	0,00000	1,47263	18,00000	0,00000	0,00000
1,48500	17,00000	0,00000	0,00000	1,48500	17,00000	0,00000	0,00000
1,49738	17,00000	0,00000	0,00000	1,49738	17,00000	0,00000	0,00000
1,50975	19,00000	0,00000	0,00000	1,50975	17,00000	0,00000	0,00000
1,52213	19,00000	0,00000	0,00000	1,52213	18,00000	0,00000	0,00000
1,53450	17,00000	0,00000	0,00000	1,53450	17,00000	0,00000	0,00000
1,54688	17,00000	0,00000	0,00000	1,54688	19,00000	0,00000	0,00000
1,55925	17,00000	0,00000	0,00000	1,55925	17,00000	0,00000	0,00000
1,57163	19,00000	0,00000	0,00000	1,57163	18,00000	0,00000	0,00000
1,58400	18,00000	0,00000	0,00000	1,58400	19,00000	0,00000	0,00000
1,59638	16,00000	0,00000	0,00000	1,59638	18,00000	0,00000	0,00000
1,60875	18,00000	0,00000	0,00000	1,60875	18,00000	0,00000	0,00000
1,62113	18,00000	0,00000	0,00000	1,62113	18,00000	0,00000	0,00000
1,63350	17,00000	0,00000	0,00000	1,63350	17,00000	0,00000	0,00000
1,64587	19,00000	0,00000	0,00000	1,64588	18,00000	0,00000	0,00000
1,65825	18,00000	0,00000	0,00000	1,65825	18,00000	0,00000	0,00000
1,67063	16,00000	0,00000	0,00000	1,67063	16,00000	0,00000	0,00000
1,68300	16,00000	0,00000	0,00000	1,68300	18,00000	0,00000	0,00000
1,69538	17,00000	0,00000	0,00000	1,69538	17,00000	0,00000	0,00000
1,70775	16,00000	0,00000	0,00000	1,70775	15,00000	0,00000	0,00000
1,72013	16,00000	0,00000	0,00000	1,72013	16,00000	0,00000	0,00000
1,73250	18,00000	0,00000	0,00000	1,73250	18,00000	0,00000	0,00000
1,74488	19,00000	0,00000	0,00000	1,74488	16,00000	0,00000	0,00000
1,75725	17,00000	0,00000	0,00000	1,75725	17,00000	0,00000	0,00000
1,76963	17,00000	0,00000	0,00000	1,76963	16,00000	0,00000	0,00000
1,78200	18,00000	0,00000	0,00000	1,78200	17,00000	0,00000	0,00000
1,79438	18,00000	0,00000	0,00000	1,79438	16,00000	0,00000	0,00000
1,80675	18,00000	0,00000	0,00000	1,80675	16,00000	0,00000	0,00000
1,81913	17,00000	0,00000	0,00000	1,81913	15,00000	0,00000	0,00000
1,83150	18,00000	0,00000	0,00000	1,83150	17,00000	0,00000	0,00000
1,84388	19,00000	0,00000	0,00000	1,84388	17,00000	0,00000	0,00000
1,85625	16,00000	0,00000	0,00000	1,85625	18,00000	0,00000	0,00000
1,86862	16,00000	0,00000	0,00000	1,86863	17,00000	0,00000	0,00000
1,88100	17,00000	0,00000	0,00000	1,88100	18,00000	0,00000	0,00000
1,89338	17,00000	0,00000	0,00000	1,89338	16,00000	0,00000	0,00000
1,90575	16,00000	0,00000	0,00000	1,90575	18,00000	0,00000	0,00000
1,91813	16,00000	0,00000	0,00000	1,91813	17,00000	0,00000	0,00000
1,93050	18,00000	0,00000	0,00000	1,93050	17,00000	0,00000	0,00000
1,94288	16,00000	0,00000	0,00000	1,94288	18,00000	0,00000	0,00000
1,95525	16,00000	0,00000	0,00000	1,95525	17,00000	0,00000	0,00000
1,96763	18,00000	0,00000	0,00000	1,96763	16,00000	0,00000	0,00000
1,98000	18,00000	0,00000	0,00000	1,98000	18,00000	0,00000	0,00000
1,99238	18,00000	0,00000	0,00000	1,99238	17,00000	0,00000	0,00000
2,00475	18,00000	0,00000	0,00000	2,00475	17,00000	0,00000	0,00000
2,01713	17,00000	0,00000	0,00000	2,01713	17,00000	0,00000	0,00000
2,02950	15,00000	0,00000	0,00000	2,02950	17,00000	0,00000	0,00000
2,04188	15,00000	0,00000	0,00000	2,04188	17,00000	0,00000	0,00000
2,05425	17,00000	0,00000	0,00000	2,05425	16,00000	0,00000	0,00000
2,06663	18,00000	0,00000	0,00000	2,06663	17,00000	0,00000	0,00000
2,07900	18,00000	0,00000	0,00000	2,07900	18,00000	0,00000	0,00000
2,09138	16,00000	0,00000	0,00000	2,09138	17,00000	0,00000	0,00000
2,10375	18,00000	0,00000	0,00000	2,10375	16,00000	0,00000	0,00000
2,11613	18,00000	0,00000	0,00000	2,11613	18,00000	0,00000	0,00000
2,12850	17,00000	0,00000	0,00000	2,12850	16,00000	0,00000	0,00000
2,14088	19,00000	0,00000	0,00000	2,14088	18,00000	0,00000	0,00000
2,15325	17,00000	0,00000	0,00000	2,15325	18,00000	0,00000	0,00000
2,16562	17,00000	0,00000	0,00000	2,16563	15,00000	0,00000	0,00000
2,17800	17,00000	0,00000	0,00000	2,17800	15,00000	0,00000	0,00000
2,19037	19,00000	0,00000	0,00000	2,19038	16,00000	0,00000	0,00000
2,20275	19,00000	0,00000	0,00000	2,20275	17,00000	0,00000	0,00000
2,21513	18,00000	0,00000	0,00000	2,21513	16,00000	0,00000	0,00000
2,22750	16,00000	0,00000	0,00000	2,22750	16,00000	0,00000	0,00000
2,23988	16,00000	0,00000	0,00000	2,23988	18,00000	0,00000	0,00000
2,25225	18,00000	0,00000	0,00000	2,25225	16,00000	0,00000	0,00000
2,26463	16,00000	0,00000	0,00000	2,26463	16,00000	0,00000	0,00000
2,27700	16,00000	0,00000	0,00000	2,27700	18,00000	0,00000	0,00000
2,28938	18,00000	0,00000	0,00000	2,28938	16,00000	0,00000	0,00000
2,30175	18,00000	0,00000	0,00000	2,30175	16,00000	0,00000	0,00000
2,31413	18,00000	0,00000	0,00000	2,31413	16,00000	0,00000	0,00000
2,32650	18,00000	0,00000	0,00000	2,32650	15,00000	0,00000	0,00000
2,33888	18,00000	0,00000	0,00000	2,33888	18,00000	0,00000	0,00000
2,35125	16,00000	0,00000	0,00000	2,35125	18,00000	0,00000	0,00000
2,36363	16,00000	0,00000	0,00000	2,36363	16,00000	0,00000	0,00000
2,37600	18,00000	0,00000	0,00000	2,37600	18,00000	0,00000	0,00000
2,38837	16,00000	0,00000	0,00000	2,38838	17,00000	0,00000	0,00000
2,40075	16,00000	0,00000	0,00000	2,40075	18,00000	0,00000	0,00000
2,41312	17,00000	0,00000	0,00000	2,41313	18,00000	0,00000	0,00000
2,42550	16,00000	0,00000	0,00000	2,42550	18,00000	0,00000	0,00000
2,43788	16,00000	0,00000	0,00000	2,43788	15,00000	0,00000	0,00000
2,45025	18,00000	0,00000	0,00000	2,45025	18,00000	0,00000	0,00000
2,46263	19,00000	0,00000	0,00000	2,46263	16,00000	0,00000	0,00000
2,47500	18,00000	0,00000	0,00000	2,47500	19,00000	0,00000	0,00000
2,48738	16,00000	0,00000	0,00000	2,48738	22,00000	0,00000	0,00000
2,49975	16,00000	0,00000	0,00000	2,49975	23,00000	0,00000	0,00000
2,51213	17,00000	0,00000	0,00000	2,51213	24,00000	0,00000	0,00000
2,52450	17,00000	0,00000	0,00000	2,52450	25,00000	0,00000	0,00000
2,53688	16,00000	0,00000	0,00000	2,53688	33,00000	0,00000	0,00000
2,54925	16,00000	0,00000	0,00000	2,54925	41,00000	0,00000	0,00000
2,56163	18,00000	0,00000	0,00000	2,56163	54,00000	0,00000	0,00000
2,57400	18,00000	0,00000	0,00000	2,57400	71,00000	0,00000	0,00000
2,58638	18,00000	0,00000	0,00000	2,58638	86,00000	0,00000	0,00000
2,59875	18,00000	0,00000	0,00000	2,59875	105,00000	0,00000	0,00000
2,61112	18,00000	0,00000	0,00000	2,61113	122,00000	0,00000	0,00000
2,62350	18,00000	0,00000	0,00000	2,62350	147,00000	0,00000	0,00000
2,63587	18,00000	0,00000	0,00000	2,63588	159,00000	0,00000	0,00000
2,64825	18,00000	0,00000	0,00000	2,64825	179,00000	0,00000	0,00000
2,66063	18,00000	0,00000	0,00000	2,66063	188,00000	0,00000	0,00000
2,67300	16,00000	0,00000	0,00000	2,67300	196,00000	0,00000	0,00000
2,68538	16,00000	0,00000	0,00000	2,68538	195,00000	0,00000	0,00000
2,69775	18,00000	0,00000	0,00000	2,69775	185,00000	0,00000	0,00000
2,71013	16,00000	0,00000	0,00000	2,71013	166,00000	0,00000	0,00000
2,72250	16,00000	0,00000	0,00000	2,72250	144,00000	0,00000	0,00000
2,73488	16,00000	0,00000	0,00000	2,73488	122,00000	0,00000	0,00000
2,74725	18,00000	0,00000	0,00000	2,74725	94,00000	0,00000	0,00000
2,75963	18,00000	0,00000	0,00000	2,75963	77,00000	0,00000	0,00000
2,77200	18,00000	0,00000	0,00000	2,77200	59,00000	0,00000	0,00000
2,78438	18,00000	0,00000	0,00000	2,78438	47,00000	0,00000	0,00000
2,79675	17,00000	0,00000	0,00000	2,79675	33,00000	0,00000	0,00000
2,80913	17,00000	0,00000	0,00000	2,80913	29,00000	0,00000	0,00000
2,82150	19,00000	0,00000	0,00000	2,82150	23,00000	0,00000	0,00000
2,83387	19,00000	0,00000	0,00000	2,83388	19,00000	0,00000	0,00000
2,84625	17,00000	0,00000	0,00000	2,84625	20,00000	0,00000	0,00000
2,85862	18,00000	0,00000	0,00000	2,85863	19,00000	0,00000	0,00000
2,87100	18,00000	0,00000	0,00000	2,87100	18,00000	0,00000	0,00000
2,88338	16,00000	0,00000	0,00000	2,88338	18,00000	0,00000	0,00000
2,89575	16,00000	0,00000	0,00000	2,89575	16,00000	0,00000	0,00000
2,90813	17,00000	0,00000	0,00000	2,90813	16,00000	0,00000	0,00000
2,92050	17,00000	0,00000	0,00000	2,92050	15,00000	0,00000	0,00000
2,93288	15,00000	0,00000	0,00000	2,93288	18,00000	0,00000	0,00000
2,94525	15,00000	0,00000	0,00000	2,94525	16,00000	0,00000	0,00000
2,95763	17,00000	0,00000	0,00000	2,95763	16,00000	0,00000	0,00000
2,97000	18,00000	0,00000	0,00000	2,97000	17,00000	0,00000	0,00000
2,98238	16,00000	0,00000	0,00000	2,98238	16,00000	0,00000	0,00000
2,99475	16,00000	0,00000	0,00000	2,99475	16,00000	0,00000	0,00000
3,00713	17,00000	0,00000	0,00000	3,00713	18,00000	0,00000	0,00000
3,01950	16,00000	0,00000	0,00000	3,01950	18,00000	0,00000	0,00000
3,03188	16,00000	0,00000	0,00000	3,03188	17,00000	0,00000	0,00000
3,04425	18,00000	0,00000	0,00000	3,04425	17,00000	0,00000	0,00000
3,05662	18,00000	0,00000	0,00000	3,05663	17,00000	0,00000	0,00000
3,06900	17,00000	0,00000	0,00000	3,06900	18,00000	0,00000	0,00000
3,08137	17,00000	0,00000	0,00000	3,08138	17,00000	0,00000	0,00000
3,09375	19,00000	0,00000	0,00000	3,09375	18,00000	0,00000	0,00000
3,10613	19,00000	0,00000	0,00000	3,10613	17,00000	0,00000	0,00000
3,11850	17,00000	0,00000	0,00000	3,11850	16,00000	0,00000	0,00000
3,13088	18,00000	0,00000	0,00000	3,13088	18,00000	0,00000	0,00000
3,14325	16,00000	0,00000	0,00000	3,14325	17,00000	0,00000	0,00000
3,15563	16,00000	0,00000	0,00000	3,15563	16,00000	0,00000	0,00000
3,16800	16,00000	0,00000	0,00000	3,16800	17,00000	0,00000	0,00000
3,18038	18,00000	0,00000	0,00000	3,18038	15,00000	0,00000	0,00000
3,19275	18,00000	0,00000	0,00000	3,19275	17,00000	0,00000	0,00000
