G11_shinriki
06.09.2021
19:28:22
shinriki oszillator
DFT of V1
shinriki oszillator 
Chaos_Versuch
V1(V) V2(V) V3(V) cutX(V) cutY(V) DFTfq(Hz) DFTY(power)

1,526E+0 1,797E-2 1,638E-1 0,000E+0 0,000E+0 1,892E+3 1,392E-10
1,526E+0 1,797E-2 1,638E-1 0,000E+0 0,000E+0 1,922E+3 1,040E-10
1,526E+0 1,797E-2 1,640E-1 0,000E+0 0,000E+0 1,952E+3 1,131E-10
1,526E+0 1,797E-2 1,636E-1 0,000E+0 0,000E+0 1,982E+3 1,062E-10
1,526E+0 1,781E-2 1,640E-1 0,000E+0 0,000E+0 2,012E+3 1,310E-10
1,526E+0 1,765E-2 1,641E-1 0,000E+0 0,000E+0 2,042E+3 1,346E-10
1,526E+0 1,797E-2 1,640E-1 0,000E+0 0,000E+0 2,072E+3 1,459E-10
1,526E+0 1,781E-2 1,641E-1 0,000E+0 0,000E+0 2,102E+3 1,142E-10
1,526E+0 1,797E-2 1,640E-1 0,000E+0 0,000E+0 2,132E+3 1,163E-10
1,526E+0 1,781E-2 1,641E-1 0,000E+0 0,000E+0 2,162E+3 1,290E-10
1,526E+0 1,765E-2 1,645E-1 0,000E+0 0,000E+0 2,192E+3 1,541E-10
1,526E+0 1,781E-2 1,638E-1 0,000E+0 0,000E+0 2,222E+3 1,763E-10
1,526E+0 1,797E-2 1,641E-1 0,000E+0 0,000E+0 2,252E+3 1,295E-10
1,526E+0 1,797E-2 1,643E-1 0,000E+0 0,000E+0 2,282E+3 1,319E-10
1,526E+0 1,797E-2 1,638E-1 0,000E+0 0,000E+0 2,312E+3 9,409E-11
1,526E+0 1,781E-2 1,641E-1 0,000E+0 0,000E+0 2,342E+3 1,202E-10
1,526E+0 1,781E-2 1,640E-1 0,000E+0 0,000E+0 2,372E+3 1,081E-10
1,526E+0 1,797E-2 1,641E-1 0,000E+0 0,000E+0 2,402E+3 1,165E-10
1,526E+0 1,814E-2 1,641E-1 0,000E+0 0,000E+0 2,432E+3 1,081E-10
1,526E+0 1,797E-2 1,640E-1 0,000E+0 0,000E+0 2,462E+3 1,210E-10
1,526E+0 1,781E-2 1,643E-1 0,000E+0 0,000E+0 2,492E+3 9,176E-11
1,526E+0 1,797E-2 1,640E-1 0,000E+0 0,000E+0 2,523E+3 1,053E-10
1,526E+0 1,797E-2 1,638E-1 0,000E+0 0,000E+0 2,553E+3 8,799E-11
1,526E+0 1,797E-2 1,641E-1 0,000E+0 0,000E+0 2,583E+3 1,018E-10
1,526E+0 1,781E-2 1,643E-1 0,000E+0 0,000E+0 2,613E+3 9,449E-11
1,526E+0 1,797E-2 1,643E-1 0,000E+0 0,000E+0 2,643E+3 1,671E-10
1,526E+0 1,814E-2 1,641E-1 0,000E+0 0,000E+0 2,673E+3 1,214E-10
1,526E+0 1,781E-2 1,640E-1 0,000E+0 0,000E+0 2,703E+3 1,109E-10
1,526E+0 1,781E-2 1,640E-1 0,000E+0 0,000E+0 2,733E+3 9,076E-11
1,526E+0 1,797E-2 1,641E-1 0,000E+0 0,000E+0 2,763E+3 7,995E-11
1,526E+0 1,814E-2 1,645E-1 0,000E+0 0,000E+0 2,793E+3 1,463E-10
1,526E+0 1,797E-2 1,640E-1 0,000E+0 0,000E+0 2,823E+3 1,293E-10
1,526E+0 1,781E-2 1,640E-1 0,000E+0 0,000E+0 2,853E+3 1,117E-10
1,526E+0 1,797E-2 1,643E-1 0,000E+0 0,000E+0 2,883E+3 9,609E-11
1,526E+0 1,797E-2 1,638E-1 0,000E+0 0,000E+0 2,913E+3 1,335E-10
1,526E+0 1,781E-2 1,640E-1 0,000E+0 0,000E+0 2,943E+3 9,265E-11
1,526E+0 1,797E-2 1,640E-1 0,000E+0 0,000E+0 2,973E+3 1,351E-10
1,526E+0 1,797E-2 1,648E-1 0,000E+0 0,000E+0 3,003E+3 1,681E-10
1,526E+0 1,797E-2 1,641E-1 0,000E+0 0,000E+0 3,033E+3 1,651E-10
1,526E+0 1,765E-2 1,641E-1 0,000E+0 0,000E+0 3,063E+3 8,847E-11
1,526E+0 1,765E-2 1,641E-1 0,000E+0 0,000E+0 3,093E+3 1,207E-10
1,526E+0 1,814E-2 1,641E-1 0,000E+0 0,000E+0 3,123E+3 1,051E-10
1,526E+0 1,797E-2 1,640E-1 0,000E+0 0,000E+0 3,153E+3 1,221E-10
1,526E+0 1,781E-2 1,641E-1 0,000E+0 0,000E+0 3,183E+3 8,769E-11
1,526E+0 1,797E-2 1,640E-1 0,000E+0 0,000E+0 3,213E+3 8,149E-11
1,526E+0 1,797E-2 1,641E-1 0,000E+0 0,000E+0 3,243E+3 8,814E-11
1,526E+0 1,814E-2 1,643E-1 0,000E+0 0,000E+0 3,273E+3 1,033E-10
1,526E+0 1,797E-2 1,641E-1 0,000E+0 0,000E+0 3,303E+3 8,202E-11
1,526E+0 1,797E-2 1,640E-1 0,000E+0 0,000E+0 3,333E+3 1,051E-10
