angle-spectrum Gruppe 302.dat
04.10.2021
10:57:26
Gruppe 3
 Temp: NON
angel	 rel signal 	s (std. deviation)				
60,21000	0,05595	0,01266
60,42000	0,06494	0,01038
60,63000	0,30261	0,01197
60,84000	0,06045	0,01321
61,05000	0,00627	0,01275
61,26000	0,71119	0,00526
61,47000	0,00457	0,00437
61,68000	0,99748	0,00135
61,89000	0,00703	0,00818
62,10000	0,42871	0,01104
62,31000	0,10125	0,00836
62,52000	0,01220	0,00701
62,73000	0,84885	0,00507
62,94000	0,01429	0,00792
63,15000	1,00000	0,00246
63,36000	0,00500	0,00641
63,57000	0,58859	0,00433
63,78000	0,04900	0,00532
63,99000	0,07011	0,00501
64,20000	0,65746	0,00438
64,41000	0,05528	0,00492
64,62000	0,96966	0,00220
64,83000	0,05921	0,00672
65,04000	0,66854	0,00768
65,25000	0,27319	0,00678
