Channel.001
Axis [s],ROI1 [],ROI2 [],ROI3 [],ROI4 []
0,13.916167181288,73.8796084828711,75.3846153846154,72.9651162790698
1.293,13.9478517083409,74.415986949429,74.5314685314685,72.4283965728274
2.585,13.8032733950879,73.9539967373573,76.5594405594406,72.7894736842105
3.878,13.6468285201106,73.0760195758564,80.2727272727273,72.6958384332925
5.173,13.5003329902525,73.0456769983687,79.0559440559441,70.7558139534884
6.465,13.3983572480878,70.6858075040783,79.8601398601399,71.093635250918
7.758,13.3568646445077,70.5954323001631,75.4755244755245,70.2925336597307
9.05,13.2181187059797,70.0786296900489,80.1678321678322,69.9785801713586
10.343,13.1450626627111,69.700163132137,83.3496503496503,67.3096695226438
11.638,13.1460515428548,68.1836867862969,71.8881118881119,67.2331701346389
12.935,,,,
14.225,,,,
15.515,,,,
16.81,,,,
18.103,,,,
19.395,,,,
20.69,,,,
21.983,,,,
23.275,,,,
24.568,,,,
25.865,14.0807450909164,76.3376835236542,78.3846153846154,68.9492044063647
27.155,13.6036608746544,73.2274061990212,82.1258741258741,70.484700122399
28.448,13.7622853221933,74.5399673735726,75.4755244755245,71.2619339045288
29.74,13.7315694940566,74.0378466557912,77.0699300699301,69.9767441860465
31.033,13.5315533490747,72.5504078303426,78.972027972028,70.7392900856793
32.328,13.5123610017961,73.5259380097879,73.4265734265734,70.4149326805386
33.62,13.5269520292224,72.7761827079935,75.8601398601399,71.8463892288862
34.913,13.6543157554842,74.9096247960848,74.0839160839161,70.2509179926561
36.205,13.4970232689552,73.6296900489396,75.2027972027972,69.8414932680539
37.5,13.4113943210026,73.3608482871126,70.4195804195804,71.7123623011016
38.793,13.4164396278582,74.0482871125612,74.4405594405594,68.4002447980416
40.085,13.4752275433392,74.1500815660685,76.3706293706294,68.81211750306
41.378,13.6175455591209,75.0365415986949,75.7482517482517,67.484088127295
42.673,13.4621299267421,73.7128874388254,81.4335664335664,67.6358629130967
43.965,13.5585760125931,74.3014681892333,78.6153846153846,67.1181150550796
45.258,13.4873766422474,74.8058727569331,85.7832167832168,67.3561811505508
46.55,13.5187786321164,75.2140293637847,75.2937062937063,69.9749082007344
47.843,13.2719824019697,73.262969004894,79.6013986013986,69.9112607099143
49.138,13.440092026397,73.1386623164763,78.7482517482517,72.1083231334149
50.43,13.5481019555609,74.5079934747145,85.8951048951049,72.6866585067319
