Channel.001
Axis [s],ROI1 [],ROI2 [],ROI3 []
0,10.3111788379635,69.203007518797,56.8735535290061
1.292,10.1207214863439,64.5388471177945,55.6061767185225
2.585,9.95251142890634,63.2055137844612,54.3509847497893
3.877,9.94346110264526,62.65664160401,54.0200781669093
5.17,9.95151994686047,62.6641604010025,54.2243083761208
6.465,9.92738737154691,59.8295739348371,54.3266150662886
7.757,9.86648693001993,60.2882205513784,53.7697141543413
9.05,9.83197065603876,58.1904761904762,54.0036784427925
10.342,9.83258605868792,61.6616541353383,53.3609471990191
11.635,9.84997362560075,58.4862155388471,54.4260862901372
12.93,,,
14.222,,,
15.515,,,
16.81,,,
18.102,,,
19.395,,,
20.687,,,
21.982,,,
23.275,,,
24.567,,,
25.86,,,
27.155,,,
28.452,10.3149249794866,67.8771929824561,58.2480649858227
29.742,10.1863595514398,63.8496240601504,57.4000306536899
31.032,10.0478841870824,64.9924812030075,56.5320714230976
32.325,10.0029939827297,66.0426065162907,55.9734079239788
33.62,10.0724709881608,67.8270676691729,56.2984136715457
34.912,9.99416832727699,66.0375939849624,56.7028124760518
36.205,9.92673289571367,63.6591478696742,56.0119549390758
37.5,9.93949517446177,62.5714285714286,55.6313893784964
38.792,9.91077638416755,61.9774436090226,55.9438271131888
40.085,9.95013284882585,69.2631578947368,55.8973101387079
41.377,9.93339975774626,65.3233082706767,55.9126369836769
42.672,9.91529910522408,67.8421052631579,55.6159092650778
43.965,9.97880768178799,65.7919799498747,56.2245382787953
45.257,9.93043019575665,65.2481203007519,55.7818223618668
46.55,9.93351697729848,66.8897243107769,55.7358418269599
47.842,9.95112433087172,67.5187969924812,56.0762510537206
49.137,9.95947133981948,65.6190476190476,56.4795769790789
50.43,9.9854843121166,65.0250626566416,56.1702046133803
51.722,9.95022076349002,69.8897243107769,55.9399187677217
53.015,9.949151135076,69.7568922305764,56.3008659667407
