Channel.001
Axis [s],ROI1 [],ROI2 [],ROI3 []
0,23.5136025659717,80.9529914529915,46.3129506008011
1.292,23.7662633036886,85.6538461538462,46.3010680907877
2.585,23.7184429217087,78.3547008547009,46.6363150867824
3.877,23.7565145550858,81.6068376068376,46.177303070761
5.17,23.7509452301113,73.7820512820513,45.7903871829106
6.462,23.7154590076299,71.0042735042735,44.9133511348465
7.757,23.6593380959324,76.9230769230769,44.6831775700935
9.05,23.8161636778928,72.7350427350427,44.7834445927904
10.342,23.878427370365,72.8589743589744,44.4069425901202
11.635,23.8476745881324,73.5512820512821,43.7857142857143
12.93,,,
14.222,,,
15.515,,,
16.807,,,
18.102,,,
19.395,,,
20.687,,,
21.982,,,
23.275,,,
24.567,,,
25.86,,,
27.152,,,
28.447,5.16715750595325,6.44444444444444,7.10614152202937
29.74,5.47117655634932,7.23931623931624,7.55100133511348
31.032,5.74838897798513,7.50854700854701,8.36435246995995
32.325,5.90953977742139,7.56837606837607,8.40293724966622
33.62,6.15145064878262,7.52564102564103,9.04005340453939
34.912,6.28773873742528,8.55128205128205,9.45193591455274
36.205,6.45263157894737,7.28205128205128,9.75500667556742
37.497,6.62445448802061,8.6025641025641,10.2946595460614
38.792,6.77956942217038,7.90598290598291,10.4188251001335
40.085,6.91314574524955,9.46153846153846,10.8642189586115
41.377,7.06570442727317,9.18803418803419,11.1849132176235
42.67,7.29787626962142,10.9102564102564,11.2309746328438
43.962,7.44440880594839,11.1239316239316,11.7918558077437
45.257,7.51197939446955,12.6196581196581,11.6449933244326
46.55,7.70312484813141,11.9487179487179,11.9843791722296
47.842,7.76525246634592,13.3418803418803,12.071562082777
49.137,7.83696360013607,10.5726495726496,12.4034712950601
50.43,7.91467172085338,13.025641025641,12.3463284379172
51.722,8.03969480487923,16.491452991453,12.4233644859813
53.015,8.09746804684842,14.4188034188034,12.7563417890521
