Channel.002
Axis [s],ROI1 [],ROI2 [],ROI3 [],ROI4 []
0,8.2901167031364,29.9814438967817,33.1857485988791,52.9166666666667
1.293,8.21231765134938,28.6219193969266,32.9938236303328,55.2064393939394
2.585,8.26940189642597,29.6868657581908,32.8928285485531,55.6628787878788
3.88,8.24105579868709,29.4146129312844,32.6887795951047,52.1344696969697
5.173,8.18364332603939,29.4850681356915,32.7195470662244,51.4829545454545
6.465,8.12921225382932,28.932154247608,31.7776506919822,52.5606060606061
7.758,8.14222283005106,29.8451725137721,31.9998856227839,50.4412878787879
9.05,8.08575857038658,29.0513192229632,31.1946700217317,49.4583333333333
10.343,8.04707330415755,28.8387938532908,31.0052613519387,48.0189393939394
11.638,8.12289387308534,29.8944621629458,31.189523047009,47.6003787878788
12.933,136.679777534646,162.077123804001,244.367837126844,254.215909090909
14.223,134.243490153173,153.416642505074,242.887338442182,253.513257575758
15.518,132.090299051787,143.606842563062,241.837927484845,251.060606060606
16.81,130.425510576222,138.122354305596,241.147889740364,250.280303030303
18.103,128.751084974471,128.160916207596,239.945098936292,247.560606060606
19.395,127.39715536105,124.104378080603,239.580464371497,246.138257575758
20.69,125.648012399708,118.471440997391,238.223607457394,246.905303030303
21.983,123.777625820569,111.926935343578,237.033398147089,241.977272727273
23.275,122.516019328957,107.219483908379,236.14914788974,243.185606060606
24.57,121.389378191101,101.321252536967,234.514583095047,241.106060606061
25.86,119.772675054705,97.7938532908089,232.43703534256,238.94696969697
27.155,118.36761487965,92.2844302696434,231.535514125586,237.742424242424
28.45,6.10062910284464,20.0588576398956,20.6671623012696,35.4185606060606
29.74,6.11762399708242,20.3386488837344,20.6541232986389,36.4526515151515
31.033,6.19593362509117,20.706871556973,20.7760494109573,37.1098484848485
32.328,6.16869073668855,20.8645984343288,20.59373212856,33.6060606060606
33.62,6.1875,20.8121194549145,20.8000686263296,35.2367424242424
34.913,6.17566557257476,21.0411713540157,20.7977810820085,34.3806818181818
36.208,6.19790299051787,21.0353725717599,20.8458195127531,34.3181818181818
37.5,6.1964989059081,20.9947810959698,20.7806244995997,34.2916666666667
38.793,6.23186542669584,21.363583647434,20.9750657668992,32.0492424242424
40.085,6.25843362509117,21.8402435488547,21.1651606999886,34.0397727272727
41.38,6.2471462436178,21.7709481008988,20.6423424453849,33.3560606060606
42.673,6.25789569657185,21.8750362423891,20.8801326775706,32.3238636363636
43.965,6.20089350838804,20.9971006088721,21.0557017042205,34.1174242424242
45.258,6.24543216630197,21.2696433748913,21.084067253803,34.4109848484849
46.55,6.17798140043764,21.546825166715,20.8815052041633,31.0113636363636
47.845,6.25677425237053,22.3751812119455,21.3722978382706,32.4962121212121
49.138,6.22089715536105,21.9669469411424,20.9926798581723,32.2897727272727
50.43,6.20190554339898,22.081472890693,21.3204849593961,31.907196969697
51.723,6.15215171407732,21.9463612641345,20.8635479812421,30.3768939393939
53.018,6.12688730853392,22.2044070745144,21.0356856914103,28.3390151515152
