Channel.002
Axis [s],ROI1 [],ROI2 [],ROI3 []
0,4.11426894701543,9.49943009118541,12.8630952380952
1.292,4.10484878970794,9.46181610942249,12.6785714285714
2.585,4.09362996158771,9.29312310030395,12.1686507936508
3.877,4.04102646180111,9.22796352583587,12.172619047619
5.172,4.01413023596122,9.06028368794326,12.531746031746
6.465,4.02512804097311,9.15488855116515,11.5019841269841
7.757,4.04199439058594,9.15191236068896,12.1686507936508
9.05,3.99748490945674,9.00949848024316,11.9345238095238
10.345,4.03076794097921,8.96320921985816,11.4781746031746
11.637,4.02354277178221,9.13487841945289,11.9781746031746
12.932,4.69699256142918,5.60239361702128,4.29166666666667
14.222,4.69120785317968,5.60600303951368,5.34920634920635
15.515,4.62738552527285,5.49778368794326,4.48412698412698
16.81,4.56603255899031,5.36429837892604,4.79960317460317
18.102,4.56439393939394,5.30065856129686,4.43650793650794
19.395,4.59411011523688,5.32522796352584,4.93055555555556
20.687,4.58158039143955,5.36512158054711,4.39880952380952
21.982,4.61557984269252,5.34606129685917,4.08730158730159
23.275,4.66070666422779,5.47663373860182,4.31944444444444
24.567,4.567198646424,5.37316362715299,4.36309523809524
25.862,4.5306383757088,5.33162360688956,4.15674603174603
27.155,4.55618559843912,5.29337639311044,4.37698412698413
28.452,4.12234772269984,9.17838145896657,12.9920634920635
29.742,4.06222181574294,8.96384245187437,12.6488095238095
31.032,4.02734589354308,8.71308257345491,11.4246031746032
32.327,4.03932687031279,8.85017730496454,12.0694444444444
33.62,4.04960063410768,8.93674012158055,11.9107142857143
34.912,3.98700536552649,8.54280648429585,12.6349206349206
36.205,4.02883970489604,8.86201874366768,10.6527777777778
37.5,4.00480153649168,8.69383232016211,11.5
38.792,4.02198036705079,8.82858409321175,11.9007936507937
40.085,3.98149503079081,8.6156914893617,11.1329365079365
41.377,3.97704408267789,8.53235815602837,11.0376984126984
42.672,4.00666880068288,8.56142350557244,12.1170634920635
43.965,4.01873361380404,8.67135258358663,10.8611111111111
45.257,3.97029906713005,8.48727203647416,10.9940476190476
46.55,3.9988491555393,8.5628166160081,11.4781746031746
47.842,3.98937564782635,8.54040020263425,11.9146825396825
49.137,3.96302054752759,8.35391337386018,11.4742063492063
50.43,3.99226419120785,8.47201114488348,12.1865079365079
51.722,3.97246356929456,8.51633738601824,12.1071428571429
53.017,3.96481921834035,8.37284701114488,11.406746031746
