Channel.002
Axis [s],ROI1 [],ROI2 [],ROI3 []
0,12.7716897856242,52.875,38.8418929084319
1.293,12.6838209331652,56.2708333333333,38.3861040826096
2.585,12.6371878940731,57.40625,38.4635847637284
3.88,12.5737452711223,56.6979166666667,38.0233878137181
5.173,12.5525725094578,53.6041666666667,38.2280653764617
6.465,12.4181336696091,55.96875,37.642207481365
7.758,12.455762925599,59.65625,37.8788894207755
9.053,12.331790668348,60.3020833333333,37.1215892771661
10.345,12.3828499369483,60.28125,37.3603227791835
11.638,12.3699243379571,60.5104166666667,37.6257949805102
12.935,243.96815889029,255,254.653969773644
14.225,240.744249684741,255,253.574027217397
15.518,236.809962168979,255,250.944881351296
16.81,231.851084489281,254.375,246.773097175682
18.103,226.525952080706,254.291666666667,239.998700677016
19.398,221.115069356873,253.666666666667,232.532175340217
20.69,214.674388398487,247.9375,221.479450181221
21.983,208.488877679697,240.822916666667,211.063051357451
23.275,202.702723833544,232.21875,199.82035150106
24.57,197.171475409836,219.125,190.845790877385
25.863,191.304678436318,216.53125,179.2214319907
27.155,185.999974779319,195.447916666667,169.281747931341
28.453,7.59900378310214,23.0208333333333,20.8612459823566
29.743,7.71131147540984,27.3229166666667,21.4287765848321
31.035,7.8102395964691,27.5,21.8247281679546
32.328,7.90770491803279,30.96875,22.2288860015045
33.62,7.96738965952081,29.7708333333333,22.3082814743897
34.913,8.00132408575032,29.4375,22.5929699788005
36.208,8.12704918032787,27.6145833333333,22.9117828079054
37.5,8.11947036569987,27.59375,22.8318402516583
38.793,8.13762925598991,35.1354166666667,22.9396156739383
40.088,8.26008827238335,30.6875,23.4144156465842
41.38,8.30713745271122,33.53125,23.6911714422485
42.673,8.29566204287516,36.4895833333333,23.6110237297408
43.965,8.27046658259773,36.1875,23.5294399234083
45.26,8.30498108448928,33.1041666666667,23.5879778431238
46.553,8.32417402269861,37.4375,23.6848115981673
47.845,8.34459016393443,35.1979166666667,23.9212199958969
49.138,8.38501891551072,33.8854166666667,24.0574437529919
50.43,8.35953341740227,33.5520833333333,23.8393626478835
51.725,8.42894073139975,34.21875,24.1873076660056
53.018,8.44355611601513,38.25,24.2336729809205
