Channel.001
Axis [s],ROI1 [],ROI2 [],ROI3 []
0,19.568615430622,60.1587342204026,74.0878787878788
1.292,19.3128139952153,59.0868304332992,74.3909090909091
2.587,19.1536184210526,58.2688502217673,76.7939393939394
3.88,19.0142942583732,58.5985158648925,77.1
5.172,18.9166267942584,58.2743944046401,77.8878787878788
6.467,18.8704096889952,58.1838962811327,75.969696969697
7.76,18.7591208133971,58.3177243261685,71.5333333333333
9.052,18.8353020334928,58.0581712726032,78.5090909090909
10.345,18.5842703349282,57.728505629478,71.0848484848485
11.637,18.7576704545455,58.1937052200614,74.8060606060606
12.932,,,
14.225,,,
15.517,,,
16.81,,,
18.105,,,
19.397,,,
20.69,,,
21.982,,,
23.277,,,
24.57,,,
25.862,,,
27.157,,,
28.455,20.2649372009569,64.0873422040259,80.0636363636364
29.745,19.9094348086124,62.9081371545548,78.5878787878788
31.035,19.8619467703349,62.6861992494029,82.6818181818182
32.327,19.646875,61.5112589559877,76.9181818181818
33.622,19.5574611244019,61.1473046741726,75.6484848484849
34.915,19.5111842105263,60.6867110201297,77.1575757575758
36.207,19.4442583732057,60.5124530876834,76.3757575757576
37.5,19.3734001196172,60.4358580689185,74.7
38.795,19.2155053827751,59.7532412146025,73.469696969697
40.087,19.3699162679426,60.3890310474241,75.8939393939394
41.38,19.1427033492823,59.1268338451041,74.1878787878788
42.672,19.3238337320574,60.481405663596,70.7363636363636
43.967,19.3321471291866,60.0972364380757,73.5636363636364
45.26,19.3282296650718,60.234988058683,75.6666666666667
46.552,19.4798295454545,60.7390822244968,76.5484848484848
47.845,19.369153708134,60.3659160696008,73.1484848484849
49.137,19.235466507177,60.0696861139543,72.0939393939394
50.432,19.2734150717703,59.6461958375981,73.5393939393939
51.725,19.0936004784689,59.2649266461958,70.5636363636364
53.017,19.3925837320574,60.4796144660525,72.6575757575758
