# 05_10_2021_15_11_24_G11_filtering_43b_Rechteck_f100Hz_A1V_Fil_Be_Hipa_Or5_Uf1k
# measuring signal to noise
# 43b_Rechteck_f100Hz_A1V_Fil_Be_Hipa_Or5_Uf1k
# time y-generator y-behind Fqscale-FFT y-FFTcurve Fqscale-filter y-filtercurve

0.0000	-0.7129	-0.6916	0.0000	-117.1284	0.0000	-73.5395
0.0040	1.0023	1.0143	25.0000	-114.0892	45.7778	-61.4477
0.0080	1.0020	0.9534	50.0000	-113.7142	91.5555	-53.0400
0.0120	1.0020	0.8950	75.0000	-58.7743	137.3333	-47.6445
0.0160	1.0020	0.8385	100.0000	-52.7546	183.1111	-44.1321
0.0200	1.0020	0.7839	125.0000	-58.7682	228.8888	-40.0095
0.0240	1.0020	0.7312	150.0000	-104.6820	274.6666	-40.5319
0.0280	1.0017	0.6800	175.0000	-102.1586	320.4443	-41.2229
0.0320	1.0020	0.6313	200.0000	-99.8094	366.2221	-36.4979
0.0360	1.0020	0.5840	225.0000	-97.7603	411.9999	-25.0238
0.0400	1.0020	0.5385	250.0000	-95.9814	457.7776	-21.3255
0.0440	1.0017	0.4942	275.0000	-46.4754	503.5554	-17.1816
0.0480	1.0020	0.4522	300.0000	-40.4328	549.3332	-15.0954
0.0520	1.0020	0.4115	325.0000	-46.4511	595.1109	-13.1872
0.0560	1.0020	0.3723	350.0000	-89.8979	640.8887	-10.4743
0.0600	1.0023	0.3350	375.0000	-88.8857	686.6665	-9.2342
0.0640	1.0020	0.2984	400.0000	-87.7512	732.4442	-7.8957
0.0680	1.0023	0.2639	425.0000	-87.1160	778.2220	-6.5235
0.0720	1.0023	0.2305	450.0000	-86.4029	823.9998	-5.6878
0.0760	1.0023	0.1984	475.0000	-34.7752	869.7775	-5.0257
0.0800	1.0020	0.1673	500.0000	-28.7632	915.5553	-4.6335
0.0840	1.0020	0.1378	525.0000	-34.7480	961.3330	-3.9755
0.0880	1.0026	0.1102	550.0000	-86.5625	1007.1108	-3.7745
0.0920	1.0030	0.0835	575.0000	-86.2179	1052.8886	-3.5336
0.0960	1.0023	0.0570	600.0000	-86.7344	1098.6663	-2.9878
0.1000	1.0020	0.0319	625.0000	-86.5824	1144.4441	-2.8937
0.1040	1.0020	0.0084	650.0000	-86.0203	1190.2219	-2.5105
0.1080	1.0020	-0.0141	675.0000	-30.4220	1235.9996	-2.4207
